word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
you,you,PRON,458,41,"A Day in the Life; A Hard Day’s Night; All My Loving; All You Need Is Love; Back in the U.S.S.R.; Birthday; Blackbird; Come Together; Don’t Let Me Down; Get Back; Golden Slumbers; Happiness Is a Warm Gun; Hello, Goodbye; Help!; Helter Skelter; Hey Jude; I Am the Walrus; I Saw Her Standing There; I Want to Hold Your Hand; I Will; In My Life; Lucy in the Sky with Diamonds; Maxwell’s Silver Hammer; Michelle; Now and Then; Ob-La-Di, Ob-La-Da; Octopus’s Garden; Oh! Darling; Revolution; Revolution 9; Rocky Raccoon; Sgt. Pepper’s Lonely Hearts Club Band; She Loves You; Something; Strawberry Fields Forever; The End; The Long and Winding Road; When I’m Sixty-Four; While My Guitar Gently Weeps; With a Little Help from My Friends; You Never Give Me Your Money",11.17,True,1
i,i,PRON,448,43,"A Day in the Life; A Hard Day’s Night; All My Loving; Back in the U.S.S.R.; Birthday; Come Together; Don’t Let Me Down; Get Back; Golden Slumbers; Happiness Is a Warm Gun; Hello, Goodbye; Help!; Helter Skelter; Here Comes the Sun; Here, There and Everywhere; I Am the Walrus; I Saw Her Standing There; I Want to Hold Your Hand; I Will; In My Life; Let It Be; Maxwell’s Silver Hammer; Michelle; Norwegian Wood (This Bird Has Flown); Now and Then; Ob-La-Di, Ob-La-Da; Octopus’s Garden; Oh! Darling; Penny Lane; Revolution; Revolution 9; Rocky Raccoon; Sgt. Pepper’s Lonely Hearts Club Band; She Loves You; Something; Strawberry Fields Forever; The Long and Winding Road; When I’m Sixty-Four; While My Guitar Gently Weeps; With a Little Help from My Friends; Yellow Submarine; Yesterday; You Never Give Me Your Money",10.42,True,2
the,the,DET,327,41,"A Day in the Life; A Hard Day’s Night; Across the Universe; All My Loving; All You Need Is Love; Back in the U.S.S.R.; Blackbird; Don’t Let Me Down; Eleanor Rigby; Get Back; Happiness Is a Warm Gun; Help!; Helter Skelter; Here Comes the Sun; Here, There and Everywhere; Hey Jude; I Am the Walrus; I Saw Her Standing There; I Will; Let It Be; Lucy in the Sky with Diamonds; Maxwell’s Silver Hammer; Michelle; Norwegian Wood (This Bird Has Flown); Ob-La-Di, Ob-La-Da; Octopus’s Garden; Penny Lane; Revolution; Revolution 9; Rocky Raccoon; Sgt. Pepper’s Lonely Hearts Club Band; She Loves You; Something; The End; The Long and Winding Road; When I’m Sixty-Four; While My Guitar Gently Weeps; With a Little Help from My Friends; Yellow Submarine; Yesterday; You Never Give Me Your Money",7.98,True,3
and,and,CCONJ,235,46,"A Day in the Life; A Hard Day’s Night; Across the Universe; All My Loving; Back in the U.S.S.R.; Blackbird; Come Together; Don’t Let Me Down; Eleanor Rigby; Get Back; Golden Slumbers; Happiness Is a Warm Gun; Hello, Goodbye; Help!; Helter Skelter; Here Comes the Sun; Here, There and Everywhere; Hey Jude; I Am the Walrus; I Saw Her Standing There; I Want to Hold Your Hand; I Will; In My Life; Let It Be; Lucy in the Sky with Diamonds; Maxwell’s Silver Hammer; Michelle; Norwegian Wood (This Bird Has Flown); Now and Then; Ob-La-Di, Ob-La-Da; Octopus’s Garden; Oh! Darling; Penny Lane; Revolution 9; Rocky Raccoon; Sgt. Pepper’s Lonely Hearts Club Band; She Loves You; Something; Strawberry Fields Forever; The End; The Long and Winding Road; When I’m Sixty-Four; While My Guitar Gently Weeps; With a Little Help from My Friends; Yellow Submarine; You Never Give Me Your Money",5.11,True,4
to,to,PART,230,44,"A Day in the Life; A Hard Day’s Night; All My Loving; All You Need Is Love; Back in the U.S.S.R.; Birthday; Blackbird; Come Together; Get Back; Golden Slumbers; Happiness Is a Warm Gun; Hello, Goodbye; Help!; Helter Skelter; Here Comes the Sun; Here, There and Everywhere; Hey Jude; I Am the Walrus; I Want to Hold Your Hand; I Will; Let It Be; Lucy in the Sky with Diamonds; Maxwell’s Silver Hammer; Michelle; Norwegian Wood (This Bird Has Flown); Now and Then; Ob-La-Di, Ob-La-Da; Octopus’s Garden; Penny Lane; Revolution; Revolution 9; Rocky Raccoon; Sgt. Pepper’s Lonely Hearts Club Band; She Loves You; Something; Strawberry Fields Forever; The End; The Long and Winding Road; When I’m Sixty-Four; While My Guitar Gently Weeps; With a Little Help from My Friends; Yellow Submarine; Yesterday; You Never Give Me Your Money",5.23,True,5
na,na,VERB,230,8,A Hard Day’s Night; Across the Universe; Birthday; Don’t Let Me Down; Hey Jude; Revolution; Rocky Raccoon; With a Little Help from My Friends,28.75,False,6
do,do,AUX,203,26,"A Hard Day’s Night; All You Need Is Love; Back in the U.S.S.R.; Come Together; Don’t Let Me Down; Eleanor Rigby; Golden Slumbers; Happiness Is a Warm Gun; Hello, Goodbye; Help!; Helter Skelter; Hey Jude; I Am the Walrus; I Will; Michelle; Octopus’s Garden; Oh! Darling; Revolution; Revolution 9; Rocky Raccoon; Sgt. Pepper’s Lonely Hearts Club Band; Something; The Long and Winding Road; While My Guitar Gently Weeps; With a Little Help from My Friends; Yesterday",7.81,True,7
a,a,DET,200,38,"A Day in the Life; A Hard Day’s Night; Across the Universe; Back in the U.S.S.R.; Birthday; Blackbird; Come Together; Don’t Let Me Down; Eleanor Rigby; Get Back; Golden Slumbers; Happiness Is a Warm Gun; Helter Skelter; Here Comes the Sun; Here, There and Everywhere; Hey Jude; I Am the Walrus; I Want to Hold Your Hand; I Will; Let It Be; Lucy in the Sky with Diamonds; Maxwell’s Silver Hammer; Michelle; Norwegian Wood (This Bird Has Flown); Ob-La-Di, Ob-La-Da; Octopus’s Garden; Penny Lane; Revolution; Revolution 9; Rocky Raccoon; Sgt. Pepper’s Lonely Hearts Club Band; She Loves You; Strawberry Fields Forever; The Long and Winding Road; When I’m Sixty-Four; With a Little Help from My Friends; Yellow Submarine; Yesterday",5.26,True,8
me,i,PRON,187,31,"A Hard Day’s Night; Across the Universe; Back in the U.S.S.R.; Come Together; Don’t Let Me Down; Happiness Is a Warm Gun; Help!; Helter Skelter; Here, There and Everywhere; Hey Jude; I Am the Walrus; I Saw Her Standing There; I Want to Hold Your Hand; I Will; Let It Be; Michelle; Norwegian Wood (This Bird Has Flown); Now and Then; Octopus’s Garden; Oh! Darling; Revolution; Revolution 9; Sgt. Pepper’s Lonely Hearts Club Band; She Loves You; Something; Strawberry Fields Forever; The Long and Winding Road; When I’m Sixty-Four; With a Little Help from My Friends; Yesterday; You Never Give Me Your Money",6.03,True,9
it,it,PRON,183,36,"A Day in the Life; A Hard Day’s Night; All You Need Is Love; Back in the U.S.S.R.; Birthday; Don’t Let Me Down; Eleanor Rigby; Get Back; Happiness Is a Warm Gun; Hello, Goodbye; Here Comes the Sun; Here, There and Everywhere; Hey Jude; I Am the Walrus; I Want to Hold Your Hand; I Will; Let It Be; Norwegian Wood (This Bird Has Flown); Now and Then; Ob-La-Di, Ob-La-Da; Oh! Darling; Penny Lane; Revolution; Revolution 9; Rocky Raccoon; Sgt. Pepper’s Lonely Hearts Club Band; She Loves You; Something; Strawberry Fields Forever; The Long and Winding Road; When I’m Sixty-Four; While My Guitar Gently Weeps; With a Little Help from My Friends; Yellow Submarine; Yesterday; You Never Give Me Your Money",5.08,True,10
