"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Zombie","The Cranberries","Gold","","September 14, 1994","4730483","170","29","","https://genius.com/The-cranberries-zombie-lyrics","103212","Another head hangs lowly
Child is slowly taken
And the violence caused such silence
Who are we, mistaken?

But you see, it's not me, it's not my family
In your head, in your head, they are fightin'
With their tanks and their bombs and their bombs and their guns
In your head, in your head, they are cryin'

In your head, in your head
Zombie, zombie, zombie-ie-ie
What's in your head, in your head?
Zombie, zombie, zombie-ie-ie-ie, oh

Doo, doo, doo, doo
Doo, doo, doo, doo
Doo, doo, doo, doo
Doo, doo, doo, doo

Another mother's breakin'
Heart is takin' over
When the violence causes silence
We must be mistaken

It's the same old theme, since 1916
In your head, in your head, they're still fightin'
With their tanks and their bombs and their bombs and their guns
In your head, in your head, they are dyin'

In your head, in your head
Zombie, zombie, zombie-ie-ie
What's in your head, in your head?
Zombie, zombie, zombie-ie-ie-ie
Oh-oh-oh-oh, oh-oh-oh, eh-eh-oh, ya-ya"
"2","Linger","The Cranberries","Everybody Else Is Doing It, So Why Can’t We? (Super Deluxe)","","February 9, 1993","834722","292","38","","https://genius.com/The-cranberries-linger-lyrics","213473","Ooh-ooh-ooh-ooh-ooh-ooh
Ooh-ooh
Ooh-ooh-ooh-ooh-ooh-ooh
Mm-mmm

If you, if you could return
Don't let it burn, don't let it fade
I'm sure I'm not being rude, but it's just your attitude
It's tearing me apart, it's ruinin' everything
And I swore, I swore I would be true
And honey, so did you
So why were you holding her hand? Is that the way we stand?
Were you lyin' all the time? Was it just a game to you?

But I'm in so deep
You know I'm such a fool for you
You got me wrapped around your finger
Do you have to let it linger?
Do you have to, do you have to, do you have to let it linger?

Oh, I thought the world of you
I thought nothing could go wrong
But I was wrong, I was wrong
If you, if you could get by
Trying not to lie
Things wouldn't be so confused, and I wouldn't feel so used
But you always really knew I just wanna be with you

And I'm in so deep
You know I'm such a fool for you
You got me wrapped around your finger
Do you have to let it linger?
Do you have to, do you have to, do you have to let it linger?

And I'm in so deep
You know I'm such a fool for you
You got me wrapped around your finger
Do you have to let it linger?
Do you have to, do you have to, do you have to let it linger?
You know I'm such a fool for you
You got me wrapped around your finger
Do you have to let it linger?
Do you have to, do you have to, do you have to let it linger?"
"3","Dreams","The Cranberries","Everybody Else Is Doing It, So Why Can’t We? (Super Deluxe)","","September 29, 1992","671781","169","39","","https://genius.com/The-cranberries-dreams-lyrics","103217","Oh, my life
Is changin' every day
In every possible way
And oh, my dreams
It's never quite as it seems
Never quite as it seems

I know I've felt like this before
But now I'm feelin' it even more
Because it came from you
Then I open up and see
The person fallin' here is me
A different way to be

Ah
La-ah-ya-ah
La-ya-ya
La-ah-ya-ah
Ya-ah, ah, ah

I want more
Impossible to ignore
Impossible to ignore
And they'll come true
Impossible not to do
Impossible not to do

And now I tell you openly
You have my heart, so don't hurt me
You're what I couldn't find
Totally amazing mind
So understanding and so kind
You're everything to me

Oh, my life
Is changin' every day
In every possible way
And oh, my dreams
It's never quite as it seems
'Cause you're a dream to me, dream to me

Ah, la-a-la-ah, la la la
La-a-la-ah, la-ah ah ah
Ah, la-a-la-ah, la la la
La-a-la-ah, la-ah ah ah"
"4","When You’re Gone","The Cranberries","To The Faithful Departed (Deluxe Edition)","","April 30, 1996","287435","186","62","","https://genius.com/The-cranberries-when-youre-gone-lyrics","1044252","Do-be-da, do-be-da
Do-be-da, do-be-da
Do-be-da, do-be-da
Do-be-da, do-be-da

Do-be-da, do-be-da
Do-be-da, do-be-da
Do-be-da, do-be-da
Do-be-da, do-be-da

Hold onto love
That is what I do
Now that I've found you
And from above
Everything's stinking
They're not around you

And in the night
I could be helpless
I could be lonely
Sleeping without you
And in the day
Everything's complex
There's nothing simple
When I'm not around you

But I miss you when you're gone
That is what I do
Hey, baby
And it's going to carry on
That is what I knew
Hey, baby

Do-be-da
Do-be-da
Do-be-da
Do-be-da

Hold onto my hands
I feel I'm sinking
Sinking without you
And to my mind
Everything's stinking
Stinking without you

And in the night
I could be helpless
I could be lonely
Sleeping without you
And in the day
Everything's complex
There's nothing simple
When I'm not around you

And I miss you when you're gone
That is what I do
Hey, baby
And it's going to carry on
That is what I knew
Hey, baby

Do-be-da
Do-be-da
Do-be-da
Do-be-da
Hey, baby
Do-be-da
Do-be-da
Do-be-da
Do-be-da
Hey, baby"
"5","Ode to My Family","The Cranberries","Gold","","November 21, 1994","202260","257","59","","https://genius.com/The-cranberries-ode-to-my-family-lyrics","522152","Du-dudu-du-du-dudu-du
Du-dudu-du-du-dudu-du
Du-dudu-du-du-dudu-du
Du-dudu-du

Understand the things I say
Don't turn away from me
'Cause I've spent half my life out there
You wouldn't disagree

Do you see me, do you see?
Do you like me?
Do you like me standing there?
Do you notice, do you know?
Do you see me, do you see me?
Does anyone care?

Unhappiness where's when I was young
And we didn't give a damn
'Cause we were raised
To see life as fodder and take it if we can

My mother, my mother
She'd hold me
She'd hold me when I was out there
My father, my father
He liked me, well he liked me
Does anyone care?

Understand what I've become
It wasn't my design
And people everywhere think
Something better than I am

And I miss you, I miss
'Cause I liked it
'Cause I liked it
When I was out there
Do you know this, do you know?
You did not find me
You did not find
Does anyone care?

Unhappiness where's when I was young
And we didn't give a damn
'Cause we were raised
To see life as fodder and take it if we can

My mother, my mother
She'd hold me
She'd hold me when I was out there
My father, my father
He liked me, well he liked me
Does anyone care?

Does anyone care?
Does anyone care?
Does anyone care?
Does anyone care?
Does anyone care?
Does anyone care?
Does anyone care?
Does anyone care?
Does anyone care?

Du-dudu-du-du-dudu-du
Du-dudu-du-du-dudu-du
Du-dudu-du-du-dudu-du
Du-dudu-du"
"6","Sunday","The Cranberries","Everybody Else Is Doing It, So Why Can’t We? (Super Deluxe)","","March 1, 1993","73248","182","41","","https://genius.com/The-cranberries-sunday-lyrics","1441553","Oh, do you know
Where to go?
Where to go? Oh
Something on your mind
Wanna leave me behind
Wanna leave me behind

You're spinnin' me around
My feet are off the ground
I don't know where I stand
Do you have to hold my hand?

You mystify me
You mystify me
You mystify me

Oh-woah, when you walk into the room
It happened all so soon
I didn't want to know
Does he really have to go?

You mystify me
You mystify me
You mystify me
Oh

And I didn't find the words
To say I love you
And I couldn't find the time
To say I need you
It wouldn't come out right
It wouldn't come out right
It just came out all wrong

Oh-woah, you're spinnin' me around
My feet are off the ground
I don't know where I stand
Do you have to hold my hand?

You mystify me
You mystify me
You mystify me

Oh, do you know
Where to go?
Where to go? Oh
Something on your mind
Wanna leave me behind
Wanna leave me behind"
"7","Animal Instinct","The Cranberries","Gold","","July 5, 1999","51642","261","32","","https://genius.com/The-cranberries-animal-instinct-lyrics","522144","Suddenly, something has happened to me
As I was having my cup of tea
Suddenly, I was feeling depressed
I was utterly and totally stressed
Do you know you made me cry? (Woah-oh)
Do you know you made me die?

And the thing that gets to me (Thing that gets to me)
Is you'll never really see (Is you'll never really see)
And the thing that freaks me out (The thing that freaks me out)
Is I'll always be in doubt (Always be in doubt)

It is a lovely thing that we have
It is a lovely thing that we
It is a lovely thing
The animal
The animal instinct
(Whoo-huu-hu, whoo-huu-hu, whoo-huu-hu-uhh)

So take my hands and come with me
We will change reality
So take my hands and we will pray
They won't take you away
They will never make me cry, no (Oh)
They will never make me die

And the thing that gets to me (Thing that gets to me)
Is you'll never really see (Is you'll never really see)
And the thing that freaks me out (The thing that freaks me out)
Is I'll always be in doubt (Always be in doubt)

The animal, the animal, the animal instinct in me
It's the animal, the animal, the animal instinct in me
It's the animal, it's the animal, it's the animal instinct in me
It's the animal, it's the animal, it's the animal instinct in me
The animal, the animal, the animal instinct in me
It's the animal, it's the animal, it's the animal instinct in me"
"8","Ridiculous Thoughts","The Cranberries","Gold","","October 3, 1994","44106","294","50","","https://genius.com/The-cranberries-ridiculous-thoughts-lyrics","1634746","Twister, oh, does anyone see through you?
You're a twister, oh, na-na-na-na
But you're so happy, how?
I didn't go along with—
You're so happy, how?
Na-na-na-na

But you're gonna have to hold on
You're gonna have to hold on
You're gonna have to hold on
Hold on, hold on
Or we're gonna have to move on
We're gonna have to move on
Or we're gonna have to move on
Move on, move on

I feel alright, and I cried so hard, the
Ridiculous thoughts, oh, how
I feel alright, alright, alright, alright

Twister, oh, I shouldn't have trusted in you
Twister, oh, a-na-na-na
It's not gonna happen now
You're not gonna make fun of me
Happen now, a-na-na-na

But you're gonna have to hold on
You're gonna have to hold on
But you're gonna have to hold on
Hold on, hold on
Oh, we're gonna have to move on
We're gonna have to move on
Oh, we're gonna have to move on
Move on, move on

I feel alright, and I cried so hard, the
Ridiculous thoughts, oh, how
I feel alright, alright, alright, alright
A-ha-ha-ha-ha-ha
You should have lied, but I cried so hard, the
Ridiculous thoughts, oh, how
We should have lied, a-lied, a-lied, a-lied

But you're gonna have to hold on
You're gonna have to hold on
You're gonna have to hold on
You're gonna have to hold on
You're gonna have to hold on
You're gonna have to hold on
You're gonna have to hold on
You're gonna have to hold on
You're gonna have to hold on
You're gonna have to hold on
Hold on, hold on, hold on, hold on, hold on
Well, you're gonna have to hold on
You're gonna have to hold on, to me"
"9","Just My Imagination","The Cranberries","Gold","","April 19, 1999","39012","287","47","","https://genius.com/The-cranberries-just-my-imagination-lyrics","1588095","There was a game we used to play
We would hit the town on Friday night
Stay in bed until Sunday
We used to be so free
We were livin' for the love we had
Livin' not for reality

Just my imagination (My imagination)
Just my imagination (My imagination)
Just my imagination, it was
Just my imagination (My imagination)
Just my imagination (My imagination)
Just my imagination, it was

That was a time I used to pray
I have always kept my faith in love
It's the greatest thing from the man above
The game I used to play
I've always put my cards upon the table
Never be said that I'd be unstable

Just my imagination (My imagination)
Just my imagination (My imagination)
Just my imagination, it was
Just my imagination (My imagination)
Just my imagination (My imagination)
Just my imagination, it was

There is a game I like to play
I like to hit the town on Friday night
And stay in bed until Sunday
We'll always be this free
We will be livin' for the love we have
Livin' not for reality

It's not my imagination (My imagination)
It's not my imagination (My imagination)
It's not my imagination, it was
Not my imagination (My imagination)
Not my imagination (My imagination)
Not my imagination, it was

Not my, not my (My imagination)
Not my, not my, not my (My imagination)
Not my, not my, not my
Not my, not my (My imagination)
Not my, not my, not my (My imagination)
Not my, not my, not my
Laa, la-la-la, laa, la-la-la-laa
Laa, la-la-la, laa, la-la-la-laa

My imagination, my imagination
My imagination, my imagination (Not my imagination, not my imagination)
My imagination, my imagination (Not my imagination)"
"10","No Need to Argue","The Cranberries","No Need to Argue (The Complete Sessions 1994-1995)","","October 3, 1994","36082","128","19","","https://genius.com/The-cranberries-no-need-to-argue-lyrics","932061","There's no need to argue anymore
I gave all I could, but it left me so sore
And the thing that makes me mad
Is the one thing that I had

I knew, I knew, I'd lose you
You'll always be special to me
Special to me, to me

And I remember all the things we once shared
Watching TV, movies on the living room armchair
But they say it'll work out fine
Was it all a waste of time

'Cause I knew, I knew, I'd lose you
You'll always be special to me
Special to me, to me

Will I forget in time, ah
You said I was on your mind?
There's no need to argue
No need to argue anymore
There's no need to argue anymore"
