word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
you,you,PRON,536,45,All Over Now; Analyse; Animal Instinct; Daffodil Lament; Desperate Andy; Disappointment; Dreaming My Dreams; Dreams; Electric Blue; Empty; Everything I Said; Fee Fi Fo; Free to Decide; Hollywood; How; I Can’t Be With You; I Still Do; I Will Always; In the End; I’m Still Remembering; Linger; Loud and Clear; No Need to Argue; Not Sorry; Ode to My Family; Pretty; Promises; Put Me Down; Ridiculous Thoughts; Schizophrenic Playboy; Stars; Still Can’t...; Sunday; The Icicle Melts; Tomorrow; Twenty One; Wake Me When It’s Over; Waltzing Back; Wanted; When You’re Gone; Why; Yeats’ Grave; You and Me; Zombie; Zombie (Acoustic Version),11.91,True,1
i,i,PRON,412,43,All Over Now; Analyse; Animal Instinct; Bosnia; Daffodil Lament; Disappointment; Dreaming My Dreams; Dreams; Electric Blue; Empty; Everything I Said; Fee Fi Fo; Free to Decide; Hollywood; How; I Can’t Be With You; I Just Shot John Lennon; I Still Do; I Will Always; I’m Still Remembering; Just My Imagination; Linger; Loud and Clear; No Need to Argue; Not Sorry; Ode to My Family; Promises; Put Me Down; Ridiculous Thoughts; Schizophrenic Playboy; Stars; Still Can’t...; Sunday; The Icicle Melts; Tomorrow; Twenty One; Wake Up and Smell the Coffee; Waltzing Back; Wanted; When You’re Gone; Why; Yeats’ Grave; You and Me,9.58,True,2
the,the,DET,305,46,All Over Now; Analyse; Animal Instinct; Bosnia; Daffodil Lament; Desperate Andy; Disappointment; Dreaming My Dreams; Dreams; Empty; Fee Fi Fo; Free to Decide; Hollywood; I Can’t Be With You; I Just Shot John Lennon; I Still Do; I Will Always; In the End; I’m Still Remembering; Just My Imagination; Linger; Loud and Clear; No Need to Argue; Not Sorry; Ode to My Family; Pretty; Promises; Put Me Down; Ridiculous Thoughts; Salvation; Schizophrenic Playboy; Stars; Still Can’t...; Sunday; The Icicle Melts; Tomorrow; Wake Me When It’s Over; Wake Up and Smell the Coffee; Waltzing Back; Wanted; When You’re Gone; Why; Yeats’ Grave; You and Me; Zombie; Zombie (Acoustic Version),6.63,True,3
la,la,PROPN,297,9,Analyse; Desperate Andy; Dreams; Just My Imagination; Loud and Clear; Pretty; Put Me Down; The Icicle Melts; Waltzing Back,33.0,False,4
do,do,AUX,266,28,All Over Now; Analyse; Animal Instinct; Bosnia; Daffodil Lament; Desperate Andy; Dreams; Empty; Everything I Said; Fee Fi Fo; Free to Decide; I Can’t Be With You; I Still Do; Linger; Loud and Clear; Not Sorry; Ode to My Family; Promises; Put Me Down; Salvation; Sunday; The Icicle Melts; Twenty One; Wake Up and Smell the Coffee; Waltzing Back; When You’re Gone; Why; You and Me,9.5,True,5
it,it,PRON,244,37,All Over Now; Animal Instinct; Daffodil Lament; Desperate Andy; Disappointment; Dreaming My Dreams; Dreams; Empty; Everything I Said; Fee Fi Fo; Free to Decide; Hollywood; I Can’t Be With You; I Just Shot John Lennon; I Still Do; I Will Always; In the End; Just My Imagination; Linger; No Need to Argue; Ode to My Family; Pretty; Promises; Put Me Down; Ridiculous Thoughts; Salvation; Still Can’t...; Sunday; Twenty One; Wake Me When It’s Over; Wake Up and Smell the Coffee; Waltzing Back; Wanted; When You’re Gone; You and Me; Zombie; Zombie (Acoustic Version),6.59,True,6
and,and,CCONJ,228,42,All Over Now; Animal Instinct; Bosnia; Daffodil Lament; Desperate Andy; Disappointment; Dreaming My Dreams; Dreams; Empty; Everything I Said; Fee Fi Fo; Free to Decide; Hollywood; I Can’t Be With You; I Just Shot John Lennon; I Will Always; I’m Still Remembering; Just My Imagination; Linger; Loud and Clear; No Need to Argue; Not Sorry; Ode to My Family; Pretty; Promises; Put Me Down; Ridiculous Thoughts; Schizophrenic Playboy; Stars; Still Can’t...; Sunday; The Icicle Melts; Twenty One; Wake Up and Smell the Coffee; Waltzing Back; Wanted; When You’re Gone; Why; Yeats’ Grave; You and Me; Zombie; Zombie (Acoustic Version),5.43,True,7
to,to,ADP,209,39,All Over Now; Analyse; Animal Instinct; Bosnia; Daffodil Lament; Desperate Andy; Disappointment; Dreaming My Dreams; Dreams; Empty; Fee Fi Fo; Free to Decide; I Can’t Be With You; I Still Do; I Will Always; I’m Still Remembering; Just My Imagination; Linger; Loud and Clear; No Need to Argue; Not Sorry; Ode to My Family; Pretty; Promises; Put Me Down; Ridiculous Thoughts; Salvation; Schizophrenic Playboy; Still Can’t...; Sunday; The Icicle Melts; Tomorrow; Twenty One; Wake Me When It’s Over; Wake Up and Smell the Coffee; Wanted; When You’re Gone; Yeats’ Grave; You and Me,5.36,True,8
me,i,PRON,200,32,Animal Instinct; Dreaming My Dreams; Dreams; Electric Blue; Empty; Everything I Said; Hollywood; How; I Can’t Be With You; I Will Always; I’m Still Remembering; Linger; Loud and Clear; No Need to Argue; Not Sorry; Ode to My Family; Pretty; Promises; Put Me Down; Ridiculous Thoughts; Schizophrenic Playboy; Still Can’t...; Sunday; Tomorrow; Twenty One; Wake Me When It’s Over; Wanted; Why; Yeats’ Grave; You and Me; Zombie; Zombie (Acoustic Version),6.25,True,9
oh,oh,INTJ,192,16,Desperate Andy; Dreaming My Dreams; Dreams; Everything I Said; I Just Shot John Lennon; I Still Do; In the End; Linger; Promises; Put Me Down; Ridiculous Thoughts; Sunday; Waltzing Back; Wanted; You and Me; Zombie,12.0,False,10
s,be,AUX,180,33,All Over Now; Animal Instinct; Daffodil Lament; Desperate Andy; Dreaming My Dreams; Dreams; Electric Blue; Empty; Fee Fi Fo; Free to Decide; Hollywood; I Can’t Be With You; I Just Shot John Lennon; I Will Always; Just My Imagination; Linger; Loud and Clear; No Need to Argue; Ode to My Family; Promises; Ridiculous Thoughts; Salvation; Schizophrenic Playboy; Still Can’t...; The Icicle Melts; Twenty One; Wake Me When It’s Over; Wake Up and Smell the Coffee; Waltzing Back; When You’re Gone; You and Me; Zombie; Zombie (Acoustic Version),5.45,True,11
a,a,DET,155,26,All Over Now; Animal Instinct; Daffodil Lament; Desperate Andy; Disappointment; Dreams; Empty; Fee Fi Fo; Free to Decide; Hollywood; I Just Shot John Lennon; I Will Always; I’m Still Remembering; Just My Imagination; Linger; Loud and Clear; No Need to Argue; Ode to My Family; Ridiculous Thoughts; Schizophrenic Playboy; Stars; The Icicle Melts; Tomorrow; Twenty One; Wake Me When It’s Over; You and Me,5.96,True,12
in,in,ADP,154,33,All Over Now; Animal Instinct; Bosnia; Disappointment; Dreaming My Dreams; Dreams; Everything I Said; Fee Fi Fo; Free to Decide; Hollywood; How; I Can’t Be With You; I Just Shot John Lennon; In the End; I’m Still Remembering; Just My Imagination; Linger; Loud and Clear; No Need to Argue; Promises; Put Me Down; Ridiculous Thoughts; Schizophrenic Playboy; The Icicle Melts; Tomorrow; Wake Me When It’s Over; Wanted; When You’re Gone; Why; Yeats’ Grave; You and Me; Zombie; Zombie (Acoustic Version),4.67,True,13
na,na,VERB,145,7,Desperate Andy; I Can’t Be With You; I Still Do; Promises; Ridiculous Thoughts; Still Can’t...; Waltzing Back,20.71,False,14
my,my,PRON,138,28,Analyse; Animal Instinct; Bosnia; Daffodil Lament; Dreaming My Dreams; Dreams; Empty; Everything I Said; Free to Decide; Hollywood; I Can’t Be With You; I Still Do; I Will Always; In the End; I’m Still Remembering; Just My Imagination; Loud and Clear; Ode to My Family; Stars; Sunday; Twenty One; Wake Up and Smell the Coffee; Waltzing Back; Wanted; When You’re Gone; Yeats’ Grave; Zombie; Zombie (Acoustic Version),4.93,True,15
