"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Sympathy for the Devil","The Rolling Stones","The Rolling Stones Singles Collection: The London Years","","December 6, 1968","1045517","465","75","","https://genius.com/The-rolling-stones-sympathy-for-the-devil-lyrics","59472","Yeow
Yeow
Yeow

Please allow me to introduce myself
I'm a man of wealth and taste
I've been around for a long, long year
Stole many a man's soul and faith
And I was 'round when Jesus Christ
Had his moment of doubt and pain
Made damn sure that Pilate
Washed his hands and sealed his fate

Pleased to meet you, hope you guess my name
But what's puzzlin' you is the nature of my game

Stuck around St. Petersburg
When I saw it was a time for a change
Killed the Tsar and his ministers
Anastasia screamed in vain
I rode a tank, held a general's rank
When the Blitzkrieg raged and the bodies stank

Pleased to meet you, hope you guess my name
Oh yeah
Ah, what's puzzlin' you is the nature of my game
Aww yeah

I watched with glee while your kings and queens
Fought for ten decades for the gods they made
I shouted out, ""Who killed the Kennedys?""
When, after all, it was you and me
Let me please introduce myself
I'm a man of wealth and taste
And I laid traps for troubadours
Who get killed before they reach Bombay

Pleased to meet you, hope you guess my name
Oh yeah
But what's puzzlin' you is the nature of my game
Aww yeah
(Uh, get down heavy!)

Pleased to meet you, hope you'll guess my name
Aww yeah
But what's confusin' you is just the nature of my game
Mmm yeah

Just as every cop is a criminal
And all the sinners saints
As heads is tails, just call me Lucifer
'Cause I'm in need of some restraint
So if you meet me, have some courtesy
Have some sympathy and some taste
Use all your well-learned politesse
Or I'll lay your soul to waste
Mmm, yeah

Pleased to meet you, hope you guessed my name
Mmm, yeah
But what's puzzlin' you is the nature of my game
Mmm, mean it, get down

Woo hoo!
Aww yeah
Get on down
Oh yeah
Ba bum bum, ba ba bum, ba ba bum, ba ba bum, ba ba bum, ba ba bum, ba ba bum, ba ba bum, ba ba bum, yeah
Ah yeah
Tell me, baby, what's my name?
Tell me, honey, can you guess my name?
Tell me, baby, what's my name?
I'll tell you one time, you're to blame
Ooo hoo, ooo hoo, ooo hoo
All right
Ooo hoo hoo, ooo hoo hoo, ooo hoo hoo
Ah yeah
Ooo hoo hoo, ooo hoo hoo
Ah, yes, what's my name?
Tell me, baby, ah, what's my name?
Tell me, sweetie, what's my name?
Ooo hoo hoo, ooo hoo hoo, ooo hoo hoo, ooo hoo hoo
Ooo hoo hoo, ooo hoo hoo, ooo hoo hoo
Ah yeah
What's my name..."
"2","Paint It, Black","The Rolling Stones","The Rolling Stones Singles Collection: The London Years","","May 13, 1966","946773","334","33","","https://genius.com/The-rolling-stones-paint-it-black-lyrics","1545","I see a red door and I want it painted black
No colours anymore, I want them to turn black
I see the girls walk by dressed in their summer clothes
I have to turn my head until my darkness goes

I see a line of cars and they're all painted black
With flowers and my love, both never to come back
I see people turn their heads and quickly look away
Like a newborn baby, it just happens every day

I look inside myself and see my heart is black
I see my red door, I must have it painted black
Maybe then I'll fade away and not have to face the facts
It's not easy facing up when your whole world is black

No more will my green sea go turn a deeper blue
I could not foresee this thing happening to you
If I look hard enough into the setting sun
My love will laugh with me before the morning comes

I see a red door and I want it painted black
No colours anymore, I want them to turn black
I see the girls walk by dressed in their summer clothes
I have to turn my head until my darkness goes

Hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm
Hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm
Hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm
Hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm
I wanna see it painted, painted black
Black as night, black as coal
I wanna see the sun, blotted out from the sky
I wanna see it painted, painted, painted
Painted black, yeah
Hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm
Hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm
Hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm
Hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm"
"3","Brown Sugar","The Rolling Stones","The Rolling Stones Singles Collection: The London Years","","April 16, 1971","862608","215","27","","https://genius.com/The-rolling-stones-brown-sugar-lyrics","106069","Gold coast slave ship bound for cotton fields
Sold in the market down in New Orleans
Scarred old slaver knows he's doing alright
Hear him whip the women just around midnight

Brown sugar, how come you taste so good? Uh huh
Brown sugar, just like a young girl should, uh huh, oh (Woo)

Drums beating, cold English blood runs hot
Lady of the house wonderin' when it's gonna stop
House boy knows that he's doing alright
You shoulda heard 'em just around midnight

Brown sugar, how come you taste so good now?
Brown sugar, just like a young girl should now (Yeah)

Ah, get on, brown sugar, how come you taste so good?
Ah, got me craving the, the brown sugar
Just like a black girl should, yeah

Ah, and I bet your mama was a tent show queen
And all her boyfriends were sweet sixteen
I'm no schoolboy, but I know what I like
You shoulda heard me just around midnight

Brown sugar, how come you taste so good, baby?
Ah, come down, brown sugar
Just like a young girl should, yeah

I said, yeah, yeah, yeah, woo
How come you, how come you taste so good?
Yeah, yeah, yeah, woo
Just like a, just like a black girl should
Yeah, yeah, yeah, woo"
"4","Wild Horses","The Rolling Stones","The Rolling Stones Singles Collection: The London Years","","April 23, 1971","640538","152","20","","https://genius.com/The-rolling-stones-wild-horses-lyrics","1483","Childhood living is easy to do
The things you wanted, I bought them for you
Graceless lady, you know who I am
You know I can't let you slide through my hands

Wild horses couldn't drag me away
Wild, wild horses couldn't drag me away

I watched you suffer a dull, aching pain
Now you decided to show me the same
No sweeping exits or offstage lines
Could make me feel bitter or treat you unkind

Wild horses couldn't drag me away
Wild, wild horses couldn't drag me away

I know I dreamed you a sin and a lie
I have my freedom, but I don't have much time
Faith has been broken, tears must be cried
Let's do some living after we die

Wild horses couldn't drag me away
Wild, wild horses, we'll ride them some day

Wild horses couldn't drag me away
Wild, wild horses, we'll ride them some day"
"5","Gimme Shelter","The Rolling Stones","GRRR!","","December 5, 1969","512378","223","55","","https://genius.com/The-rolling-stones-gimme-shelter-lyrics","73114","Ooh-ooh-ooh
Ooh-ooh-ooh
Ooh-ooh-ooh
Ooh-ooh-ooh

Ooh, a storm is threatening
My very life today
If I don't get some shelter
Ooh yeah, I'm gonna fade away

War, children
It's just a shot away
It's just a shot away
War, children
It's just a shot away
It's just a shot away, yeah

Ooh, see the fire is sweepin'
Our very streets today
Burns like a red-coal carpet
Mad bull, lost your way

War, children, yeah
It's just a shot away
It's just a shot away
War, children, yeah
It's just a shot away
It's just a shot away

Hey-hey

[Bridge: Merry Clayton &
Mick Jagger
]
Rape, murder, it's just a shot away
It's just a shot away
Rape, murder, yeah, it's just a shot away
It's just a shot away
Rape, murder (
Whoo
), it's just a shot away
It's just a shot away
Yeah

Mmm, a flood is threatening
My very life today
Gimme,
gimme shelter
Or I'm gonna fade away

War, children
It's just a shot away
It's just a shot away
It's just a shot away
It's just a shot away
It's just a shot away

I tell you, love, sister
It's just a kiss away
It's just a kiss away
It's just a kiss away
It's just a kiss away
It's just a kiss away
Kiss away, kiss away"
"6","You Can’t Always Get What You Want","The Rolling Stones","The Rolling Stones Singles Collection: The London Years","","July 4, 1969","353337","459","74","","https://genius.com/The-rolling-stones-you-cant-always-get-what-you-want-lyrics","81705","I saw her today at the reception
A glass of wine in her hand
I knew she would meet her connection
At her feet was a footloose man
No, you can't always get what you want
You can't always get what you want
You can't always get what you want
But if you try sometime
You'll find
You get what you need

I saw her today at the reception
A glass of wine in her hand
I knew she was gonna meet her connection
At her feet was a footloose man

You can't always get what you want
You can't always get what you want
You can't always get what you want
But if you try sometimes
Well, you might find
You get what you need
Ahh, yeahhh
Ooh

And I went down to the demonstration
To get my fair share of abuse
Singing, ""We're gonna vent our frustration
If we don't, we're going to blow a 50-amp fuse""
Sing it to me, honey

You can't always get what you want
You can't always get what you want
You can't always get what you want
But if you try sometimes
Well, you just might find
You get what you need
Ah, baby, yeah
Ahh

I went down to the Chelsea drugstore
To get your prescription filled
I was standing in line with Mr. Jimmy
And, man, did he look pretty ill
We decided that we would have a soda
My favorite flavor, cherry red
I sung my song to Mr. Jimmy
Yeah, and he said one word to me, and that was ""dead""
I said to him:

You can't always get what you want, well, no
You can't always get what you want, I tell you, baby
You can't always get what you want, no
But if you try sometime
You just might find, uh, mm
You get what you need, oh, yeah, woo!
Woo!
Ahhoww-ooh!

You get what you need
Yeah
Oww, baby
Oh, yeah

I saw her today at the reception
In her glass was a bleeding man
She was practiced at the art of deception
Well, I could tell by her blood-stained hands
Sing it

You can't always get what you want, yeah
You can't always get what you want, ooh, yeah
You can't always get what you want
But if you try sometime, you just might find
You just might find, you get what you need, ah, yeah
Ahh, yeah, woo!
Ah, you can't always get what you want (No-no, baby)
You can't always get what you want (I'm telling you now-now)
You can't always get what you want
Mmm, but if you try sometime, you just might find
You just might find that you get what you need
Ah, yeah
Ah, yeah! Do that"
"7","Beast of Burden","The Rolling Stones","GRRR!","","September 9, 1978","328231","303","44","","https://genius.com/The-rolling-stones-beast-of-burden-lyrics","436889","I'll never be your beast of burden
My back is broad, but it's a-hurting
All I want, for you to make love to me
I'll never be your beast of burden
I've walked for miles, my feet are hurting
All I want is for you to make love to me

Am I hard enough?
Am I rough enough?
Am I rich enough?
I'm not too blind to see

I'll never be your beast of burden
So let's go home and draw the curtains
Music on the radio
Come on, baby, make sweet love to me

Am I hard enough?
Am I rough enough?
Am I rich enough?
I'm not too blind to see

Oh, little sister
Pretty, pretty, pretty, pretty girls
You're a pretty, pretty, pretty, pretty, pretty, pretty girl
Pretty, pretty, such a pretty, pretty, pretty girl
Come on, baby, please, please, please

I'll tell you, you can put me out on the street
Put me out with no shoes on my feet
But put me out, put me out
Put me out of misery, yeah
All your sickness, I can suck it up
Throw it all at me, I can shrug it off
There's one thing, baby, I don't understand
You keep on telling me I ain't your kind of man

Ain't I rough enough? Ooh, honey
Ain't I tough enough?
Ain't I rich enough? In love enough?
Ooh, please

I'll never be your beast of burden
I'll never be your beast of burden
Never, never, never, never, never, never, never be
I'll never be your beast of burden
I've walked for miles, my feet are hurting
All I want is you to make love to me, yeah
I don't need no beast of burden
I need no fussing, I need no nursing
Never, never, never, never, never, never, never be"
"8","(I Can’t Get No) Satisfaction","The Rolling Stones","The Rolling Stones Singles Collection: The London Years","","June 6, 1965","313259","261","37","","https://genius.com/The-rolling-stones-i-cant-get-no-satisfaction-lyrics","1544","I can't get no satisfaction
I can't get no satisfaction
'Cause I try, and I try, and I try and I try
I can't get no, I can't get no

When I'm driving in my car
And that man comes on the radio
And he's telling me more and more
About some useless information
Supposed to fire my imagination
I can't get no, oh no, no, no
Hey, hey, hey, that's what I'll say

I can't get no satisfaction
I can't get no satisfaction
'Cause I try, and I try, and I try, and I try
I can't get no, I can't get no

When I'm watching my TV
And a man comes on and tells me
How white my shirts can be
Well, he can't be a man 'cause he doesn't smoke
The same cigarettes as me
I can't get no, oh no, no, no
Hey, hey, hey, that's what I say

I can't get no satisfaction
I can't get no girl reaction
'Cause I try, and I try, and I try, and I try
I can't get no, I can't get no

When I'm riding 'round the world
And I'm doing this and I'm signing that
And I'm trying to make some girl
Who tells me, ""Baby, better come back, maybe next week""
'Cause you see, I'm on a losing streak
I can't get no, oh no, no, no
Hey, hey, hey, that's what I'll say

I can't get no, I can't get no
I can't get no satisfaction
No satisfaction, no satisfaction, no satisfaction
I can't get no"
"9","Honky Tonk Women","The Rolling Stones","The Rolling Stones Singles Collection: The London Years","","July 4, 1969","300139","158","20","","https://genius.com/The-rolling-stones-honky-tonk-women-lyrics","194092","I met a gin-soaked barroom queen in Memphis
She tried to take me upstairs for a ride
She had to heave me right across her shoulder
'Cause I just can't seem to drink you off my mind

It's the honky tonk women
That gimme, gimme, gimme the honky tonk blues

I laid a divorcee in New York City
I had to put up some kind of a fight
The lady then she covered me in roses
She blew my nose and then she blew my mind

It's the honky tonk women
That gimme, gimme, gimme the honky tonk blues

Strollin' on the boulevards of Paris
Naked as the day that I will die
The sailors, they're so charming there in Paris
But I just don't seem to sail you off my mind

It's the honky tonk women
That gimme, gimme, gimme the honky tonk blues

It's the honky tonk women
That gimme, gimme, gimme the honky tonk blues"
"10","Start Me Up","The Rolling Stones","GRRR!","","August 14, 1981","292353","309","49","","https://genius.com/The-rolling-stones-start-me-up-lyrics","49973","If you start me up
If you start me up, I'll never stop
If you start me up
If you start me up, I'll never stop

I've been running hot
You got me ticking, now don't blow my top
If you start me up
If you start me up, I'll never stop
Never stop, never stop, never stop

You make a grown man cry
You make a grown man cry
You make a grown man cry
Spread out the oil, the gasoline
I walk smooth, ride in a mean, mean machine
Start it up

If you start it up
Kick on the starter, give it all you got
You got to, you got to
I can't compete with the riders in the other heats
If you rough it up
If you like it, I can slide it up
Slide it up, slide it up, slide it up

Don't make a grown man cry
Don't make a grown man cry
Don't make a grown man cry
My eyes dilate, my lips go green
My hands are greasy, she's a mean, mean machine
Start it up

Start me up
Ah, ah, give it all you've got
You've got to never, never, never stop
Slide it up, whoo!
Ah rev it up to start it up
Start it up, start it up, start it up
Never, never, never

You make a grown man cry
You make a grown man cry
You make a grown man cry
Ride like the wind at double speed
I'll take you places that you've never, never seen
Hey, hey

If you start it up
Let me tell you, we will never stop, never stop
Never, never, never stop
Start me up
Never stop, never stop

You, you, you make a grown man cry
You, you make a dead man come
You, you make a dead man come"
