word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,561,47,"(I Can’t Get No) Satisfaction; Angie; Angry; As Tears Go By; Beast of Burden; Bitch; Brown Sugar; Can’t You Hear Me Knocking; Dead Flowers; Fool to Cry; Get Off of My Cloud; Gimme Shelter; Happy; Honky Tonk Women; It’s All Over Now; Jumpin’ Jack Flash; Lady Jane; Let It Bleed; Love in Vain; Loving Cup; Midnight Rambler; Miss You; Monkey Man; Moonlight Mile; Mother’s Little Helper; No Expectations; Out of Time; Paint It, Black; Rocks Off; Ruby Tuesday; Shattered; Shine a Light; Some Girls; Star Star; Start Me Up; Stray Cat Blues; Street Fighting Man; Sway; Sweet Sounds of Heaven; Sweet Virginia; Sympathy for the Devil; The Last Time; Tumbling Dice; Under My Thumb; Waiting On a Friend; Wild Horses; You Can’t Always Get What You Want",11.94,True,1
you,you,PRON,539,43,"(I Can’t Get No) Satisfaction; Angie; Angry; Beast of Burden; Bitch; Brown Sugar; Can’t You Hear Me Knocking; Dead Flowers; Fool to Cry; Get Off of My Cloud; Gimme Shelter; Happy; Heaven; Honky Tonk Women; Lady Jane; Let It Bleed; Loving Cup; Midnight Rambler; Miss You; Monkey Man; Moonlight Mile; Mother’s Little Helper; No Expectations; Out of Time; Paint It, Black; Play with Fire; Rocks Off; Ruby Tuesday; Shattered; She’s a Rainbow; Shine a Light; Some Girls; Star Star; Start Me Up; Stray Cat Blues; Sway; Sweet Sounds of Heaven; Sweet Virginia; Sympathy for the Devil; The Last Time; Tumbling Dice; Wild Horses; You Can’t Always Get What You Want",12.53,True,2
a,a,DET,348,46,"(I Can’t Get No) Satisfaction; Angie; Angry; Beast of Burden; Bitch; Brown Sugar; Dead Flowers; Fool to Cry; Get Off of My Cloud; Gimme Shelter; Happy; Honky Tonk Women; It’s All Over Now; Jumpin’ Jack Flash; Let It Bleed; Love in Vain; Loving Cup; Midnight Rambler; Miss You; Monkey Man; Moonlight Mile; Mother’s Little Helper; No Expectations; Out of Time; Paint It, Black; Play with Fire; Rocks Off; Ruby Tuesday; Shattered; She’s a Rainbow; Shine a Light; Some Girls; Star Star; Start Me Up; Stray Cat Blues; Street Fighting Man; Sway; Sweet Sounds of Heaven; Sweet Virginia; Sympathy for the Devil; The Last Time; Tumbling Dice; Under My Thumb; Waiting On a Friend; Wild Horses; You Can’t Always Get What You Want",7.57,True,3
the,the,DET,344,49,"(I Can’t Get No) Satisfaction; Angie; Angry; As Tears Go By; Beast of Burden; Bitch; Brown Sugar; Can’t You Hear Me Knocking; Dead Flowers; Fool to Cry; Get Off of My Cloud; Gimme Shelter; Happy; Heaven; Honky Tonk Women; It’s All Over Now; Jumpin’ Jack Flash; Lady Jane; Love in Vain; Loving Cup; Midnight Rambler; Miss You; Monkey Man; Moonlight Mile; Mother’s Little Helper; No Expectations; Out of Time; Paint It, Black; Play with Fire; Rocks Off; Ruby Tuesday; Shattered; She’s a Rainbow; Shine a Light; Some Girls; Star Star; Start Me Up; Stray Cat Blues; Street Fighting Man; Sway; Sweet Sounds of Heaven; Sweet Virginia; Sympathy for the Devil; The Last Time; Tumbling Dice; Under My Thumb; Waiting On a Friend; Wild Horses; You Can’t Always Get What You Want",7.02,True,4
me,i,PRON,271,35,"(I Can’t Get No) Satisfaction; Angie; Angry; As Tears Go By; Beast of Burden; Bitch; Brown Sugar; Can’t You Hear Me Knocking; Dead Flowers; Fool to Cry; Get Off of My Cloud; Happy; Honky Tonk Women; It’s All Over Now; Lady Jane; Let It Bleed; Loving Cup; Midnight Rambler; No Expectations; Paint It, Black; Play with Fire; Rocks Off; Shattered; Some Girls; Star Star; Start Me Up; Sway; Sweet Sounds of Heaven; Sweet Virginia; Sympathy for the Devil; The Last Time; Tumbling Dice; Under My Thumb; Wild Horses; You Can’t Always Get What You Want",7.74,True,5
n't,not,PART,269,38,(I Can’t Get No) Satisfaction; Angie; Angry; As Tears Go By; Beast of Burden; Bitch; Can’t You Hear Me Knocking; Dead Flowers; Fool to Cry; Get Off of My Cloud; Gimme Shelter; Happy; Honky Tonk Women; Let It Bleed; Loving Cup; Midnight Rambler; Miss You; Monkey Man; Moonlight Mile; Mother’s Little Helper; Out of Time; Play with Fire; Rocks Off; Ruby Tuesday; Shattered; Shine a Light; Some Girls; Star Star; Start Me Up; Stray Cat Blues; Sway; Sweet Sounds of Heaven; The Last Time; Tumbling Dice; Under My Thumb; Waiting On a Friend; Wild Horses; You Can’t Always Get What You Want,7.08,True,6
to,to,PART,239,43,"(I Can’t Get No) Satisfaction; Angie; Angry; As Tears Go By; Beast of Burden; Bitch; Dead Flowers; Fool to Cry; Get Off of My Cloud; Happy; Honky Tonk Women; It’s All Over Now; Jumpin’ Jack Flash; Lady Jane; Let It Bleed; Love in Vain; Loving Cup; Midnight Rambler; Miss You; Monkey Man; Moonlight Mile; Mother’s Little Helper; No Expectations; Out of Time; Paint It, Black; Rocks Off; Ruby Tuesday; Shattered; Shine a Light; Some Girls; Star Star; Start Me Up; Street Fighting Man; Sway; Sweet Sounds of Heaven; Sweet Virginia; Sympathy for the Devil; The Last Time; Tumbling Dice; Under My Thumb; Waiting On a Friend; Wild Horses; You Can’t Always Get What You Want",5.56,True,7
and,and,CCONJ,211,46,"(I Can’t Get No) Satisfaction; Angie; Angry; As Tears Go By; Beast of Burden; Bitch; Brown Sugar; Can’t You Hear Me Knocking; Dead Flowers; Fool to Cry; Get Off of My Cloud; Happy; Heaven; Honky Tonk Women; It’s All Over Now; Jumpin’ Jack Flash; Lady Jane; Let It Bleed; Love in Vain; Loving Cup; Midnight Rambler; Miss You; Monkey Man; Moonlight Mile; Mother’s Little Helper; No Expectations; Out of Time; Paint It, Black; Play with Fire; Rocks Off; Ruby Tuesday; Shattered; She’s a Rainbow; Shine a Light; Some Girls; Star Star; Stray Cat Blues; Street Fighting Man; Sweet Sounds of Heaven; Sweet Virginia; Sympathy for the Devil; The Last Time; Tumbling Dice; Waiting On a Friend; Wild Horses; You Can’t Always Get What You Want",4.59,True,8
it,it,PRON,210,38,"Angie; Angry; As Tears Go By; Beast of Burden; Bitch; Brown Sugar; Dead Flowers; Fool to Cry; Get Off of My Cloud; Gimme Shelter; Happy; Honky Tonk Women; It’s All Over Now; Jumpin’ Jack Flash; Let It Bleed; Love in Vain; Midnight Rambler; Miss You; Moonlight Mile; Mother’s Little Helper; No Expectations; Out of Time; Paint It, Black; Rocks Off; Ruby Tuesday; Shattered; Some Girls; Start Me Up; Stray Cat Blues; Sway; Sweet Sounds of Heaven; Sweet Virginia; Sympathy for the Devil; The Last Time; Tumbling Dice; Under My Thumb; Waiting On a Friend; You Can’t Always Get What You Want",5.53,True,9
my,my,PRON,207,43,"(I Can’t Get No) Satisfaction; Angry; As Tears Go By; Beast of Burden; Bitch; Can’t You Hear Me Knocking; Dead Flowers; Fool to Cry; Get Off of My Cloud; Gimme Shelter; Happy; Heaven; Honky Tonk Women; It’s All Over Now; Jumpin’ Jack Flash; Lady Jane; Let It Bleed; Love in Vain; Loving Cup; Midnight Rambler; Miss You; Monkey Man; Moonlight Mile; No Expectations; Out of Time; Paint It, Black; Rocks Off; Shattered; Shine a Light; Some Girls; Start Me Up; Stray Cat Blues; Street Fighting Man; Sway; Sweet Sounds of Heaven; Sweet Virginia; Sympathy for the Devil; The Last Time; Tumbling Dice; Under My Thumb; Waiting On a Friend; Wild Horses; You Can’t Always Get What You Want",4.81,True,10
