"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","The Hills","The Weeknd","The Highlights (Deluxe)","","May 27, 2015","10978029","460","59","","https://genius.com/The-weeknd-the-hills-lyrics","727466","Yeah
Yeah
Yeah

Your man on the road, he doin' promo
You said, ""Keep our business on the low-low""
I'm just tryna get you out the friend zone
'Cause you look even better than the photos
I can't find your house, send me the info
Drivin' through the gated residential
Found out I was comin', sent your friends home
Keep on tryna hide it, but your friends know

I only call you when it's half-past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half-past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

I'ma let you know and keep it simple
Tryna keep it up don't seem so simple
I just fucked two bitches 'fore I saw you
And you gon' have to do it at my tempo
Always tryna send me off to rehab
Drugs started feelin' like it's decaf
I'm just tryna live life for the moment
And all these motherfuckers want a relapse

I only call you when it's half-past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half-past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

Hills have eyes, the hills have eyes
Who are you to judge? Who are you to judge?
Hide your lies (Hide your lies), girl, hide your lies (Hide your lies, oh, baby)
Only you to trust (Only you, only you), only you (Only you)

I only call you when it's half-past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half-past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

Ewedihalehu
Yene konjo, ewedihalehu
Yene fikir, fikir, fikir, fikir
Yene fikir, fikir, fikir, fikir
Ewedihalehu
Yene konjo, ewedihalehu..."
"2","Starboy","The Weeknd","The Highlights (Deluxe)","","September 21, 2016","9628184","484","81","Daft Punk","https://genius.com/The-weeknd-starboy-lyrics","2851948","Ayy

I'm tryna put you in the worst mood, ah
P1 cleaner than your church shoes, ah
Milli point two just to hurt you, ah
All red Lamb' just to tease you, ah
None of these toys on lease too, ah
Made your whole year in a week too, yah
Main bitch outta your league too, ah
Side bitch outta your league too, ah

House so empty, need a centerpiece
Twenty racks a table, cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face, man, I love my baby, ah
You talkin' money, need a hearin' aid
You talkin' 'bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain

(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy

Every day, a nigga try to test me, ah
Every day, a nigga try to end me, ah
Pull off in that Roadster SV, ah
Pockets overweight, gettin' hefty, ah
Comin' for the king, that's a far cry, I
I come alive in the fall time, I
The competition, I don't really listen
I'm in the blue Mulsanne, bumpin' New Edition

House so empty, need a centerpiece
Twenty racks a table, cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face, man, I love my baby, ah
You talkin' money, need a hearin' aid
You talkin' 'bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain

(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy

Let a nigga brag Pitt
Legend of the fall, took the year like a bandit
Bought Mama a crib and a brand new wagon
Now she hit the grocery shop lookin' lavish
Star Trek roof in that Wraith of Khan
Girls get loose when they hear this song
A hundred on the dash get me close to God
We don't pray for love, we just pray for cars

House so empty, need a centerpiece
Twenty racks a table, cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face, man, I love my baby, ah
You talkin' money, need a hearin' aid
You talkin' 'bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain

(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy"
"3","Die For You","The Weeknd","The Highlights (Deluxe)","","November 25, 2016","5362565","437","59","","https://genius.com/The-weeknd-die-for-you-lyrics","2911557","I'm findin' ways to articulate the feelin' I'm goin' through
I just can't say I don't love you (Yeah)
'Cause I love you, yeah
It's hard for me to communicate the thoughts that I hold
But tonight, I'm gon' let you know
Let me tell the truth
Baby, let me tell the truth, yeah

You know what I'm thinkin', see it in your eyes
You hate that you want me, hate it when you cry
You're scared to be lonely, 'specially in the night
I'm scared that I'll miss you, happens every time
I don't want this feelin', I can't afford love
I try to find a reason to pull us apart
It ain't workin' 'cause you're perfect
And I know that you're worth it
I can't walk away, oh

Even though we're goin' through it
And it makes you feel alone
Just know that I would die for you
Baby, I would die for you, yeah
The distance and the time between us
It'll never change my mind 'cause
Baby, I would die for you
Baby, I would die for you, yeah (Say)

I'm findin' ways to manipulate the feelin' you're goin' through
But, baby girl, I'm not blamin' you
Just don't blame me, too, yeah
'Cause I can't take this pain forever
And you won't find no one that's better
'Cause I'm right for you, babe
I think I'm right for you, babe

You know what I'm thinkin', see it in your eyes
You hate that you want me, hate it when you cry
It ain't workin' 'cause you're perfect
And I know that you're worth it
I can't walk away, oh

Even though we're goin' through it
And it makes you feel alone
Just know that I would die for you
Baby, I would die for you, yeah
The distance and the time between us
It'll never change my mind 'cause
Baby, I would die for you, uh
Baby, I would die for you, yeah

I would die for you, I would lie for you
Keep it real with you, I would kill for you, my baby
I'm just sayin', yeah
I would die for you, I would lie for you
Keep it real with you, I would kill for you, my baby
Na-na-na, na-na-na, na-na-na

Even though we're goin' through it
And it makes you feel alone
Just know that I would die for you
Baby, I would die for you, yeah
The distance and the time between us
It'll never change my mind 'cause
Baby, I would die for you
Baby, I would die for you, yeah (Oh, babe)

(Die for you)"
"4","Can’t Feel My Face","The Weeknd","The Highlights (Deluxe)","","June 8, 2015","4801358","493","79","","https://genius.com/The-weeknd-cant-feel-my-face-lyrics","729458","And I know she'll be the death of me
At least we'll both be numb
And she'll always get the best of me
The worst is yet to come
But at least we'll both be beautiful
And stay forever young
This I know, uh
This I know

She told me, ""Don't worry
About it""
She told me, ""Don't worry
No more""
We both know we can't go
Without it
She told me, ""You'll never
Be alo-oh-oh-ooh""

I can't feel my face when I'm with you
But I love it
But I love it, oh
I can't feel my face when I'm with you
But I love it
But I love it, oh

And I know she'll be the death of me
At least we'll both be numb
And she'll always get the best of me
The worst is yet to come
All the misery was necessary
When we're deep in love
This I know (Girl)
Girl, I know, uh

She told me, ""Don't worry
About it""
She told me, ""Don't worry
No more""
We both know we can't go
Without it
She told me, ""You'll never
Be alo-oh-oh-ooh""

I can't feel my face when I'm with you
But I love it
But I love it, oh
I can't feel my face when I'm with you (I can't feel my face)
But I love it (But I love it)
But I love it (I can't feel my face), oh
I can't feel my face when I'm with you (When I'm with you)
But I love it (But I love it, yeah)
But I love it (But I love it), oh
(I can't feel my face) I can't feel my face when I'm with (When I'm with you) you
But I love it (But I love it)
But I love it (Girl, I love it), oh

Oh
Oh-oh
Ooh-ooh

She told me, ""Don't worry
About it""
She told me, ""Don't worry
No more""
We both know we can't go (Can't go)
Without it
She told me, ""You'll never
Be alo-oh-oh—
Ooh""

I can't feel my face when I'm with you (I can't feel my face, girl)
But I love it (But I love it, yeah)
But I love it (Oh, I love it, yeah) oh
I can't feel my face when I'm with you (Said, I can't feel my face)
But I love it (But I love it)
But I love it (Girl, I love it), oh
(I can't feel my face) I can't feel my face when I'm with
(When I'm with you) you
But I love it (Know I love it, girl)
But I love it (Don't you think I do?), oh
(I can't feel my face) I can't feel my face when I'm with
(When I'm with you) you (I can't feel my face, girl)
But I love it (When I'm with you, baby)
But I love it (Said, when I'm with you, baby), oh
I can't feel my fa—

Uh
Hey"
"5","Reminder","The Weeknd","The Highlights (Deluxe)","","November 25, 2016","3827379","523","76","","https://genius.com/The-weeknd-reminder-lyrics","2911564","Record man play my song on the radio
You too busy tryna find that blue-eyed soul
I let my black hair grow and my weed smoke
And I swear too much on the regular
We gon' let them hits fly, we gon' let it go
If it ain't XO, then it gotta go
I just won a new award for a kids show
Talkin' 'bout a face numbin' off a bag of blow
I'm like, goddamn, bitch, I am not a Teen Choice
Goddamn, bitch, I am not a bleach boy
Whip game, make a nigga understand though
Got that Hannibal, Silence of the Lambo
Hit the gas so hard make it rotate
All my niggas blew up like a propane
All these R&B niggas be so lame
Got a sweet Asian chick, she go lo mein (Oh-oh-oh)

You know me (Know me, uh,
na-na-na-na-na
)
You know me (Know me, know me,
oh-oh-oh
)
You know me (Know me, know me,
na-na-na-na-na
)
Every time you try to forget who I am
I'll be right there to remind you again
You know me (Pow, pow)
You know me (Know me)

Said I'm just tryna swim in somethin' wetter than the ocean
Faded off a double cup, I'm mixin' up the potion
All I wanna do is make that money and make dope shit
It just seem like niggas tryna sound like all my old shit
Everybody knows it, all these niggas know me
Platinum off a mixtape, sippin' on that codeine
Pour it in my trophies, roll until my nose bleed
I'ma keep on singin' while I'm burnin' up that OG
All my niggas get it, they make money all alone
Rock a chain around they neck, makin' sure I'm gettin' home
When I travel 'round the globe, make a couple mil' a show
And I come back to my city, I fuck every girl I know
Used to walk 'round with a slouch, had a mattress on the floor
Now my shit straight, eatin' all day, tryna lose weight
That good sex, we'll sweat it out
Hotel bed springs, we'll wear it out
I ain't gotta tell you

'Cause you know me (Oh-oh-oh)
You know me (Know me, ah,
na-na-na-na-na
)
You know me (Know me, know me,
oh-oh-oh
)
You know me (Know me, know me,
na-na-na-na-na
)
Every time you try to forget who I am (Try to forget who I am)
I'll be right there to remind you again (Hey)
You know me (Pow, pow)
You know me (Know me, know me)

Why don't you shake somethin', shake somethin'
For the Don? Don't you break nothin', break nothin'
Baby girl, won't you work somethin', work somethin'
For the Don? Don't you hurt nothin', hurt nothin'
Baby girl, won't you shake somethin', shake somethin' (Shake some)
For the Don? Don't you break nothin' (Break nothin'), break nothin'
Baby girl, won't you work somethin' (Work), work somethin'
For the Don? Don't you hurt nothin', hurt nothin'

'Cause you know me
Girl, you know me
You already know me
Yeah, you know me

Oh-oh-oh, na-na-na-na-na
Oh-oh-oh, na-na-na-na-na
Oh-oh-oh, na-na-na-na-na
Oh-oh-oh, na-na-na-na-na"
"6","Call Out My Name","The Weeknd","The Highlights (Deluxe)","","March 30, 2018","3432579","351","40","","https://genius.com/The-weeknd-call-out-my-name-lyrics","3614919","We found each other
I helped you out of, a broken place
You gave me comfort
But falling for you was, my mistake

I put you on top, I put you on top
I claimed you so proud, and openly
And when times were rough, when times were rough
I made sure I held, you close, to me

So call out my name (Call out my name)
Call out my name when, I kiss you, so gently
I want you to stay (Want you to stay)
I want you to stay even, though you, don't want me
Girl, why can't you wait? (Why can't you wait, baby?)
Girl, why can't you wait ’til, I fall out, of love?
Won’t, you call out my name? (Call out my name-Hey!)
Girl, call out my name, and, I'll be on, my way and
I'll be on my—

I said I didn't feel nothing, baby, but I lied
I almost cut a piece of myself, for your life
Guess I was just another pit stop
'Til you made up your mind
You just wasted my time (Ooh)

You were on top, I put you on top
I claimed you so proud, and openly, babe (Ooh)
And when times were rough, when times were rough
I made sure I held, you close, to me

So call out my name (Call out my name, baby)
So call out my name when I kiss you so gently (Ohhh)
I want you to stay (I want you to stay)
I want you to stay even, though you, don't want me
Girl, why can't you wait? (Girl, why can't you wait 'til I?)
Girl, why can't you wait ’til, I fall out, of loving? (I love you)
Babe, call out my name (Say call out my name, baby)
Girl, call out my name and, I'll be on, my way
And, I'll be on my—

On my way, on my way (Oh, oh, oh)
On my way, on my way, ooh
On my way, on my way, on my way
On my way, on my way, on my way
(On my)"
"7","Blinding Lights","The Weeknd","The Highlights (Deluxe)","","November 29, 2019","3103450","263","35","","https://genius.com/The-weeknd-blinding-lights-lyrics","5049949","Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch (Touch)
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh

The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

And I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch (Touch)
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just coming back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch (Touch)
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch"
"8","Often","The Weeknd","The Highlights (Deluxe)","","June 24, 2014","2736047","510","68","","https://genius.com/The-weeknd-often-lyrics","460183","Seneler sürer her günüm
Ooh, yeah, ooh, yeah, ooh, yeah, ooh, yeah, ooh, yeah
Yalnız gitmekten yorgunum
Ooh, yeah, ooh, yeah, ooh, yeah, ooh, yeah
Seneler sürer her günüm
Ooh, yeah, ooh, yeah, ooh, yeah, ooh, yeah, ooh, yeah
Yalnız gitmekten yorgunum
Ooh, yeah, ooh, yeah, ooh, yeah, ooh, yeah, ooh, yeah

I usually love sleeping all alone
This time around, bring your friend with you
But we ain't really gonna sleep at all
You ain't gon' catch me with them sneak pictures, sneak pictures
In my city, I'm a young god
That pussy kill be so vicious
My god white, he in my pocket
He get me redder than the devil 'til I go nauseous (Oh)

She asked me if I do this every day, I said, ""Often""
Asked how many times she rode the wave, ""Not so often"" (Baby)
Bitches down to do it either way, often
Baby, I can make that pussy rain, often
Often, often, girl, I do this often
Make that pussy poppin', do it how I want it
Often, often, girl, I do this often
Make that pussy poppin', do it how I want it
Often

Infatuated by the fame status
She wanna ride inside the G-Class grey 'matic (Oh)
I come around, she leave that nigga like he ain't matter
That girl been drinkin' all day, need to change bladder
She's just happy that the crew's back in town
She 'bout to go downtown for a whole hour
If I had her, you can have her, man it don't matter
I'm never sour, I'm just smokin' somethin' much louder

She asked me if I do this every day, I said, ""Often""
Asked how many times she rode the wave, ""Not so often""
Bitches down to do it either way, often
Baby, I can make that pussy rain, often
(Baby, I can make that pussy rain)
Often, often, girl, I do this often
Make that pussy poppin', do it how I want it
Often, often, girl, I do this often
Make that pussy poppin', do it how I want it
Often

Ooh, the sun's risin' up
The night's almost up
The night's almost done
But I see your eyes
You wanna go again
Girl, I'll go again
Girl, I'll go again

She asked me if I do this every day, I said, ""Often""
Asked how many times she rode the wave, ""Not so often""
Bitches down to do it either way, often
(Bitches down to do it either way)
Baby, I can make that pussy rain, often (Oh, oh-oh-oh)
Often, often, girl, I do this often
Make that pussy poppin', do it how I want it
Often, often, girl, I do this often
Make that pussy poppin', do it how I want it
Often

Seneler sürer her günüm
Ooh, yeah, ooh, yeah, ooh, yeah, ooh, yeah, ooh, yeah
Yalnız gitmekten yorgunum
Ooh, yeah, ooh, yeah, ooh, yeah, ooh, yeah
Seneler sürer her günüm
Ooh, yeah, ooh, yeah, ooh, yeah, ooh, yeah, ooh, yeah
Yalnız gitmekten yorgunum
Ooh, yeah, ooh, yeah, ooh, yeah, ooh, yeah"
"9","Heartless","The Weeknd","The Highlights (Deluxe)","","November 27, 2019","2547947","399","63","","https://genius.com/The-weeknd-heartless-lyrics","5053007","Young Metro, young Metro, young Metro (Sheesh)
Ayy (Ayy)
Young Metro, young Metro

Never need a bitch, I'm what a bitch need (Bitch need)
Tryna find the one that can fix me
I've been dodgin' death in the six-speed
Amphetamine got my stummy feelin' sickly
Yeah, I want it all now
I've been runnin' through the pussy, need a dog pound
Hundred models gettin' faded in the compound
Tryna love me, but they never get a pulse down

Why? 'Cause I'm heartless
And I'm back to my ways 'cause I'm heartless
All this money and this pain got me heartless
Low life for life 'cause I'm heartless
Said I'm heartless
Tryna be a better man, but I'm heartless
Never be a weddin' plan for the heartless
Low life for life 'cause I'm heartless

Said I'm heartless
So much pussy, it be fallin' out the pocket
Metro Boomin turn this ho into a moshpit
Tesla pill got me flyin' like a cockpit
Yeah, I got her watchin'
Call me up, turn that pussy to a faucet
Duffle bags full of drugs and a rocket
Stix drunk, but he never miss a target
Photoshoots, I'm a star now (Star)
I'm talkin'
Time
,
Rolling Stone
, and
Bazaar
now (
Bazaar
now)
Sellin' dreams to these girls with their guard down (What?)
Seven years, I've been swimmin' with the sharks now

Why? 'Cause I'm heartless
And I'm back to my ways 'cause I'm heartless
All this money and this pain got me heartless
Low life for life 'cause I'm heartless
Said I'm heartless
Tryna be a better man, but I'm heartless
Never be a weddin' plan for the heartless
Low life for life 'cause I'm heartless

I lost my heart and my mind
I try to always do right
I thought I lost you this time
You just came back in my life
You never gave up on me (Why don't you?)
I'll never know what you see (Why won't you?)
I don't do well when alone (Oh yeah)
You hear it clear in my tone

'Cause I'm heartless (Ooh)
And I'm back to my ways 'cause I'm heartless
All this money and this pain got me heartless
Low life for life 'cause I'm heartless
Said I'm heartless
Tryna be a better man, but I'm heartless
Never be a weddin' plan for the heartless
Low life for life 'cause I'm heartless"
"10","After Hours","The Weeknd","The Highlights (Deluxe)","","February 19, 2020","2444574","435","60","","https://genius.com/The-weeknd-after-hours-lyrics","5273521","Thought I almost died in my dream again (Baby, almost died)
Fightin' for my life, I couldn't breathe again
I'm fallin' in too deep (Oh, oh)
Without you, I can't sleep (Fallin' in)
'Cause my heart belongs to you
I'll risk it all for you
I want you next to me
This time, I'll never leave
I wanna share babies
Protection, we won't need
Your body next to me
Is just a memory
I'm fallin' in too deep, oh
Without you, I can't sleep
Insomnia relieve, oh
Talk to me, without you, I can't breathe

My darkest hours
Girl, I felt so alone inside of this crowded room
Different girls on the floor, distractin' my thoughts of you
I turned into the man I used to be, to be
Put myself to sleep
Just so I can get closer to you inside my dreams
Didn't wanna wake up 'less you were beside me
I just wanted to call you and say, and say

Oh, baby
Where are you now when I need you most?
I'd give it all just to hold you close
Sorry that I broke your heart, your heart

Never comin' down, uh
I was running away from facin' reality, uh
Wastin' all of my time out living my fantasies
Spendin' money to compensate, compensate
'Cause I want you, baby, uh
I be livin' in heaven when I'm inside of you
It was simply a blessing wakin' beside you
I'll never let you down again, again

Oh, baby
Where are you now when I need you most?
I'd give it all just to hold you close
Sorry that I broke your heart, your heart
I said, baby
I'll treat you better than I did before
I'll hold you down and not let you go
This time, I won't break your heart, your heart, yeah

I know it's all my fault
Made you put down your guard
I know I made you fall
Then said you were wrong for me
I lied to you, I lied to you, I lied to you (To you)
Can't hide the truth, I'd stay with her in spite of you
You did some things that you regret, still ride for you
'Cause this house is not a home

Without my baby
Where are you now when I need you most?
I gave it all just to hold you close
Sorry that I broke your heart, your heart
And I said, baby
I'll treat you better than I did before
I'll hold you down and not let you go
This time, I won't break your heart, your heart, no"
