word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,1479,49,Acquainted; After Hours; Angel; Blinding Lights; Call Out My Name; Can’t Feel My Face; Die For You; Die For You (Remix); Drunk In Love (Remix); Earned It; Escape From LA; Faith; Heartless; High for This; House of Balloons / Glass Table Girls; Hurt You; I Feel It Coming; I Was Never There; In Your Eyes; In the Night; Initiation; King of the Fall; Kiss Land; Loft Music; Lost in the Fire; Montreal; Often; One Of The Girls; Party Monster; Pray For Me; Privilege; Reminder; Rolling Stone; Save Your Tears; Shameless; Sidewalks; Snowchild; Starboy; Tell Your Friends; The Hills; The Morning; The Party & The After Party; The Zone; Timeless; True Colors; Try Me; Twenty Eight; Wasted Times; Wicked Games,30.18,True,1
you,you,PRON,1057,50,Acquainted; After Hours; Angel; Blinding Lights; Call Out My Name; Can’t Feel My Face; Die For You; Die For You (Remix); Drunk In Love (Remix); Earned It; Escape From LA; Faith; Heartless; High for This; House of Balloons / Glass Table Girls; Hurt You; I Feel It Coming; I Was Never There; In Your Eyes; In the Night; Initiation; King of the Fall; Kiss Land; Loft Music; Lost in the Fire; Montreal; Often; One Of The Girls; Party Monster; Pray For Me; Privilege; Reminder; Rolling Stone; Save Your Tears; Shameless; Sidewalks; Six Feet Under; Snowchild; Starboy; Tell Your Friends; The Hills; The Morning; The Party & The After Party; The Zone; Timeless; True Colors; Try Me; Twenty Eight; Wasted Times; Wicked Games,21.14,True,2
it,it,PRON,556,46,After Hours; Blinding Lights; Can’t Feel My Face; Die For You; Die For You (Remix); Drunk In Love (Remix); Earned It; Escape From LA; Faith; Heartless; High for This; House of Balloons / Glass Table Girls; Hurt You; I Feel It Coming; I Was Never There; In Your Eyes; In the Night; Initiation; King of the Fall; Kiss Land; Loft Music; Lost in the Fire; Montreal; Often; One Of The Girls; Party Monster; Pray For Me; Privilege; Reminder; Rolling Stone; Shameless; Sidewalks; Six Feet Under; Snowchild; Starboy; Tell Your Friends; The Hills; The Morning; The Party & The After Party; The Zone; Timeless; True Colors; Try Me; Twenty Eight; Wasted Times; Wicked Games,12.09,True,3
the,the,DET,551,46,Acquainted; After Hours; Angel; Blinding Lights; Can’t Feel My Face; Die For You; Die For You (Remix); Drunk In Love (Remix); Earned It; Escape From LA; Faith; Heartless; House of Balloons / Glass Table Girls; Hurt You; I Feel It Coming; I Was Never There; In Your Eyes; In the Night; Initiation; King of the Fall; Kiss Land; Loft Music; Lost in the Fire; Montreal; Often; One Of The Girls; Party Monster; Pray For Me; Privilege; Reminder; Shameless; Sidewalks; Six Feet Under; Snowchild; Starboy; Tell Your Friends; The Hills; The Morning; The Party & The After Party; The Zone; Timeless; True Colors; Try Me; Twenty Eight; Wasted Times; Wicked Games,11.98,True,4
me,i,PRON,426,41,Acquainted; After Hours; Angel; Blinding Lights; Call Out My Name; Can’t Feel My Face; Die For You; Die For You (Remix); Escape From LA; Faith; Heartless; High for This; House of Balloons / Glass Table Girls; Hurt You; I Feel It Coming; Initiation; King of the Fall; Kiss Land; Loft Music; Lost in the Fire; Montreal; Often; One Of The Girls; Party Monster; Pray For Me; Reminder; Rolling Stone; Save Your Tears; Shameless; Sidewalks; Six Feet Under; Snowchild; Starboy; Tell Your Friends; The Hills; The Party & The After Party; The Zone; True Colors; Try Me; Wasted Times; Wicked Games,10.39,True,5
n't,not,PART,419,49,Acquainted; After Hours; Blinding Lights; Call Out My Name; Can’t Feel My Face; Die For You; Die For You (Remix); Drunk In Love (Remix); Earned It; Escape From LA; Faith; Heartless; High for This; House of Balloons / Glass Table Girls; Hurt You; I Feel It Coming; I Was Never There; In Your Eyes; In the Night; Initiation; King of the Fall; Kiss Land; Loft Music; Lost in the Fire; Montreal; Often; One Of The Girls; Party Monster; Pray For Me; Privilege; Reminder; Rolling Stone; Save Your Tears; Shameless; Sidewalks; Six Feet Under; Snowchild; Starboy; Tell Your Friends; The Hills; The Morning; The Party & The After Party; The Zone; Timeless; True Colors; Try Me; Twenty Eight; Wasted Times; Wicked Games,8.55,True,6
to,to,PART,360,48,Acquainted; After Hours; Angel; Blinding Lights; Call Out My Name; Can’t Feel My Face; Die For You; Die For You (Remix); Drunk In Love (Remix); Earned It; Escape From LA; Faith; Heartless; House of Balloons / Glass Table Girls; Hurt You; I Feel It Coming; In Your Eyes; In the Night; Initiation; King of the Fall; Kiss Land; Loft Music; Lost in the Fire; Montreal; Often; One Of The Girls; Party Monster; Pray For Me; Privilege; Reminder; Rolling Stone; Save Your Tears; Shameless; Sidewalks; Six Feet Under; Snowchild; Starboy; Tell Your Friends; The Hills; The Morning; The Party & The After Party; The Zone; Timeless; True Colors; Try Me; Twenty Eight; Wasted Times; Wicked Games,7.5,True,7
a,a,PRON,359,47,After Hours; Angel; Blinding Lights; Call Out My Name; Die For You; Die For You (Remix); Drunk In Love (Remix); Earned It; Escape From LA; Faith; Heartless; High for This; House of Balloons / Glass Table Girls; I Feel It Coming; I Was Never There; In Your Eyes; In the Night; Initiation; King of the Fall; Kiss Land; Loft Music; Lost in the Fire; Montreal; Often; One Of The Girls; Party Monster; Pray For Me; Privilege; Reminder; Rolling Stone; Save Your Tears; Shameless; Sidewalks; Six Feet Under; Snowchild; Starboy; Tell Your Friends; The Hills; The Morning; The Party & The After Party; The Zone; Timeless; True Colors; Try Me; Twenty Eight; Wasted Times; Wicked Games,7.64,True,8
m,be,AUX,321,47,Acquainted; After Hours; Angel; Blinding Lights; Can’t Feel My Face; Die For You; Die For You (Remix); Drunk In Love (Remix); Earned It; Escape From LA; Faith; Heartless; High for This; House of Balloons / Glass Table Girls; Hurt You; I Feel It Coming; I Was Never There; In Your Eyes; Initiation; King of the Fall; Kiss Land; Loft Music; Lost in the Fire; Montreal; Often; One Of The Girls; Party Monster; Pray For Me; Privilege; Reminder; Rolling Stone; Save Your Tears; Shameless; Sidewalks; Snowchild; Starboy; Tell Your Friends; The Hills; The Morning; The Party & The After Party; The Zone; Timeless; True Colors; Try Me; Twenty Eight; Wasted Times; Wicked Games,6.83,True,9
and,and,CCONJ,284,47,Acquainted; After Hours; Angel; Blinding Lights; Call Out My Name; Can’t Feel My Face; Die For You; Die For You (Remix); Drunk In Love (Remix); Earned It; Escape From LA; Faith; Heartless; House of Balloons / Glass Table Girls; Hurt You; I Feel It Coming; I Was Never There; In Your Eyes; In the Night; Initiation; King of the Fall; Kiss Land; Loft Music; Lost in the Fire; Montreal; One Of The Girls; Party Monster; Pray For Me; Privilege; Reminder; Rolling Stone; Save Your Tears; Sidewalks; Six Feet Under; Snowchild; Starboy; Tell Your Friends; The Hills; The Morning; The Party & The After Party; The Zone; Timeless; True Colors; Try Me; Twenty Eight; Wasted Times; Wicked Games,6.04,True,10
