"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Heathens","Twenty One Pilots","Bravo Hits, Vol. 94","","June 16, 2016","3140788","364","42","","https://genius.com/Twenty-one-pilots-heathens-lyrics","2532266","All my friends are heathens, take it slow (In the city, boy, in the city)
Wait for them to ask you who you know
Please don't make any sudden moves
You don't know the half of the abuse
All my friends are heathens, take it slow
Wait for them to ask you who you know
Please don't make any sudden moves
You don't know the half of the abuse

Welcome to the room of people who have rooms of people
That they loved one day, locked away
Just because we check the guns at the door
Doesn't mean our brains will change from hand grenades
You'll never know the psychopath sitting next to you
You'll never know the murderer sitting next to you
You'll think, ""How'd I get here, sitting next to you?""
But after all I've said, please don't forget

All my friends are heathens, take it slow
Wait for them to ask you who you know
Please don't make any sudden moves
You don't know the half of the abuse

We don't deal with outsiders very well
They say newcomers have a certain smell
You have trust issues, not to mention
They say they can smell your intentions
You'll never know the freak show sitting next to you
You'll have some weird people sitting next to you
You'll think ""How did I get here, sitting next to you?""
But after all I've said, please don't forget
(Watch it)
(Watch it)

All my friends are heathens, take it slow (In the city, boy, in the city)
Wait for them to ask you who you know
Please don't make any sudden moves
You don't know the half of the abuse

All my friends are heathens, take it slow (Watch it)
Wait for them to ask you who you know (Watch it)
Please, all my friends are heathens, take it slow (Watch it)
Wait for them to ask you who you know

Why'd you come? You knew you should have stayed (It's blasphemy)
I tried to warn you just to stay away (Wouldn't listen to me)
And now they're outside, ready to bust (And guess what?)
It looks like you might be one of us"
"2","Stressed Out","Twenty One Pilots","Blurryface","","April 28, 2015","3131117","526","47","","https://genius.com/Twenty-one-pilots-stressed-out-lyrics","725791","I wish I found some better sounds no one's ever heard
I wish I had a better voice that sang some better words
I wish I found some chords in an order that is new
I wish I didn't have to rhyme every time I sang
I was told, when I get older, all my fears would shrink
But now I'm insecure, and I care what people think

My name's Blurryface and I care what you think
My name's Blurryface and I care what you think

Wish we could turn back time to the good old days
When our mama sang us to sleep, but now we're stressed out (Oh)
Wish we could turn back time (Oh) to the good old days (Oh)
When our mama sang us to sleep, but now we're stressed out
We're stressed out

Sometimes a certain smell will take me back to when I was young
How come I'm never able to identify where it's coming from?
I'd make a candle out of it, if I ever found it
Try to sell it, never sell out of it, I'd probably only sell one
It'd be to my brother, 'cause we have the same nose
Same clothes, homegrown, a stone's throw from a creek we used to roam
But it would remind us of when nothing really mattered
Out of student loans and treehouse homes, we all would take the latter

My-my-my name's Blurryface and I care what you think
My name's Blurryface and I care what you think

Wish we could turn back time to the good old days
When our mama sang us to sleep, but now we're stressed out (Oh)
Wish we could turn back time (Oh) to the good old days (Oh)
When our mama sang us to sleep, but now we're stressed out

We used to play pretend, give each other different names
We would build a rocket ship and then we'd fly it far away
Used to dream of outer space, but now they're laughin' at our face
Sayin', ""Wake up, you need to make money,"" yeah
We used to play pretend, give each other different names
We would build a rocket ship and then we'd fly it far away
Used to dream of outer space, but now they're laughin' at our face
Sayin', ""Wake up, you need to make money,"" yeah

Wish we could turn back time to the good old days
When our mama sang us to sleep, but now we're stressed out (Oh)
Wish we could turn back time (Oh) to the good old days (Oh)
When our mama sang us to sleep, but now we're stressed out

We used to play pretend, used to play pretend, money
We used to play pretend, wake up, you need the money
Used to play pretend, used to play pretend, money
We used to play pretend, wake up, you need the money
Used to play pretend, give each other different names
We would build a rocket ship and then we'd fly it far away
Used to dream of outer space, but now they're laughin' at our face
Sayin', ""Wake up, you need to make money,"" yeah"
"3","Ride","Twenty One Pilots","Blurryface","","May 11, 2015","1533157","395","63","","https://genius.com/Twenty-one-pilots-ride-lyrics","725792","I just wanna stay in the sun where I find
I know it's hard sometimes
Pieces of peace in the sun's peace of mind
I know it's hard sometimes
Yeah, I think about the end just way too much
But it's fun to fantasize
On my enemies I wouldn't wish who I was
But it's fun to fantasize

Oh-woah-woah, oh-woah-woah, I'm fallin'
So I'm takin' my time on my ride, oh-woah-woah, I'm fallin'
So I'm takin' my time on my ride
Takin' my time on my ride

""I'd die for you,"" that's easy to say
We have a list of people that we would take
A bullet for them, a bullet for you
A bullet for everybody in this room
But it don't seem to see many bullets comin' through
See many bullets comin' through
Metaphorically, I'm the man
But literally, I don't know what I'd do
""I'd live for you,"" and that's hard to do
Even harder to say when you know it's not true
Even harder to write when you know that tonight
There were people back home who tried talking to you
But then you ignored them still
All these questions, they're for real
Like ""Who would you live for?"" ""Who would you die for?""
And ""Would you ever kill?""

Oh-woah-woah, oh-woah-woah, I'm fallin'
So I'm takin' my time on my ride, oh-woah-woah, I'm fallin'
So I'm takin' my time on my ride
Takin' my time on my ride

I've been thinkin' too much
I've been thinkin' too much
I've been thinkin' too much
I've been thinkin' too much
Help me
I've been thinkin' too much
I've been thinkin' too much
I've been thinkin' too much
Help me
I've been thinkin' too much
I've been thinkin' too much
I've been thinkin' too much

Oh-woah-woah, oh-woah-woah, I'm fallin'
So I'm takin' my time on my ride, oh-woah-woah, I'm fallin'
So I'm takin' my time
Takin' my time on my ride, woah-oh-oh (Woah, yeah)
Oh-woah-woah, oh-woah-woah, I'm fallin'
So I'm takin' my time on my ride, oh-woah-woah, I'm fallin'
So I'm takin' my time on my—

I've been thinkin' too much
Help me
I've been thinkin' too much
Help me
I've been thinkin' too much
I've been thinkin' too much
I've been thinkin' too much
Help me
I've been thinkin' too much
I've been thinkin' too much
I've been thinkin' too much
Help me"
"4","Chlorine","Twenty One Pilots","Trench","","October 5, 2018","1448022","422","70","","https://genius.com/Twenty-one-pilots-chlorine-lyrics","3886313","So where are ya?
It's been a little while

Sippin' on straight chlorine
Let the vibe slide over me
This beat is a chemical, beat is a chemical
When I leave, don't save my seat
I'll be back when it's all complete
The moment is medical, moment is medical
Sippin' on straight chlorine

Lovin' what I'm tastin', woah
Venom on my tongue, dependent at times
Poisonous vibrations, woah
Help my body run

I'm runnin' for my life
Runnin' for my life

Sippin' on straight chlorine
Let the vibe slide over me
This beat is a chemical, beat is a chemical
When I leave, don't save my seat
I'll be back when it's all complete
The moment is medical, moment is medical
Sippin' on straight chlorine

Fall out of formation, woah
I plan my escape from walls they confined
Rebel red carnation, woa-a-oh
Grows while I decay

I'm runnin' for my life
Runnin' for my life
Yeah, I'm runnin' for my life
Runnin' for my life

Hide you in my coat pocket, where I kept my rebel red
I felt I was invincible, you wrapped around my head
Now different lives I lead, my body lives on lead
The last two lines may read incorrect until said
The lead is terrible in flavor
But now you double as a paper maker
I despise you sometimes, I love to hate the fight
And you in my life is like

Sippin' on straight chlorine
Let the vibe slide over me
This beat is a chemical, beat is a chemical
When I leave, don't save my seat
I'll be back when it's all complete
The moment is medical, moment is medical
Sippin' on straight chlorine

Let the vibe, let the vibe
Let the vibe, let the vibe
Beat is a chemical, yeah
Let the vibe, let the vibe
Let the vibe, let the vibe
Moment is medical, yeah
Sippin' on straight chlorine
Let the vibe, let the vibe
Let the vibe, let the vibe
Beat is a chemical, yeah
Let the vibe, let the vibe
Let the vibe, let the vibe
Moment is medical, yeah

I'm so sorry I forgot you
Let me catch you up to speed
I've been tested like the ends of
A weathered flag that's by the sea
Can you build my house with pieces?
I'm just a chemical
Can you build my house with pieces?
I'm just a chemical
Can you build my house with pieces?
I'm just a chemical
Can you build my house with pieces?
I'm just a chemical"
"5","Nico And The Niners","Twenty One Pilots","Trench","","July 11, 2018","1188843","381","51","","https://genius.com/Twenty-one-pilots-nico-and-the-niners-lyrics","3812599","Msilaiv ecnuoned ew
Tsae eurt daeh dna amed evael lliw uoy
Sotidnab era ew

East is up, I'm fearless when I hear this on the low
East is up, I'm careless when I wear my rebel clothes
East is up, when Bishops come together they will know that
Dema don't control us, Dema don't control
East is up

They want to make you forget
They want to make you forget
Save your razorblades now, not yet
Save your razorblades now, not yet

I'm heavy, my jumpsuit is unsteady
I'm lighter when I'm lower, I'm higher when I'm heavy, oh
I'm so high, my Jumpsuit takes me so high
I'm flying from a fire, from Nico and the Niners, oh
East is up, I'm fearless when I hear this on the low
East is up, I'm careless when I wear my rebel clothes
East is up, when Bishops come together they will know that
Dema don't control us, Dema don't control
I'm heavy, my jumpsuit is unsteady
I'm lighter when I'm lower, I'm higher when I'm heavy, oh
I'm so high, my Jumpsuit takes me so high
I'm flying from a fire, from Nico and the Niners, oh

I'm heavy, jumpsuit is unsteady
Lighter when I'm lower, higher when I'm heavy, oh
I'm so high, I'm so high
So high, I'm so high
Fire, Nico and the Niners

What I say when I want to be enough
What a beautiful day for making a break for it
We'll find a way to pay for it
Maybe from all the money we made razorblade stores
Rent a racehorse and force a sponsor
And start a concert, a complete diversion
Start a mob and you can be quite certain
We'll win but not everyone will get out
No, no
We'll win but not everyone will get out
No, no
We'll win but not everyone will get out

East is up, I'm fearless when I hear this on the low
East is up, I'm careless when I wear my rebel clothes
East is up, when Bishops come together they will know that
Dema don't control us, Dema don't control
East is up

I'm so high, so high
Fire, Nico and the Niners
I'm so high, so high
Sotidnab era ew
Fire, Nico and the Niners"
"6","Tear in My Heart","Twenty One Pilots","Blurryface","","April 6, 2015","1118271","333","44","","https://genius.com/Twenty-one-pilots-tear-in-my-heart-lyrics","725794","An-nyŏng-ha-se-yo

Sometimes you gotta bleed to know
That you're alive and have a soul
But it takes someone to come around to show you how

She's the tear in my heart, I'm alive
She's the tear in my heart, I'm on fire
She's the tear in my heart, take me higher
Than I've ever been

The songs on the radio are okay
But my taste in music is your face
And it takes a song to come around to show you how

She's the tear in my heart, I'm alive
She's the tear in my heart, I'm on fire
She's the tear in my heart, take me higher
Than I've ever been
Than I've ever been
Than I've ever been
Than I've ever been

You fell asleep in my car, I drove the whole time
But that's okay, I'll just avoid the holes so you sleep fine
I'm driving here I sit, cursing my government
For not usin' my taxes to fill holes with more cement
You fell asleep in my car, I drove the whole time
But that's okay, I'll just avoid the holes so you sleep fine
I'm driving here I sit, cursing my government
For not using my taxes to fill holes with more cement
Sometimes you gotta bleed to know, oh, oh
That you're alive and have a soul, oh, oh
But it takes someone to come around to show you how

She's the tear in my heart, I'm alive
She's the tear in my heart, I'm on fire
She's the tear in my heart, take me higher
Than I've ever been

My heart is my armor
She's the tear in my heart, she's a carver
She's a butcher with a smile, cut me farther
Than I've ever been
Than I've ever been
Than I've ever been
Oh, than I've ever been
My heart is my armor
She's the tear in my heart, she's a carver
She's a butcher with a smile, cut me farther
Than I've ever been"
"7","Car Radio","Twenty One Pilots","Vessel (10th Anniversary Limited Edition)","","January 8, 2013","1112144","446","62","","https://genius.com/Twenty-one-pilots-car-radio-lyrics","104726","I ponder of something great
My lungs will fill and then deflate
They fill with fire, exhale desire
I know it's dire, my time today
I have these thoughts so often, I ought
To replace that slot with what I once bought
'Cause somebody stole my car radio
And now I just sit in silence

Sometimes quiet is violent
I find it hard to hide it, my pride is no longer inside
It's on my sleeve, my skin will scream
Reminding me of who I killed inside my dream
I hate this car that I'm driving, there's no hiding for me
I'm forced to deal with what I feel
There is no distraction to mask what is real
I could pull the steering wheel

I have these thoughts so often, I ought
To replace that slot with what I once bought
'Cause somebody stole my car radio
And now I just sit in silence

I ponder of something terrifying
'Cause this time there's no sound to hide behind
I find over the course of our human existence
One thing consists of consistence
And it's that we're all battling fear
Oh dear, I don't know if we know why we're here
Oh my, too deep, please stop thinking
I liked it better when my car had sound
There are things we can do
But from the things that work there are only two
And-a from the two that we choose to do
Peace will win and fear will lose
And there's faith and there's sleep
We need to pick one, please, because
Faith is to be awake and to be awake is for us to think
And for us to think is to be alive
And I will try with every rhyme
To come across like I am dying
To let you know you need to try to think

I have these thoughts so often, I ought
To replace that slot with what I once bought
'Cause somebody stole my car radio
And now I just sit in silence

(Woah, oh-oh-oh)
(Woah, oh-oh-oh)
(Woah, oh-oh-oh)
(Woah, oh-oh-oh)
And now I just sit in silence
And now I just sit in silence
And now I just sit
And now I just sit in silence
And now I just sit in silence
And now I just sit in silence
And now I just sit

I ponder of something great
My lungs will fill and then deflate
They fill with fire, exhale desire
I know it's dire, my time today
I have these thoughts so often, I ought
To replace that slot with what I once bought
'Cause somebody stole my car radio
And now I just sit in silence"
"8","Heavydirtysoul","Twenty One Pilots","Blurryface","","May 17, 2015","1027090","381","50","","https://genius.com/Twenty-one-pilots-heavydirtysoul-lyrics","725790","There's an infestation in my mind's imagination
I hope that they choke on smoke, 'cause I'm smokin' them out the basement
This is not rap, this is not hip-hop
Just another attempt to make the voices stop
Rappin' to prove nothin', just writin' to say somethin'
'Cause I wasn't the only one who wasn't rushin' to sayin' nothin'
This doesn't mean I lost my dream
It's just right now I got a really crazy mind to clean

Gangsters don't cry, therefore, therefore I'm (I'm)
Mr. Misty-eyed, therefore I'm (I'm)

Can you save? Can you save my?
Can you save my heavy, dirty soul?
Can you save? Can you save my?
Can you save my heavy, dirty soul?
For me, for me (Uh)
Can you save my heavy, dirty soul?
For me, for me (Uh)
Can you save my heavy, dirty soul?

Nah, I didn't understand a thing you said
If I didn't know better, I'd guess you're all already dead
Mindless zombies walkin' around with a limp and a hunch
Sayin' stuff like, ""You only live once""
You've got one time to figure it out
One time to twist, and one time to shout
One time to think and I say we start now
Sing it with me if you know what I'm talkin' about

Gangsters don't cry, therefore, therefore I'm (I'm)
Mr. Misty-eyed, therefore I'm (I'm)

Can you save? Can you save my?
Can you save my heavy, dirty soul?
Can you save? Can you save my?
Can you save my heavy dirty soul?
For me, for me (Uh)
Can you save my heavy, dirty soul?
For me, for me (Uh)
Can you save my heavy, dirty soul?

Death inspires me like a dog inspires a rabbit
Death inspires me like a dog inspires a rabbit

Can you save? Can you save my?
Can you save my heavy dirty soul?
Can you save? Can you save my?
Can you save my heavy, dirty soul?
For me, for me (Uh)
Can you save my heavy, dirty soul?
For me, for me (Uh)
Can you save my heavy, dirty soul?

Can you save? Can you save my? Save my
Can you save my heavy, dirty soul?
Can you save? Can you save my? Save my
Can you save my heavy, dirty soul?"
"9","My Blood","Twenty One Pilots","Trench","","August 27, 2018","901840","400","60","","https://genius.com/Twenty-one-pilots-my-blood-lyrics","3886312","When everyone you thought you knew
Deserts your fight, I'll go with you
You're facin' down a dark hall
I'll grab my light

And go with you, I'll go with you
I'll go with you, I'll go with you
I'll go with you, I'll go with you
I'll go with you, I'll go with you

Surrounded and up against a wall
I'll shred 'em all and go with you
When choices end, you must defend
I'll grab my bat

And go with you, I'll go with you
I'll go with you, I'll go with you, yeah

Stay with me, no, you don't need to run
Stay with me, my blood, you don't need to run
Stay with me, no, you don't need to run
Stay with me, my blood, you don't need to run

If there comes a day
People posted up at the end of your driveway
They're callin' for your head and they're callin' for your name
I'll bomb down on 'em, I'm comin' through
Did they know I was grown with you?
If they're here to smoke, know I'll go with you
Just keep it outside, keep it outside, yeah

Stay with me, no, you don't need to run
Stay with me, my blood, you don't need to run
Stay with me, no, you don't need to run
Stay with me, my blood, you don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run

If you find yourself in a lion's den
I'll jump right in and pull my pin

And go with you, I'll go with you
I'll go with you, I'll go with you
(You don't need to run)
I'll go with you, I'll go with you
(You don't need to run)
I'll go with you
My blood, I'll go with you, yeah

Stay with me, no, you don't need to run
Stay with me, my blood, you don't need to run
Stay with me, no, you don't need to run
Stay with me, my blood, you don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
Stay with me, no, you don't need to run
Stay with me, my blood"
"10","Holding On To You","Twenty One Pilots","Vessel (10th Anniversary Limited Edition)","","September 11, 2012","804921","545","62","","https://genius.com/Twenty-one-pilots-holding-on-to-you-lyrics","111395","I'm taking over my body, back in control, no more shotty
I bet a lot of me was lost, ""T""'s uncrossed and ""I""'s undotted
I fought it a lot and it seems a lot like flesh is all I got
Not anymore, flesh out the door, swat
I must've forgot, you can't trust me
I'm open a moment and close when you show it
Before you know it, I'm lost at sea
And now that I write and think about it and the story unfolds
You should take my life, you should take my soul

Ah-ah-ah-ah-ah-ah, ah-ah-ah-ah-ah-ah
Ah-ah-ah-ah-ah-ah, ah-ah-ah-ah-ah-ah

You are surrounding, all my surroundings
Sounding down the mountain range of my left-side brain
You are surrounding, all my surroundings
Twisting the kaleidoscope behind both of my eyes

(Ah-ah-ah-ah-ah-ah, ah-ah-ah-ah-ah-ah)
And I'll be holding on to you
(Ah-ah-ah-ah-ah-ah, ah-ah-ah-ah-ah-ah)
And I'll be holding on to you

Remember the moment you know exactly where you're goin'
'Cause the next moment before you know it
Time is slowin' and it's frozen still
And the windowsill looks really nice, right?
You think twice about your life, it probably happens at night, right?
Fight it, take the pain, ignite it
Tie a noose around your mind, loose enough to breathe fine
And tie it to a tree, tell it, ""You belong to me
This ain't a noose, this is a leash
And I have news for you, you must obey me""

You are surrounding, all my surroundings
Sounding down the mountain range of my left-side brain
You are surrounding, all my surroundings
Twisting the kaleidoscope behind both of my eyes

Entertain my faith, entertain my faith
Entertain my faith, entertain my faith
Entertain my faith, entertain my faith
Entertain my faith, entertain my faith
Entertain my faith, entertain my faith

Lean with it, rock with it, when we gonna stop with it?
Lyrics that mean nothin', we were gifted with thought
Is it time to move our feet, to an introspective beat?
It ain't the speakers that bump hearts, it's our hearts that make the beat
Lean with it, rock with it, when we gonna stop with it?
Lyrics that mean nothin', we were gifted with thought
Is it time to move our feet, to an introspective beat?
It ain't the speakers that bump hearts, it's our hearts that make the beat
Lean with it, rock with it, when we gonna stop with it?
Lyrics that mean nothin', we were gifted with thought
Is it time to move our feet, to an introspective beat?
It ain't the speakers that bump hearts, it's our hearts that make the beat
Lean with it, rock with it, when we gonna stop with it?
Lyrics that mean nothin', we were gifted with thought
Is it time to move our feet, to an introspective beat?
It ain't the speakers that bump hearts and it's our hearts that make the beat

(Ah-ah-ah-ah-ah-ah, ah-ah-ah-ah-ah-ah)
And I'll be holding on to you, and I'll be holding on to you
(Ah-ah-ah-ah-ah-ah, ah-ah-ah-ah-ah-ah)
And I'll be holding on to you, and I'll be holding on to you
(Ah-ah-ah-ah-ah-ah, ah-ah-ah-ah-ah-ah)
And I'll be holding on to you, and I'll be holding on to you
(Ah-ah-ah-ah-ah-ah, ah-ah-ah-ah-ah-ah)
And I'll be holding on to you, and I'll be holding on to you"
