word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,1143,49,Addict With a Pen; Bandito; Cancer; Car Radio; Chlorine; Choker; Cut My Lip; Doubt; Fairly Local; Goner; Guns for Hands; Heathens; Heavydirtysoul; Holding On To You; Hometown; House of Gold; Isle of Flightless Birds; Jumpsuit; Kitchen Sink; Lane Boy; Leave The City; Legend; Level of Concern; Levitate; Message Man; Migraine; Morph; My Blood; Neon Gravestones; Nico And The Niners; Not Today; Ode To Sleep; Overcompensate; Pet Cheetah; Polarize; Redecorate; Ride; Shy Away; Smithereens; Stressed Out; Taxi Cab; Tear in My Heart; The Contract; The Hype; The Judge; The Line; Trees; Truce; We Don’t Believe What’s on TV,23.33,True,1
you,you,PRON,586,47,Addict With a Pen; Bandito; Cancer; Car Radio; Chlorine; Choker; Cut My Lip; Doubt; Fairly Local; Goner; Guns for Hands; Heathens; Heavydirtysoul; Holding On To You; Hometown; House of Gold; Isle of Flightless Birds; Jumpsuit; Kitchen Sink; Lane Boy; Legend; Level of Concern; Levitate; Message Man; Migraine; My Blood; Neon Gravestones; Nico And The Niners; Not Today; Ode To Sleep; Overcompensate; Polarize; Redecorate; Ride; Shy Away; Smithereens; Stressed Out; Taxi Cab; Tear in My Heart; The Contract; The Hype; The Judge; The Line; The Pantaloon; Trees; Truce; We Don’t Believe What’s on TV,12.47,True,2
the,the,DET,508,49,Addict With a Pen; Bandito; Cancer; Car Radio; Chlorine; Choker; Cut My Lip; Doubt; Fairly Local; Goner; Guns for Hands; Heathens; Heavydirtysoul; Holding On To You; Hometown; House of Gold; Isle of Flightless Birds; Jumpsuit; Kitchen Sink; Lane Boy; Leave The City; Legend; Level of Concern; Levitate; Message Man; Migraine; Morph; My Blood; Neon Gravestones; Nico And The Niners; Not Today; Ode To Sleep; Overcompensate; Pet Cheetah; Polarize; Redecorate; Ride; Shy Away; Smithereens; Stressed Out; Taxi Cab; Tear in My Heart; The Contract; The Hype; The Judge; The Line; The Pantaloon; Trees; Truce,10.37,True,3
to,to,PART,468,49,Addict With a Pen; Bandito; Cancer; Car Radio; Chlorine; Choker; Doubt; Fairly Local; Goner; Guns for Hands; Heathens; Heavydirtysoul; Holding On To You; Hometown; House of Gold; Isle of Flightless Birds; Jumpsuit; Kitchen Sink; Lane Boy; Leave The City; Legend; Level of Concern; Levitate; Message Man; Migraine; Morph; My Blood; Neon Gravestones; Nico And The Niners; Not Today; Ode To Sleep; Overcompensate; Pet Cheetah; Polarize; Redecorate; Ride; Shy Away; Smithereens; Stressed Out; Taxi Cab; Tear in My Heart; The Contract; The Hype; The Judge; The Line; The Pantaloon; Trees; Truce; We Don’t Believe What’s on TV,9.55,True,4
my,my,PRON,446,46,Addict With a Pen; Bandito; Cancer; Car Radio; Chlorine; Choker; Cut My Lip; Doubt; Fairly Local; Goner; Guns for Hands; Heathens; Heavydirtysoul; Holding On To You; Hometown; Isle of Flightless Birds; Jumpsuit; Kitchen Sink; Lane Boy; Leave The City; Legend; Level of Concern; Levitate; Message Man; Migraine; Morph; My Blood; Neon Gravestones; Nico And The Niners; Not Today; Ode To Sleep; Overcompensate; Pet Cheetah; Polarize; Redecorate; Ride; Stressed Out; Taxi Cab; Tear in My Heart; The Contract; The Hype; The Judge; The Line; Trees; Truce; We Don’t Believe What’s on TV,9.7,True,5
and,and,CCONJ,338,46,Addict With a Pen; Bandito; Cancer; Car Radio; Chlorine; Choker; Fairly Local; Goner; Guns for Hands; Heathens; Heavydirtysoul; Holding On To You; Hometown; House of Gold; Isle of Flightless Birds; Jumpsuit; Kitchen Sink; Lane Boy; Legend; Level of Concern; Levitate; Message Man; Migraine; Morph; My Blood; Neon Gravestones; Nico And The Niners; Not Today; Ode To Sleep; Overcompensate; Pet Cheetah; Polarize; Redecorate; Ride; Shy Away; Smithereens; Stressed Out; Taxi Cab; Tear in My Heart; The Contract; The Hype; The Judge; The Pantaloon; Trees; Truce; We Don’t Believe What’s on TV,7.35,True,6
a,a,DET,318,45,Addict With a Pen; Bandito; Cancer; Car Radio; Chlorine; Choker; Cut My Lip; Fairly Local; Goner; Guns for Hands; Heathens; Heavydirtysoul; Holding On To You; House of Gold; Jumpsuit; Kitchen Sink; Lane Boy; Leave The City; Legend; Level of Concern; Levitate; Message Man; Migraine; Morph; My Blood; Neon Gravestones; Nico And The Niners; Not Today; Ode To Sleep; Overcompensate; Pet Cheetah; Polarize; Redecorate; Ride; Shy Away; Smithereens; Stressed Out; Taxi Cab; Tear in My Heart; The Contract; The Hype; The Judge; The Line; The Pantaloon; We Don’t Believe What’s on TV,7.07,True,7
me,i,PRON,294,41,Addict With a Pen; Bandito; Cancer; Car Radio; Chlorine; Choker; Cut My Lip; Doubt; Goner; Heavydirtysoul; Holding On To You; Hometown; House of Gold; Isle of Flightless Birds; Jumpsuit; Kitchen Sink; Lane Boy; Leave The City; Legend; Level of Concern; Levitate; Message Man; Migraine; Morph; My Blood; Neon Gravestones; Nico And The Niners; Not Today; Ode To Sleep; Overcompensate; Pet Cheetah; Polarize; Redecorate; Ride; Smithereens; Stressed Out; Taxi Cab; Tear in My Heart; The Judge; The Line; Truce,7.17,True,8
n't,not,PART,269,44,Addict With a Pen; Cancer; Car Radio; Chlorine; Choker; Cut My Lip; Doubt; Fairly Local; Goner; Guns for Hands; Heathens; Heavydirtysoul; Holding On To You; Hometown; Isle of Flightless Birds; Jumpsuit; Kitchen Sink; Lane Boy; Leave The City; Level of Concern; Levitate; Message Man; Migraine; Morph; My Blood; Neon Gravestones; Nico And The Niners; Not Today; Ode To Sleep; Overcompensate; Polarize; Redecorate; Ride; Shy Away; Smithereens; Stressed Out; Taxi Cab; The Contract; The Hype; The Judge; The Line; The Pantaloon; Trees; We Don’t Believe What’s on TV,6.11,True,9
m,be,AUX,248,40,Addict With a Pen; Bandito; Cancer; Car Radio; Chlorine; Choker; Cut My Lip; Doubt; Fairly Local; Goner; Guns for Hands; Heavydirtysoul; Holding On To You; Jumpsuit; Kitchen Sink; Lane Boy; Leave The City; Legend; Level of Concern; Levitate; Message Man; Migraine; Morph; My Blood; Neon Gravestones; Nico And The Niners; Not Today; Ode To Sleep; Pet Cheetah; Polarize; Ride; Smithereens; Stressed Out; Taxi Cab; Tear in My Heart; The Contract; The Hype; The Judge; Truce; We Don’t Believe What’s on TV,6.2,True,10
