"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","With or Without You","U2","The Best of 1980-1990 & B-Sides","","March 21, 1987","1272751","187","41","","https://genius.com/U2-with-or-without-you-lyrics","132487","See the stone set in your eyes
See the thorn twist in your side
I'll wait for you

Sleight of hand and twist of fate
On a bed of nails she makes me wait
And I'll wait without you

With or without you
With or without you

Through the storm we reach the shore
You give it all, but I want more
And I'm waiting for you

With or without you
With or without you, ah-hah
I can't live
With or without you

And you give yourself away
And you give yourself away
And you give, and you give
And you give yourself away

My hands are tied
My body bruised
She got me with
Nothing to win and nothing left to lose

And you give yourself away
And you give yourself away
And you give, and you give
And you give yourself away

With or without you
With or without you, oh-oh
I can't live
With or without you

Oh-oh-oh-oh
Oh-oh-oh, oh
Oh-oh-oh-oh
Oh-oh

With or without you
With or without you, oh-oh
I can't live with or without you
With or without you

Hoo-ooh-hoo-ooh
Hoo-ooh-hoo-ooh"
"2","One","U2","The Best Of 1990-2000 & B-Sides","","November 18, 1991","804936","266","45","","https://genius.com/U2-one-lyrics","138954","Is it getting better
Or do you feel the same?
Will it make it easier on you
Now you got someone to blame?

You say one love, one life
When it's one need in the night
One love, we get to share it
Leaves you, baby, if you don't care for it

Did I disappoint you
Or leave a bad taste in your mouth?
You act like you never had love
And you want me to go without

Well, it's too late tonight
To drag the past out into the light
We're one, but we're not the same
We get to carry each other, carry each other
One

Have you come here for forgiveness?
Have you come to raise the dead?
Have you come here to play Jesus
To the lepers in your head?

Did I ask too much? More than a lot
You gave me nothing, now it's all I got
We're one, but we're not the same
Well, we hurt each other, then we do it again

You say love is a temple, love a higher law
Love is a temple, love the higher law
You ask me to enter, but then you make me crawl
And I can't be holding on to what you got
When all you got is hurt

One love, one blood
One life, you got to do what you should
One life with each other
Sisters, brothers
One life, but we're not the same
We get to carry each other, carry each other
One
One

Ooh-ooh-ooh
Oh-ooh
Baby, baby, baby
Higher
Oh, higher (Baby, yeah, yeah)
Higher (Oh)
Higher"
"3","I Still Haven’t Found What I’m Looking For","U2","The Best of 1980-1990 & B-Sides","","May 25, 1987","382537","202","32","","https://genius.com/U2-i-still-havent-found-what-im-looking-for-lyrics","132486","I have climbed highest mountain
I have run through the fields
Only to be with you
Only to be with you
I have run, I have crawled
I have scaled these city walls
These city walls
Only to be with you

But I still haven't found what I'm lookin' for
But I still haven't found what I'm lookin' for

I have kissed honey lips
Felt the healing fingertips
It burned like fire
This burnin' desire
I have spoke with the tongue of angels
I have held the hand of a devil
It was warm in the night
I was cold as a stone

But I still haven't found what I'm lookin' for
But I still haven't found what I'm lookin' for

I believe in the Kingdom Come
Then all the colours will bleed into one
Bleed into one
But yes, I'm still runnin'
You broke the bonds and you loosened the chains
Carried the cross of my shame
Of my shame
You know I believe it

But I still haven't found what I'm lookin' for
But I still haven't found what I'm lookin' for
But I still haven't found what I'm lookin' for
But I still haven't found what I'm lookin' for"
"4","Sunday Bloody Sunday","U2","The Best of 1980-1990 & B-Sides","","March 11, 1983","277698","260","48","","https://genius.com/U2-sunday-bloody-sunday-lyrics","137918","Yeah, mm-hm

I can't believe the news today
Oh, I can't close my eyes and make it go away

How long? How long must we sing this song?
How long? How long?
'Cause tonight
We can be as one, tonight

Broken bottles under children's feet
Bodies strewn across the dead end street
But I won't heed the battle call
It puts my back up, puts my back up against the wall

Sunday, Bloody Sunday
Sunday, Bloody Sunday
Sunday, Bloody Sunday
Sunday, Bloody Sunday
Oh, let's go

And the battle's just begun
There's many lost, but tell me, who has won?
The trench is dug within our hearts
And mothers, children, brothers, sisters torn apart

Sunday, Bloody Sunday
Sunday, Bloody Sunday

How long? How long must we sing this song?
How long? How long?
'Cause tonight
We can be as one, tonight

Sunday, Bloody Sunday (Tonight, tonight)
Sunday, Bloody Sunday (Tonight, tonight)
Come get some

Wipe the tears from your eyes
Wipe your tears away
I'll wipe your tears away
I'll wipe your tears away

Sunday, Bloody Sunday (I'll wipe your bloodshot eyes)
Sunday, Bloody Sunday
Sunday, Bloody Sunday
Sunday, Bloody Sunday, oh
Sunday, Bloody Sunday
Sunday, Bloody Sunday, oh
Yeah, let's go

And it's true we are immune
When fact is fiction and TV reality
And today the millions cry (Sunday, Bloody Sunday)
We eat and drink while tomorrow they die (Sunday, Bloody Sunday)
The real battle just begun (Sunday, Bloody Sunday)
To claim the victory Jesus won (Sunday, Bloody Sunday) on

Sunday, Bloody Sunday, yeah, yeah
Sunday, Bloody Sunday"
"5","Pride (In the Name of Love)","U2","The Best of 1980-1990 & B-Sides","","September 4, 1984","255600","231","40","","https://genius.com/U2-pride-in-the-name-of-love-lyrics","138965","One man come in the name of love
One man come and go
One man come, he to justify
One man to overthrow

In the name of love
What more in the name of love?
In the name of love
What more in the name of love?

One man caught on a barbed wire fence
One man, he resist
One man washed on an empty beach
One man betrayed with a kiss

In the name of love
What more in the name of love?
In the name of love
What more in the name of love?

Nobody but you
Somebody lied to you (It's all right)
Somebody to you
(The bright line)
(It's all ready, mate)
(It's the right time)

Mm-mm-mm, mm-mm-mm
Mm-mm-mm-mmm

Early morning, April four
Shot rings out in the Memphis sky
Free at last, they took your life
They could not take your pride

In the name of love
What more in the name of love?
In the name of love
What more in the name of love?
In the name of love (Oh, oh-oh-oh, oh, oh-oh-oh)
What more in the name of love? (Oh, oh-oh-oh, oh, oh-oh-oh)
In the name of love (Oh, oh-oh-oh, oh, oh-oh-oh)
What more in the name of love? (Oh, oh-oh-oh, oh, oh-oh-oh)

(Oh, oh-oh-oh, oh, oh-oh-oh)
Mm-mm-mm, mm-mm-mm-mmm (Oh, oh-oh-oh, oh, oh-oh-oh)
(Oh, oh-oh-oh, oh, oh-oh-oh)
Mm-mm-mm, mm-mm-mm-mmm (Oh, oh-oh-oh, oh, oh-oh-oh)"
"6","Beautiful Day","U2","All That You Can’t Leave Behind (20th Anniversary Edition / Super Deluxe / Remastered 2020)","","October 9, 2000","190249","276","42","","https://genius.com/U2-beautiful-day-lyrics","85254","The heart is a bloom, shoots up through the stony ground
There's no room, no space to rent in this town
You're out of luck, and the reason that you had to care
The traffic is stuck, and you're not moving anywhere
You thought you'd found a friend to take you out of this place
Someone you could lend a hand in return for grace

It's a beautiful day
Sky falls, you feel like
It's a beautiful day
Don't let it get away

You're on the road, but you've got no destination
You're in the mud, in the maze of her imagination
You love this town even if that doesn't ring true
You've been all over, and it's been all over you

It's a beautiful day
Don't let it get away
It's a beautiful day
Ooh-hoo-hoo

Touch me
Take me to that other place
Teach me
I know I'm not a hopeless case

See the world in green and blue
See China right in front of you
See the canyons broken by cloud
See the tuna fleets clearing the sea out
See the Bedouin fires at night
See the oil fields at first light
And see the bird with a leaf in her mouth
After the flood all the colours came out

It was a beautiful day
Don't let it get away
Beautiful day

Touch me
Take me to that other place
Reach me
I know I'm not a hopeless case

What you don't have you don't need it now
What you don't know you can feel it somehow
What you don't have you don't need it now
Don't need it now
Was a beautiful day"
"7","Where the Streets Have No Name","U2","The Best of 1980-1990 & B-Sides","","August 7, 1987","134948","234","36","","https://genius.com/U2-where-the-streets-have-no-name-lyrics","132482","I wanna run, I want to hide
I wanna tear down the walls that hold me inside
I wanna reach out and touch the flame
Where the streets have no name (Ah, ah, ah)

I wanna feel sunlight on my face
I see the dust cloud disappear without a trace
I wanna take shelter from the poison rain
Where the streets have no name, yeah (Oh, huh)

Where the streets have no name
Where the streets have no name
We're still building, then burning down love
Burning down love
And when I go there
I go there with you
It's all I can do

The city's a flood, and our love turns to rust
We're beaten and blown by the wind, trampled in dust
I'll show you a place high on a desert plain (Yeah)
Where the streets have no name (Ah, ha)

Where the streets have no name
Where the streets have no name
We're still building, then burning down love
Burning down love
And when I go there
I go there with you
It's all I can do

Our love turns to rust
We're beaten and blown by the wind
Blown by the wind
Oh, and I see love
See our love turn to rust
Ah, we're beaten and blown by the wind
Blown by the wind
Oh, when I go there
I go there with you
It's all I can do"
"8","All I Want Is You","U2","The Best of 1980-1990 & B-Sides","","October 10, 1988","107224","173","32","","https://genius.com/U2-all-i-want-is-you-lyrics","138842","You say you want
Diamonds on a ring of gold
You say you want
Your story to remain untold

But all the promises we made
From the cradle to the grave
When all I want is you

You say you'll give me
A highway with no one on it
Treasure just to look upon it
All the riches in the night

You say you'll give me
Eyes in the moon of blindness
A river in a time of dryness
A harbour in the tempest

But all the promises we make
From the cradle to the grave
When all I want is you

You say you want
Your love to work out right
To last with me through the night

You say you want
Diamonds on a ring of gold
Your story to remain untold
Your love not to grow cold

All the promises we break
From the cradle to the grave
When all I want is you

You, all I want is
You, all I want is
You, all I want is
You"
"9","New Year’s Day","U2","The Best of 1980-1990 & B-Sides","","February 28, 1983","99574","177","32","","https://genius.com/U2-new-years-day-lyrics","105955","Yeah

All is quiet on New Year's Day
A world in white gets underway
I want to be with you, be with you night and day
Nothing changes on New Year's Day
On New Year's Day

I will be with you again
I will be with you again

Under a blood red sky
A crowd has gathered in black and white
Arms entwined, the chosen few
The newspaper says, says

Say it's true, it's true
And we can break through
Though torn in two
We can be one

I, I will begin again
I, I will begin again

Yeah, oh, oh-oh-oh

Oh-oh, oh-oh, oh-oh
Oh-oh, oh-oh, oh-oh
Oh, maybe the time is right
Oh, maybe tonight

I will be with you again
I will be with you again

And so we're told this is the golden age
And gold is the reason for the wars we wage
Though I want to be with you, be with you night and day
Nothing changes New Year's Day

On New Year's Day
On New Year's Day
On New Year's Day"
"10","Every Breaking Wave","U2","Songs Of Innocence (Deluxe)","","September 9, 2014","97745","296","50","","https://genius.com/U2-every-breaking-wave-lyrics","515807","Every breaking wave on the shore
Tells the next one there'll be one more
And every gambler knows that to lose
Is what you're really there for
Summer I was fearless
Now I speak into an answer phone
Like every falling leaf on the breeze
Winter wouldn't leave it alone, alone

If you go
If you go your way and I go mine
Are we so
Are we so helpless against the tide?
Baby, every dog on the street
Knows that we're in love with defeat
Are we ready to be swept off our feet
And stop chasing
Every breaking wave?

Every sailor knows that the sea
Is a friend made enemy
And every shipwrecked soul knows what it is
To live without intimacy
I thought I heard the captain's voice
But it's hard to listen while you preach
Like every broken wave on the shore
This is as far as I could reach

If you go
If you go your way and I go mine
Are we so
Are we so helpless against the tide?
Baby, every dog on the street
Knows that we're in love with defeat
Are we ready to be swept off our feet
And stop chasing
Every breaking wave?

The sea knows where are the rocks
And drowning is no sin
You know where my heart is
The same place that yours has been
We know that we fear to win
And so we end before we begin
Before we begin

If you go
If you go your way and I'll go mine
Are we so
Are we so helpless against the tide?
Baby, every dog on the street
Knows that we're in love with defeat
Are we ready to be swept off our feet
And stop chasing
Every breaking wave?"
