word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
the,the,DET,579,50,"13 (There Is a Light); All I Want Is You; American Soul; Atomic City; Bad; Beautiful Day; Bullet the Blue Sky; California (There Is No End to Love); Cedarwood Road; City of Blinding Lights; Desire; Elevation; Every Breaking Wave; Get Out of Your Own Way; I Still Haven’t Found What I’m Looking For; I Will Follow; In God’s Country; Invisible; Iris (Hold Me Close); Lights of Home; Love Is Bigger Than Anything in Its Way; Miss Sarajevo; Mysterious Ways; New Year’s Day; One; One Tree Hill; Ordinary Love; Pride (In the Name of Love); Raised By Wolves; Running to Stand Still; Sleep Like a Baby Tonight; Sometimes You Can’t Make It On Your Own; Song for Someone; Stay (Faraway, So Close!); Stuck in a Moment You Can’t Get Out Of; Summer of Love; Sunday Bloody Sunday; Sweetest Thing; The Fly; The Little Things That Give You Away; The Miracle (Of Joey Ramone); The Troubles; Until the End of the World; Vertigo; Volcano; Walk On; Where the Streets Have No Name; With or Without You; You’re The Best Thing About Me; “40”",11.58,True,1
you,you,PRON,555,48,"13 (There Is a Light); All I Want Is You; American Soul; Atomic City; Bad; Beautiful Day; Bullet the Blue Sky; California (There Is No End to Love); Cedarwood Road; City of Blinding Lights; Desire; Elevation; Every Breaking Wave; Get Out of Your Own Way; I Still Haven’t Found What I’m Looking For; I Will Follow; Invisible; Iris (Hold Me Close); Lights of Home; Love Is Bigger Than Anything in Its Way; Miss Sarajevo; Mysterious Ways; New Year’s Day; One; One Tree Hill; Ordinary Love; Pride (In the Name of Love); Raised By Wolves; Running to Stand Still; Sleep Like a Baby Tonight; Sometimes You Can’t Make It On Your Own; Song for Someone; Stay (Faraway, So Close!); Stuck in a Moment You Can’t Get Out Of; Summer of Love; Sweetest Thing; The Fly; The Little Things That Give You Away; The Miracle (Of Joey Ramone); The Troubles; Until the End of the World; Vertigo; Volcano; Walk On; Where the Streets Have No Name; With or Without You; You’re The Best Thing About Me; “40”",11.56,True,2
i,i,PRON,456,47,"13 (There Is a Light); All I Want Is You; American Soul; Atomic City; Bad; Beautiful Day; Bullet the Blue Sky; California (There Is No End to Love); Cedarwood Road; City of Blinding Lights; Desire; Elevation; Every Breaking Wave; Get Out of Your Own Way; I Still Haven’t Found What I’m Looking For; I Will Follow; In God’s Country; Invisible; Iris (Hold Me Close); Lights of Home; Love Is Bigger Than Anything in Its Way; Miss Sarajevo; New Year’s Day; One; One Tree Hill; Ordinary Love; Raised By Wolves; Running to Stand Still; Sometimes You Can’t Make It On Your Own; Song for Someone; Stay (Faraway, So Close!); Stuck in a Moment You Can’t Get Out Of; Summer of Love; Sunday Bloody Sunday; Sweetest Thing; The Fly; The Little Things That Give You Away; The Miracle (Of Joey Ramone); The Troubles; Until the End of the World; Vertigo; Volcano; Walk On; Where the Streets Have No Name; With or Without You; You’re The Best Thing About Me; “40”",9.7,True,3
a,a,DET,339,48,"13 (There Is a Light); All I Want Is You; American Soul; Atomic City; Beautiful Day; Bullet the Blue Sky; California (There Is No End to Love); Cedarwood Road; City of Blinding Lights; Desire; Elevation; Every Breaking Wave; Get Out of Your Own Way; I Still Haven’t Found What I’m Looking For; I Will Follow; In God’s Country; Invisible; Iris (Hold Me Close); Lights of Home; Love Is Bigger Than Anything in Its Way; Miss Sarajevo; Mysterious Ways; New Year’s Day; One; One Tree Hill; Ordinary Love; Pride (In the Name of Love); Raised By Wolves; Running to Stand Still; Sleep Like a Baby Tonight; Sometimes You Can’t Make It On Your Own; Song for Someone; Stay (Faraway, So Close!); Stuck in a Moment You Can’t Get Out Of; Summer of Love; Sweetest Thing; The Fly; The Little Things That Give You Away; The Miracle (Of Joey Ramone); The Troubles; Until the End of the World; Vertigo; Volcano; Walk On; Where the Streets Have No Name; With or Without You; You’re The Best Thing About Me; “40”",7.06,True,4
and,and,CCONJ,267,49,"13 (There Is a Light); American Soul; Atomic City; Bad; Beautiful Day; Bullet the Blue Sky; California (There Is No End to Love); Cedarwood Road; City of Blinding Lights; Desire; Elevation; Every Breaking Wave; Get Out of Your Own Way; I Still Haven’t Found What I’m Looking For; I Will Follow; In God’s Country; Invisible; Iris (Hold Me Close); Lights of Home; Love Is Bigger Than Anything in Its Way; Miss Sarajevo; Mysterious Ways; New Year’s Day; One; One Tree Hill; Ordinary Love; Pride (In the Name of Love); Raised By Wolves; Running to Stand Still; Sleep Like a Baby Tonight; Sometimes You Can’t Make It On Your Own; Song for Someone; Stay (Faraway, So Close!); Stuck in a Moment You Can’t Get Out Of; Summer of Love; Sunday Bloody Sunday; Sweetest Thing; The Fly; The Little Things That Give You Away; The Miracle (Of Joey Ramone); The Troubles; Until the End of the World; Vertigo; Volcano; Walk On; Where the Streets Have No Name; With or Without You; You’re The Best Thing About Me; “40”",5.45,True,5
to,to,PART,226,47,"13 (There Is a Light); All I Want Is You; American Soul; Atomic City; Bad; Beautiful Day; Bullet the Blue Sky; California (There Is No End to Love); Cedarwood Road; City of Blinding Lights; Elevation; Every Breaking Wave; Get Out of Your Own Way; I Still Haven’t Found What I’m Looking For; I Will Follow; In God’s Country; Invisible; Iris (Hold Me Close); Lights of Home; Love Is Bigger Than Anything in Its Way; Miss Sarajevo; Mysterious Ways; New Year’s Day; One; One Tree Hill; Ordinary Love; Pride (In the Name of Love); Raised By Wolves; Running to Stand Still; Sometimes You Can’t Make It On Your Own; Song for Someone; Stay (Faraway, So Close!); Stuck in a Moment You Can’t Get Out Of; Summer of Love; Sunday Bloody Sunday; Sweetest Thing; The Little Things That Give You Away; The Miracle (Of Joey Ramone); The Troubles; Until the End of the World; Vertigo; Volcano; Walk On; Where the Streets Have No Name; With or Without You; You’re The Best Thing About Me; “40”",4.81,True,6
it,it,PRON,222,41,"13 (There Is a Light); All I Want Is You; American Soul; Atomic City; Bad; Beautiful Day; Bullet the Blue Sky; California (There Is No End to Love); Cedarwood Road; Elevation; Every Breaking Wave; Get Out of Your Own Way; I Still Haven’t Found What I’m Looking For; Invisible; Iris (Hold Me Close); Lights of Home; Love Is Bigger Than Anything in Its Way; Mysterious Ways; New Year’s Day; One; One Tree Hill; Ordinary Love; Raised By Wolves; Sleep Like a Baby Tonight; Sometimes You Can’t Make It On Your Own; Song for Someone; Stay (Faraway, So Close!); Stuck in a Moment You Can’t Get Out Of; Summer of Love; Sunday Bloody Sunday; Sweetest Thing; The Fly; The Little Things That Give You Away; The Miracle (Of Joey Ramone); The Troubles; Until the End of the World; Vertigo; Walk On; Where the Streets Have No Name; With or Without You; You’re The Best Thing About Me",5.41,True,7
in,in,ADP,200,48,"13 (There Is a Light); All I Want Is You; American Soul; Atomic City; Bad; Beautiful Day; Bullet the Blue Sky; California (There Is No End to Love); Cedarwood Road; City of Blinding Lights; Desire; Elevation; Every Breaking Wave; Get Out of Your Own Way; I Still Haven’t Found What I’m Looking For; I Will Follow; In God’s Country; Invisible; Iris (Hold Me Close); Lights of Home; Love Is Bigger Than Anything in Its Way; Miss Sarajevo; Mysterious Ways; New Year’s Day; One; One Tree Hill; Ordinary Love; Pride (In the Name of Love); Raised By Wolves; Running to Stand Still; Sleep Like a Baby Tonight; Sometimes You Can’t Make It On Your Own; Song for Someone; Stay (Faraway, So Close!); Stuck in a Moment You Can’t Get Out Of; Summer of Love; Sweetest Thing; The Fly; The Little Things That Give You Away; The Miracle (Of Joey Ramone); The Troubles; Until the End of the World; Vertigo; Volcano; Walk On; Where the Streets Have No Name; With or Without You; You’re The Best Thing About Me",4.17,True,8
s,be,AUX,193,36,"13 (There Is a Light); American Soul; Atomic City; Beautiful Day; Bullet the Blue Sky; California (There Is No End to Love); Cedarwood Road; Desire; Every Breaking Wave; Get Out of Your Own Way; In God’s Country; Invisible; Iris (Hold Me Close); Mysterious Ways; New Year’s Day; One; One Tree Hill; Ordinary Love; Raised By Wolves; Running to Stand Still; Sleep Like a Baby Tonight; Sometimes You Can’t Make It On Your Own; Song for Someone; Stay (Faraway, So Close!); Stuck in a Moment You Can’t Get Out Of; Summer of Love; Sunday Bloody Sunday; Sweetest Thing; The Fly; The Little Things That Give You Away; The Troubles; Vertigo; Volcano; Walk On; Where the Streets Have No Name; You’re The Best Thing About Me",5.36,True,9
n't,not,PART,186,37,"13 (There Is a Light); American Soul; Atomic City; Beautiful Day; California (There Is No End to Love); Cedarwood Road; City of Blinding Lights; Desire; Elevation; Every Breaking Wave; Get Out of Your Own Way; I Still Haven’t Found What I’m Looking For; Invisible; Iris (Hold Me Close); Lights of Home; Mysterious Ways; One; One Tree Hill; Ordinary Love; Raised By Wolves; Sleep Like a Baby Tonight; Sometimes You Can’t Make It On Your Own; Song for Someone; Stay (Faraway, So Close!); Stuck in a Moment You Can’t Get Out Of; Summer of Love; Sunday Bloody Sunday; Sweetest Thing; The Fly; The Little Things That Give You Away; The Miracle (Of Joey Ramone); Until the End of the World; Vertigo; Volcano; Walk On; With or Without You; You’re The Best Thing About Me",5.03,True,10
