word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,1251,46,"All at Once; All the Man That I Need; Count on Me; Didn’t We Almost Have It All; Do You Hear What I Hear?; For the Love of You; Greatest Love of All; Heartbreak Hotel; Higher Love; His Eye Is On The Sparrow; Home (Live); How Will I Know; I Believe In You and Me (Film Version); I Didn’t Know My Own Strength; I Go to the Rock; I Have Nothing; I Know Him So Well; I Look to You; I Love the Lord; I Wanna Dance With Somebody (Who Loves Me); I Will Always Love You; If I Told You That; It’s Not Right, But It’s Okay; I’m Every Woman; I’m Your Baby Tonight; Jesus Loves Me; Joy; Million Dollar Bill; Miracle; My Love Is Your Love; My Love is Your Love (Remix); My Name Is Not Susan; Nobody Loves Me Like You Do; One Moment in Time; Queen of the Night; Run to You; Same Script, Different Cast; Saving All My Love for You; So Emotional; Step By Step; The Christmas Song (Chestnuts Roasting On An Open Fire); Transcript of ‘Crack is whack’ Interview; Try It On My Own; Where Do Broken Hearts Go; Why Does It Hurt So Bad; You Give Good Love",27.2,True,1
you,you,PRON,827,46,"All at Once; Count on Me; Didn’t We Almost Have It All; Do You Hear What I Hear?; Exhale (Shoop Shoop); For the Love of You; Greatest Love of All; Heartbreak Hotel; His Eye Is On The Sparrow; Home (Live); How Will I Know; I Believe In You and Me (Film Version); I Go to the Rock; I Have Nothing; I Know Him So Well; I Look to You; I Love the Lord; I Wanna Dance With Somebody (Who Loves Me); I Will Always Love You; If I Told You That; It’s Not Right, But It’s Okay; I’m Every Woman; I’m Your Baby Tonight; Joy; Joy to the World; Million Dollar Bill; Miracle; My Love Is Your Love; My Love is Your Love (Remix); My Name Is Not Susan; Nobody Loves Me Like You Do; One Moment in Time; Queen of the Night; Run to You; Same Script, Different Cast; Saving All My Love for You; So Emotional; Step By Step; The Christmas Song (Chestnuts Roasting On An Open Fire); The Star Spangled Banner (Live from Super Bowl XXV); Transcript of ‘Crack is whack’ Interview; Try It On My Own; Where Do Broken Hearts Go; Who Would Imagine a King; Why Does It Hurt So Bad; You Give Good Love",17.98,True,2
the,the,DET,525,50,"All at Once; All the Man That I Need; Count on Me; Didn’t We Almost Have It All; Do You Hear What I Hear?; Exhale (Shoop Shoop); For the Love of You; Greatest Love of All; Heartbreak Hotel; Higher Love; His Eye Is On The Sparrow; Home (Live); How Will I Know; I Believe In You and Me (Film Version); I Didn’t Know My Own Strength; I Go to the Rock; I Have Nothing; I Know Him So Well; I Look to You; I Love the Lord; I Wanna Dance With Somebody (Who Loves Me); I Will Always Love You; If I Told You That; It’s Not Right, But It’s Okay; I’m Every Woman; I’m Your Baby Tonight; Jesus Loves Me; Joy; Joy to the World; Million Dollar Bill; Miracle; My Love Is Your Love; My Love is Your Love (Remix); My Name Is Not Susan; Nobody Loves Me Like You Do; One Moment in Time; Queen of the Night; Run to You; Same Script, Different Cast; Saving All My Love for You; So Emotional; Step By Step; The Christmas Song (Chestnuts Roasting On An Open Fire); The Star Spangled Banner (Live from Super Bowl XXV); Transcript of ‘Crack is whack’ Interview; Try It On My Own; Where Do Broken Hearts Go; Who Would Imagine a King; Why Does It Hurt So Bad; You Give Good Love",10.5,True,3
to,to,ADP,473,48,"All at Once; All the Man That I Need; Count on Me; Didn’t We Almost Have It All; Do You Hear What I Hear?; Exhale (Shoop Shoop); For the Love of You; Greatest Love of All; Heartbreak Hotel; Higher Love; Home (Live); How Will I Know; I Believe In You and Me (Film Version); I Didn’t Know My Own Strength; I Go to the Rock; I Have Nothing; I Know Him So Well; I Look to You; I Love the Lord; I Wanna Dance With Somebody (Who Loves Me); I Will Always Love You; If I Told You That; It’s Not Right, But It’s Okay; I’m Every Woman; I’m Your Baby Tonight; Jesus Loves Me; Joy; Joy to the World; Million Dollar Bill; Miracle; My Love Is Your Love; My Love is Your Love (Remix); My Name Is Not Susan; Nobody Loves Me Like You Do; One Moment in Time; Queen of the Night; Run to You; Same Script, Different Cast; Saving All My Love for You; So Emotional; Step By Step; The Christmas Song (Chestnuts Roasting On An Open Fire); Transcript of ‘Crack is whack’ Interview; Try It On My Own; Where Do Broken Hearts Go; Who Would Imagine a King; Why Does It Hurt So Bad; You Give Good Love",9.85,True,4
me,i,PRON,402,42,"All at Once; All the Man That I Need; Count on Me; Didn’t We Almost Have It All; For the Love of You; Greatest Love of All; Heartbreak Hotel; Higher Love; His Eye Is On The Sparrow; Home (Live); How Will I Know; I Believe In You and Me (Film Version); I Didn’t Know My Own Strength; I Go to the Rock; I Have Nothing; I Know Him So Well; I Look to You; I Wanna Dance With Somebody (Who Loves Me); I Will Always Love You; If I Told You That; It’s Not Right, But It’s Okay; I’m Every Woman; I’m Your Baby Tonight; Jesus Loves Me; Million Dollar Bill; Miracle; My Love Is Your Love; My Love is Your Love (Remix); My Name Is Not Susan; Nobody Loves Me Like You Do; One Moment in Time; Run to You; Same Script, Different Cast; Saving All My Love for You; So Emotional; Step By Step; Transcript of ‘Crack is whack’ Interview; Try It On My Own; Where Do Broken Hearts Go; Who Would Imagine a King; Why Does It Hurt So Bad; You Give Good Love",9.57,True,5
it,it,PRON,393,40,"All at Once; All the Man That I Need; Count on Me; Didn’t We Almost Have It All; Exhale (Shoop Shoop); For the Love of You; Greatest Love of All; Heartbreak Hotel; Higher Love; Home (Live); How Will I Know; I Didn’t Know My Own Strength; I Have Nothing; I Know Him So Well; I Look to You; I Wanna Dance With Somebody (Who Loves Me); If I Told You That; It’s Not Right, But It’s Okay; I’m Every Woman; I’m Your Baby Tonight; Joy; Million Dollar Bill; Miracle; My Love Is Your Love; My Love is Your Love (Remix); My Name Is Not Susan; One Moment in Time; Queen of the Night; Run to You; Same Script, Different Cast; Saving All My Love for You; So Emotional; Step By Step; The Christmas Song (Chestnuts Roasting On An Open Fire); Transcript of ‘Crack is whack’ Interview; Try It On My Own; Where Do Broken Hearts Go; Who Would Imagine a King; Why Does It Hurt So Bad; You Give Good Love",9.82,True,6
and,and,CCONJ,352,49,"All at Once; All the Man That I Need; Count on Me; Didn’t We Almost Have It All; Do You Hear What I Hear?; Exhale (Shoop Shoop); For the Love of You; Greatest Love of All; Heartbreak Hotel; Higher Love; His Eye Is On The Sparrow; Home (Live); I Believe In You and Me (Film Version); I Didn’t Know My Own Strength; I Go to the Rock; I Have Nothing; I Know Him So Well; I Look to You; I Love the Lord; I Wanna Dance With Somebody (Who Loves Me); I Will Always Love You; If I Told You That; It’s Not Right, But It’s Okay; I’m Every Woman; I’m Your Baby Tonight; Jesus Loves Me; Joy; Joy to the World; Million Dollar Bill; Miracle; My Love Is Your Love; My Love is Your Love (Remix); My Name Is Not Susan; Nobody Loves Me Like You Do; One Moment in Time; Queen of the Night; Run to You; Same Script, Different Cast; Saving All My Love for You; So Emotional; Step By Step; The Christmas Song (Chestnuts Roasting On An Open Fire); The Star Spangled Banner (Live from Super Bowl XXV); Transcript of ‘Crack is whack’ Interview; Try It On My Own; Where Do Broken Hearts Go; Who Would Imagine a King; Why Does It Hurt So Bad; You Give Good Love",7.18,True,7
love,love,VERB,267,34,"All at Once; All the Man That I Need; Count on Me; Didn’t We Almost Have It All; Exhale (Shoop Shoop); For the Love of You; Greatest Love of All; Higher Love; Home (Live); How Will I Know; I Believe In You and Me (Film Version); I Have Nothing; I Love the Lord; I Wanna Dance With Somebody (Who Loves Me); I Will Always Love You; If I Told You That; I’m Every Woman; I’m Your Baby Tonight; Jesus Loves Me; Joy; Joy to the World; Million Dollar Bill; Miracle; My Love Is Your Love; My Love is Your Love (Remix); My Name Is Not Susan; Nobody Loves Me Like You Do; Same Script, Different Cast; Saving All My Love for You; So Emotional; Transcript of ‘Crack is whack’ Interview; Where Do Broken Hearts Go; Why Does It Hurt So Bad; You Give Good Love",7.85,False,8
s,be,VERB,264,36,"All at Once; All the Man That I Need; Count on Me; Exhale (Shoop Shoop); Greatest Love of All; Higher Love; Home (Live); How Will I Know; I Believe In You and Me (Film Version); I Go to the Rock; I Have Nothing; I Look to You; I Wanna Dance With Somebody (Who Loves Me); If I Told You That; It’s Not Right, But It’s Okay; I’m Every Woman; I’m Your Baby Tonight; Million Dollar Bill; Miracle; My Love Is Your Love; My Love is Your Love (Remix); My Name Is Not Susan; Nobody Loves Me Like You Do; Queen of the Night; Run to You; Same Script, Different Cast; Saving All My Love for You; Step By Step; The Christmas Song (Chestnuts Roasting On An Open Fire); The Star Spangled Banner (Live from Super Bowl XXV); Transcript of ‘Crack is whack’ Interview; Try It On My Own; Where Do Broken Hearts Go; Who Would Imagine a King; Why Does It Hurt So Bad; You Give Good Love",7.33,True,9
that,that,PRON,263,40,"All at Once; All the Man That I Need; Count on Me; Didn’t We Almost Have It All; For the Love of You; Greatest Love of All; Heartbreak Hotel; Higher Love; Home (Live); I Believe In You and Me (Film Version); I Didn’t Know My Own Strength; I Go to the Rock; I Have Nothing; I Look to You; I Wanna Dance With Somebody (Who Loves Me); I Will Always Love You; If I Told You That; It’s Not Right, But It’s Okay; I’m Your Baby Tonight; Jesus Loves Me; Joy to the World; Million Dollar Bill; Miracle; My Love is Your Love (Remix); My Name Is Not Susan; Nobody Loves Me Like You Do; One Moment in Time; Queen of the Night; Run to You; Same Script, Different Cast; Saving All My Love for You; So Emotional; Step By Step; The Christmas Song (Chestnuts Roasting On An Open Fire); The Star Spangled Banner (Live from Super Bowl XXV); Transcript of ‘Crack is whack’ Interview; Where Do Broken Hearts Go; Who Would Imagine a King; Why Does It Hurt So Bad; You Give Good Love",6.58,True,10
