word,datasets,dataset_count
ab,books|lyrics|tv_shows,3
abandon,books|lyrics|tv_shows,3
abandonment,books|lyrics|tv_shows,3
abduct,books|lyrics|tv_shows,3
abduction,books|lyrics|tv_shows,3
abide,books|lyrics|tv_shows,3
ability,books|lyrics|tv_shows,3
ablaze,books|lyrics|tv_shows,3
able,books|lyrics|tv_shows,3
abnormal,books|lyrics|tv_shows,3
aboard,books|lyrics|tv_shows,3
abode,books|lyrics|tv_shows,3
abomination,books|lyrics|tv_shows,3
abort,books|lyrics|tv_shows,3
abortion,books|lyrics|tv_shows,3
abroad,books|lyrics|tv_shows,3
absence,books|lyrics|tv_shows,3
absent,books|lyrics|tv_shows,3
absolute,books|lyrics|tv_shows,3
absolutely,books|lyrics|tv_shows,3
absolution,books|lyrics|tv_shows,3
absolve,books|lyrics|tv_shows,3
abstain,books|lyrics|tv_shows,3
abstract,books|lyrics|tv_shows,3
absurd,books|lyrics|tv_shows,3
abundance,books|lyrics|tv_shows,3
abuse,books|lyrics|tv_shows,3
abuser,books|lyrics|tv_shows,3
academy,books|lyrics|tv_shows,3
accent,books|lyrics|tv_shows,3
accept,books|lyrics|tv_shows,3
acceptable,books|lyrics|tv_shows,3
acceptance,books|lyrics|tv_shows,3
accessible,books|lyrics|tv_shows,3
accessory,books|lyrics|tv_shows,3
accident,books|lyrics|tv_shows,3
accidentally,books|lyrics|tv_shows,3
acclimate,books|lyrics|tv_shows,3
accolade,books|lyrics|tv_shows,3
accomplice,books|lyrics|tv_shows,3
accomplish,books|lyrics|tv_shows,3
accomplishment,books|lyrics|tv_shows,3
accord,books|lyrics|tv_shows,3
account,books|lyrics|tv_shows,3
accountability,books|lyrics|tv_shows,3
accountant,books|lyrics|tv_shows,3
accurate,books|lyrics|tv_shows,3
accusation,books|lyrics|tv_shows,3
accuse,books|lyrics|tv_shows,3
accustom,books|lyrics|tv_shows,3
accustomed,books|lyrics|tv_shows,3
ace,books|lyrics|tv_shows,3
ache,books|lyrics|tv_shows,3
achieve,books|lyrics|tv_shows,3
achievement,books|lyrics|tv_shows,3
acid,books|lyrics|tv_shows,3
acidic,books|lyrics|tv_shows,3
ack,books|lyrics|tv_shows,3
acknowledge,books|lyrics|tv_shows,3
acne,books|lyrics|tv_shows,3
acorn,books|lyrics|tv_shows,3
acquiesce,books|lyrics|tv_shows,3
acquire,books|lyrics|tv_shows,3
acre,books|lyrics|tv_shows,3
acrobat,books|lyrics|tv_shows,3
acronym,books|lyrics|tv_shows,3
act,books|lyrics|tv_shows,3
actin,books|lyrics|tv_shows,3
action,books|lyrics|tv_shows,3
activate,books|lyrics|tv_shows,3
active,books|lyrics|tv_shows,3
activist,books|lyrics|tv_shows,3
activity,books|lyrics|tv_shows,3
actor,books|lyrics|tv_shows,3
actress,books|lyrics|tv_shows,3
actual,books|lyrics|tv_shows,3
actuality,books|lyrics|tv_shows,3
actually,books|lyrics|tv_shows,3
ad,books|lyrics|tv_shows,3
adamant,books|lyrics|tv_shows,3
adapt,books|lyrics|tv_shows,3
adaptation,books|lyrics|tv_shows,3
add,books|lyrics|tv_shows,3
addict,books|lyrics|tv_shows,3
addicted,books|lyrics|tv_shows,3
addiction,books|lyrics|tv_shows,3
addictive,books|lyrics|tv_shows,3
addition,books|lyrics|tv_shows,3
address,books|lyrics|tv_shows,3
adjective,books|lyrics|tv_shows,3
adjourn,books|lyrics|tv_shows,3
adjust,books|lyrics|tv_shows,3
administration,books|lyrics|tv_shows,3
admiration,books|lyrics|tv_shows,3
admire,books|lyrics|tv_shows,3
admirer,books|lyrics|tv_shows,3
admission,books|lyrics|tv_shows,3
admit,books|lyrics|tv_shows,3
admittedly,books|lyrics|tv_shows,3
ado,books|lyrics|tv_shows,3
adolescent,books|lyrics|tv_shows,3
adopt,books|lyrics|tv_shows,3
adorable,books|lyrics|tv_shows,3
adoration,books|lyrics|tv_shows,3
adore,books|lyrics|tv_shows,3
adorn,books|lyrics|tv_shows,3
adrenaline,books|lyrics|tv_shows,3
adult,books|lyrics|tv_shows,3
advance,books|lyrics|tv_shows,3
advancement,books|lyrics|tv_shows,3
advantage,books|lyrics|tv_shows,3
adventure,books|lyrics|tv_shows,3
adversary,books|lyrics|tv_shows,3
adversity,books|lyrics|tv_shows,3
advertise,books|lyrics|tv_shows,3
advertising,books|lyrics|tv_shows,3
advice,books|lyrics|tv_shows,3
advise,books|lyrics|tv_shows,3
advisor,books|lyrics|tv_shows,3
advisory,books|lyrics|tv_shows,3
aerial,books|lyrics|tv_shows,3
aeroplane,books|lyrics|tv_shows,3
aerosol,books|lyrics|tv_shows,3
aesthetic,books|lyrics|tv_shows,3
afar,books|lyrics|tv_shows,3
affair,books|lyrics|tv_shows,3
affect,books|lyrics|tv_shows,3
affection,books|lyrics|tv_shows,3
affectionate,books|lyrics|tv_shows,3
affiliate,books|lyrics|tv_shows,3
affiliation,books|lyrics|tv_shows,3
affinity,books|lyrics|tv_shows,3
afflict,books|lyrics|tv_shows,3
affliction,books|lyrics|tv_shows,3
afford,books|lyrics|tv_shows,3
afire,books|lyrics|tv_shows,3
afloat,books|lyrics|tv_shows,3
afraid,books|lyrics|tv_shows,3
african,books|lyrics|tv_shows,3
afro,books|lyrics|tv_shows,3
afterbirth,books|lyrics|tv_shows,3
aftermath,books|lyrics|tv_shows,3
afternoon,books|lyrics|tv_shows,3
aftershave,books|lyrics|tv_shows,3
afterthought,books|lyrics|tv_shows,3
age,books|lyrics|tv_shows,3
ageless,books|lyrics|tv_shows,3
agency,books|lyrics|tv_shows,3
agenda,books|lyrics|tv_shows,3
agent,books|lyrics|tv_shows,3
aggravate,books|lyrics|tv_shows,3
aggression,books|lyrics|tv_shows,3
aggressive,books|lyrics|tv_shows,3
aggressively,books|lyrics|tv_shows,3
agility,books|lyrics|tv_shows,3
agitate,books|lyrics|tv_shows,3
agitation,books|lyrics|tv_shows,3
ago,books|lyrics|tv_shows,3
agony,books|lyrics|tv_shows,3
agree,books|lyrics|tv_shows,3
agreement,books|lyrics|tv_shows,3
ah,books|lyrics|tv_shows,3
aha,books|lyrics|tv_shows,3
ahead,books|lyrics|tv_shows,3
ahh,books|lyrics|tv_shows,3
ai,books|lyrics|tv_shows,3
aid,books|lyrics|tv_shows,3
ail,books|lyrics|tv_shows,3
aim,books|lyrics|tv_shows,3
aimless,books|lyrics|tv_shows,3
air,books|lyrics|tv_shows,3
airborne,books|lyrics|tv_shows,3
airliner,books|lyrics|tv_shows,3
airplane,books|lyrics|tv_shows,3
airport,books|lyrics|tv_shows,3
airwave,books|lyrics|tv_shows,3
aisle,books|lyrics|tv_shows,3
aka,books|lyrics|tv_shows,3
alarm,books|lyrics|tv_shows,3
alarming,books|lyrics|tv_shows,3
albino,books|lyrics|tv_shows,3
album,books|lyrics|tv_shows,3
alchemist,books|lyrics|tv_shows,3
alchemy,books|lyrics|tv_shows,3
alcohol,books|lyrics|tv_shows,3
alcoholic,books|lyrics|tv_shows,3
ale,books|lyrics|tv_shows,3
alert,books|lyrics|tv_shows,3
alibi,books|lyrics|tv_shows,3
alien,books|lyrics|tv_shows,3
alienate,books|lyrics|tv_shows,3
align,books|lyrics|tv_shows,3
alignment,books|lyrics|tv_shows,3
alike,books|lyrics|tv_shows,3
alimony,books|lyrics|tv_shows,3
alive,books|lyrics|tv_shows,3
alkaline,books|lyrics|tv_shows,3
allegation,books|lyrics|tv_shows,3
allegiance,books|lyrics|tv_shows,3
allen,books|lyrics|tv_shows,3
allergic,books|lyrics|tv_shows,3
alleviate,books|lyrics|tv_shows,3
alley,books|lyrics|tv_shows,3
alleyway,books|lyrics|tv_shows,3
alliance,books|lyrics|tv_shows,3
alligator,books|lyrics|tv_shows,3
allow,books|lyrics|tv_shows,3
allowance,books|lyrics|tv_shows,3
ally,books|lyrics|tv_shows,3
almanac,books|lyrics|tv_shows,3
almighty,books|lyrics|tv_shows,3
almond,books|lyrics|tv_shows,3
aloft,books|lyrics|tv_shows,3
alongside,books|lyrics|tv_shows,3
aloof,books|lyrics|tv_shows,3
aloud,books|lyrics|tv_shows,3
alpha,books|lyrics|tv_shows,3
alphabet,books|lyrics|tv_shows,3
alphabetically,books|lyrics|tv_shows,3
alright,books|lyrics|tv_shows,3
altar,books|lyrics|tv_shows,3
alter,books|lyrics|tv_shows,3
altercation,books|lyrics|tv_shows,3
alternate,books|lyrics|tv_shows,3
alternative,books|lyrics|tv_shows,3
altitude,books|lyrics|tv_shows,3
alto,books|lyrics|tv_shows,3
altruism,books|lyrics|tv_shows,3
amateur,books|lyrics|tv_shows,3
amaze,books|lyrics|tv_shows,3
amazed,books|lyrics|tv_shows,3
amazing,books|lyrics|tv_shows,3
amazon,books|lyrics|tv_shows,3
ambassador,books|lyrics|tv_shows,3
amber,books|lyrics|tv_shows,3
ambition,books|lyrics|tv_shows,3
ambulance,books|lyrics|tv_shows,3
ambush,books|lyrics|tv_shows,3
amend,books|lyrics|tv_shows,3
amendment,books|lyrics|tv_shows,3
amenity,books|lyrics|tv_shows,3
american,books|lyrics|tv_shows,3
amigo,books|lyrics|tv_shows,3
ammo,books|lyrics|tv_shows,3
ammunition,books|lyrics|tv_shows,3
amnesia,books|lyrics|tv_shows,3
amo,books|lyrics|tv_shows,3
amor,books|lyrics|tv_shows,3
amorous,books|lyrics|tv_shows,3
amount,books|lyrics|tv_shows,3
amp,books|lyrics|tv_shows,3
amphetamine,books|lyrics|tv_shows,3
amplifier,books|lyrics|tv_shows,3
amplify,books|lyrics|tv_shows,3
amuse,books|lyrics|tv_shows,3
amusement,books|lyrics|tv_shows,3
amusing,books|lyrics|tv_shows,3
anal,books|lyrics|tv_shows,3
analogue,books|lyrics|tv_shows,3
analogy,books|lyrics|tv_shows,3
analysis,books|lyrics|tv_shows,3
analyst,books|lyrics|tv_shows,3
analyze,books|lyrics|tv_shows,3
anatomy,books|lyrics|tv_shows,3
ancestor,books|lyrics|tv_shows,3
ancestral,books|lyrics|tv_shows,3
anchor,books|lyrics|tv_shows,3
ancient,books|lyrics|tv_shows,3
android,books|lyrics|tv_shows,3
andy,books|lyrics|tv_shows,3
anew,books|lyrics|tv_shows,3
ang,books|lyrics|tv_shows,3
angel,books|lyrics|tv_shows,3
anger,books|lyrics|tv_shows,3
angle,books|lyrics|tv_shows,3
angrier,books|lyrics|tv_shows,3
angrily,books|lyrics|tv_shows,3
angry,books|lyrics|tv_shows,3
anguish,books|lyrics|tv_shows,3
animal,books|lyrics|tv_shows,3
animation,books|lyrics|tv_shows,3
ankle,books|lyrics|tv_shows,3
annihilate,books|lyrics|tv_shows,3
anniversary,books|lyrics|tv_shows,3
announce,books|lyrics|tv_shows,3
announcement,books|lyrics|tv_shows,3
announcer,books|lyrics|tv_shows,3
annoy,books|lyrics|tv_shows,3
annoyed,books|lyrics|tv_shows,3
annoying,books|lyrics|tv_shows,3
annual,books|lyrics|tv_shows,3
annulment,books|lyrics|tv_shows,3
anoint,books|lyrics|tv_shows,3
anonymous,books|lyrics|tv_shows,3
answer,books|lyrics|tv_shows,3
ant,books|lyrics|tv_shows,3
ante,books|lyrics|tv_shows,3
antelope,books|lyrics|tv_shows,3
antenna,books|lyrics|tv_shows,3
anthem,books|lyrics|tv_shows,3
anthrax,books|lyrics|tv_shows,3
anti,books|lyrics|tv_shows,3
antibiotic,books|lyrics|tv_shows,3
antic,books|lyrics|tv_shows,3
anticipate,books|lyrics|tv_shows,3
anticipation,books|lyrics|tv_shows,3
antidepressant,books|lyrics|tv_shows,3
antidote,books|lyrics|tv_shows,3
antique,books|lyrics|tv_shows,3
antisocial,books|lyrics|tv_shows,3
anus,books|lyrics|tv_shows,3
anxiety,books|lyrics|tv_shows,3
anxious,books|lyrics|tv_shows,3
anymore,books|lyrics|tv_shows,3
anytime,books|lyrics|tv_shows,3
anyway,books|lyrics|tv_shows,3
anyways,books|lyrics|tv_shows,3
apart,books|lyrics|tv_shows,3
apartment,books|lyrics|tv_shows,3
ape,books|lyrics|tv_shows,3
apocalypse,books|lyrics|tv_shows,3
apocalyptic,books|lyrics|tv_shows,3
apologise,books|lyrics|tv_shows,3
apologize,books|lyrics|tv_shows,3
apology,books|lyrics|tv_shows,3
apostrophe,books|lyrics|tv_shows,3
app,books|lyrics|tv_shows,3
appalled,books|lyrics|tv_shows,3
apparatus,books|lyrics|tv_shows,3
apparel,books|lyrics|tv_shows,3
apparent,books|lyrics|tv_shows,3
apparently,books|lyrics|tv_shows,3
apparition,books|lyrics|tv_shows,3
appeal,books|lyrics|tv_shows,3
appear,books|lyrics|tv_shows,3
appearance,books|lyrics|tv_shows,3
appendix,books|lyrics|tv_shows,3
appetite,books|lyrics|tv_shows,3
applaud,books|lyrics|tv_shows,3
applause,books|lyrics|tv_shows,3
apple,books|lyrics|tv_shows,3
application,books|lyrics|tv_shows,3
apply,books|lyrics|tv_shows,3
appoint,books|lyrics|tv_shows,3
appointment,books|lyrics|tv_shows,3
appreciate,books|lyrics|tv_shows,3
appreciation,books|lyrics|tv_shows,3
apprentice,books|lyrics|tv_shows,3
approach,books|lyrics|tv_shows,3
approval,books|lyrics|tv_shows,3
approve,books|lyrics|tv_shows,3
apricot,books|lyrics|tv_shows,3
apron,books|lyrics|tv_shows,3
aptitude,books|lyrics|tv_shows,3
arc,books|lyrics|tv_shows,3
arcade,books|lyrics|tv_shows,3
arch,books|lyrics|tv_shows,3
archaic,books|lyrics|tv_shows,3
archer,books|lyrics|tv_shows,3
architectural,books|lyrics|tv_shows,3
architecture,books|lyrics|tv_shows,3
arctic,books|lyrics|tv_shows,3
area,books|lyrics|tv_shows,3
arena,books|lyrics|tv_shows,3
arguably,books|lyrics|tv_shows,3
argue,books|lyrics|tv_shows,3
argument,books|lyrics|tv_shows,3
argumentative,books|lyrics|tv_shows,3
aria,books|lyrics|tv_shows,3
arid,books|lyrics|tv_shows,3
arise,books|lyrics|tv_shows,3
aristocrat,books|lyrics|tv_shows,3
ark,books|lyrics|tv_shows,3
arm,books|lyrics|tv_shows,3
armadillo,books|lyrics|tv_shows,3
armed,books|lyrics|tv_shows,3
armor,books|lyrics|tv_shows,3
armour,books|lyrics|tv_shows,3
armpit,books|lyrics|tv_shows,3
armrest,books|lyrics|tv_shows,3
army,books|lyrics|tv_shows,3
arraign,books|lyrics|tv_shows,3
arraignment,books|lyrics|tv_shows,3
arrange,books|lyrics|tv_shows,3
arrangement,books|lyrics|tv_shows,3
array,books|lyrics|tv_shows,3
arrest,books|lyrics|tv_shows,3
arrival,books|lyrics|tv_shows,3
arrive,books|lyrics|tv_shows,3
arrogance,books|lyrics|tv_shows,3
arrogant,books|lyrics|tv_shows,3
arrow,books|lyrics|tv_shows,3
arse,books|lyrics|tv_shows,3
arsenal,books|lyrics|tv_shows,3
arson,books|lyrics|tv_shows,3
arsonist,books|lyrics|tv_shows,3
art,books|lyrics|tv_shows,3
artery,books|lyrics|tv_shows,3
artful,books|lyrics|tv_shows,3
article,books|lyrics|tv_shows,3
articulate,books|lyrics|tv_shows,3
artifact,books|lyrics|tv_shows,3
artillery,books|lyrics|tv_shows,3
artist,books|lyrics|tv_shows,3
artistic,books|lyrics|tv_shows,3
ascend,books|lyrics|tv_shows,3
ash,books|lyrics|tv_shows,3
ashamed,books|lyrics|tv_shows,3
ashen,books|lyrics|tv_shows,3
ashore,books|lyrics|tv_shows,3
ashtray,books|lyrics|tv_shows,3
asian,books|lyrics|tv_shows,3
aside,books|lyrics|tv_shows,3
asinine,books|lyrics|tv_shows,3
ask,books|lyrics|tv_shows,3
askin,books|lyrics|tv_shows,3
asking,books|lyrics|tv_shows,3
asleep,books|lyrics|tv_shows,3
asphalt,books|lyrics|tv_shows,3
asphyxiate,books|lyrics|tv_shows,3
aspiration,books|lyrics|tv_shows,3
aspire,books|lyrics|tv_shows,3
aspirin,books|lyrics|tv_shows,3
ass,books|lyrics|tv_shows,3
assassin,books|lyrics|tv_shows,3
assault,books|lyrics|tv_shows,3
assemble,books|lyrics|tv_shows,3
assembly,books|lyrics|tv_shows,3
assertive,books|lyrics|tv_shows,3
asset,books|lyrics|tv_shows,3
asshole,books|lyrics|tv_shows,3
assist,books|lyrics|tv_shows,3
assistance,books|lyrics|tv_shows,3
assistant,books|lyrics|tv_shows,3
associate,books|lyrics|tv_shows,3
association,books|lyrics|tv_shows,3
assorted,books|lyrics|tv_shows,3
assume,books|lyrics|tv_shows,3
assumption,books|lyrics|tv_shows,3
assure,books|lyrics|tv_shows,3
asteroid,books|lyrics|tv_shows,3
asthma,books|lyrics|tv_shows,3
astonishment,books|lyrics|tv_shows,3
astray,books|lyrics|tv_shows,3
astrology,books|lyrics|tv_shows,3
astronaut,books|lyrics|tv_shows,3
astronomer,books|lyrics|tv_shows,3
asunder,books|lyrics|tv_shows,3
asylum,books|lyrics|tv_shows,3
ate,books|lyrics|tv_shows,3
atheist,books|lyrics|tv_shows,3
atm,books|lyrics|tv_shows,3
atmosphere,books|lyrics|tv_shows,3
atom,books|lyrics|tv_shows,3
atomic,books|lyrics|tv_shows,3
atone,books|lyrics|tv_shows,3
atonement,books|lyrics|tv_shows,3
atop,books|lyrics|tv_shows,3
attach,books|lyrics|tv_shows,3
attack,books|lyrics|tv_shows,3
attacker,books|lyrics|tv_shows,3
attain,books|lyrics|tv_shows,3
attempt,books|lyrics|tv_shows,3
attend,books|lyrics|tv_shows,3
attendant,books|lyrics|tv_shows,3
attention,books|lyrics|tv_shows,3
attest,books|lyrics|tv_shows,3
attic,books|lyrics|tv_shows,3
attire,books|lyrics|tv_shows,3
attitude,books|lyrics|tv_shows,3
attorney,books|lyrics|tv_shows,3
attract,books|lyrics|tv_shows,3
attraction,books|lyrics|tv_shows,3
attractive,books|lyrics|tv_shows,3
auburn,books|lyrics|tv_shows,3
audacity,books|lyrics|tv_shows,3
audible,books|lyrics|tv_shows,3
audience,books|lyrics|tv_shows,3
audio,books|lyrics|tv_shows,3
audition,books|lyrics|tv_shows,3
auditorium,books|lyrics|tv_shows,3
august,books|lyrics|tv_shows,3
aunt,books|lyrics|tv_shows,3
aura,books|lyrics|tv_shows,3
austere,books|lyrics|tv_shows,3
authentic,books|lyrics|tv_shows,3
authenticity,books|lyrics|tv_shows,3
author,books|lyrics|tv_shows,3
authority,books|lyrics|tv_shows,3
