word,exclusion_category
aa,GIBBERISH
aajke,FOREIGN
aat,PARSE_ERROR
abadthing,PARSE_ERROR
abelion,PARSE_ERROR
ac,GIBBERISH
acchha,FOREIGN
accurely,TYPO
acelerador,FOREIGN
actualrealscientist,PARSE_ERROR
adamantium,MADE_UP
adho,FOREIGN
adness,PARSE_ERROR
aegean,PROPER_NOUN
afwaid,TYPO
aidea,PARSE_ERROR
airbnb,BRAND
al,GIBBERISH
aleasant,TYPO
alex,PROPER_NOUN
alfred,PROPER_NOUN
alma,PROPER_NOUN
alo,GIBBERISH
ames,PROPER_NOUN
amy,PROPER_NOUN
angela,PROPER_NOUN
angeles,PROPER_NOUN
angelina,PROPER_NOUN
angie,PROPER_NOUN
anu,GIBBERISH
anyw,PARSE_ERROR
appli,PARSE_ERROR
apprec,PARSE_ERROR
appree,PARSE_ERROR
apsparagus,TYPO
aquaman,MADE_UP
archie,PROPER_NOUN
archimedes,PROPER_NOUN
arlene,PROPER_NOUN
armen,PROPER_NOUN
asman,PARSE_ERROR
assimilis,FOREIGN
astor,PROPER_NOUN
astronautie,PARSE_ERROR
atah,GIBBERISH
atractive,TYPO
awong,TYPO
babygap,BRAND
badum,PARSE_ERROR
bakersfield,PROPER_NOUN
banditos,FOREIGN
bangalore,PROPER_NOUN
barbara,PROPER_NOUN
bastar,PARSE_ERROR
bat'leth,MADE_UP
bat'lething,MADE_UP
bataillon,FOREIGN
batman,MADE_UP
batmobile,MADE_UP
batsuit,MADE_UP
bazinga,MADE_UP
bea,PROPER_NOUN
beatles,PROPER_NOUN
beefaroni,BRAND
bengay,BRAND
bernade,PARSE_ERROR
bernadette,PROPER_NOUN
bernie,PROPER_NOUN
bert,PROPER_NOUN
beverly,PROPER_NOUN
bigaditya,PROPER_NOUN
biguous,PARSE_ERROR
bir,GIBBERISH
birkenstocks,BRAND
bom,PARSE_ERROR
boone,PROPER_NOUN
bos,GIBBERISH
bossa,FOREIGN
brakkadoom,PARSE_ERROR
brazil,PROPER_NOUN
bridget,PROPER_NOUN
brot,GIBBERISH
bshh,GIBBERISH
bu,GIBBERISH
budabest,TYPO
bueno,FOREIGN
bugeeses,PARSE_ERROR
buh,GIBBERISH
buuurn,PARSE_ERROR
caliente,FOREIGN
california,PROPER_NOUN
caltech,PROPER_NOUN
camry,BRAND
carthage,PROPER_NOUN
cartoo,PARSE_ERROR
catwoman,MADE_UP
cbs,BRAND
centauri,PROPER_NOUN
cerficate,PARSE_ERROR
ch,GIBBERISH
changeroni,PARSE_ERROR
channelis,PARSE_ERROR
cheezeburger,TYPO
chelsea,PROPER_NOUN
cherie,PROPER_NOUN
chernobyl,PROPER_NOUN
chewbacca,MADE_UP
chewie,MADE_UP
chex,BRAND
chong,PROPER_NOUN
chosena,PARSE_ERROR
christy,PROPER_NOUN
ck,GIBBERISH
cl,GIBBERISH
claire,PROPER_NOUN
claritin,BRAND
classicflash,PARSE_ERROR
cliffy,PROPER_NOUN
clo,PARSE_ERROR
clogzilla,MADE_UP
coeruleus,FOREIGN
