word,total_count
autotroph,228
physic,137
leonard,70
quantum,67
coitus,59
amy,54
koothrappali,34
theoretical,33
wolowitz,31
raj,29
intellectual,27
experimental,26
hypothesis,25
astrophysicist,23
bernadette,23
oontz,22
dimension,20
purr,20
brisket,19
disprove,18
zack,18
academic,17
planetarium,17
boson,16
stuart,16
bosom,15
gynecologist,15
psychic,15
superfluid,14
internal,13
lactose,13
rhetorical,13
sensor,13
supercollider,13
asymmetry,12
bestie,12
component,12
eidetic,12
initiate,12
meteor,12
neurobiologist,12
nevertheless,12
cortex,11
geologist,11
kryptonian,11
meteorite,11
neurobiology,11
neuroscientist,11
solder,11
vortex,11
biologist,10
degrasse,10
differential,10
evolutionary,10
gyroscope,10
lime,10
nag,10
neuroscience,10
objection,10
radium,10
condensate,9
galaxy,9
neutrino,9
photon,9
pout,9
prenup,9
supersymmetry,9
tangerine,9
ambiguous,8
avenger,8
compartment,8
cuckoo,8
cuisine,8
gibbon,8
loofah,8
mac,8
micaceous,8
optimize,8
peer,8
schist,8
tantrum,8
ark,7
bazinga,7
bobcat,7
centrifuge,7
characterize,7
conclusively,7
disneyland,7
earthquake,7
enchanted,7
fellowship,7
goggles,7
insecurity,7
interject,7
kung,7
lantern,7
lesion,7
machinery,7
marital,7
matrix,7
meemaw,7
microbiologist,7
monopoles,7
nobel,7
pastrami,7
prefrontal,7
snarky,7
starfish,7
tasting,7
uranium,7
wolverine,7
accelerator,6
almanac,6
annoyed,6
antidepressant,6
array,6
badum,6
biochemical,6
busboy,6
calculus,6
characteristic,6
cheerio,6
coefficient,6
coeruleus,6
conversational,6
cosmic,6
cosmological,6
density,6
entropy,6
glenn,6
gravitational,6
hippy,6
historically,6
hulk,6
locus,6
luminous,6
moot,6
mucus,6
nightcap,6
ninja,6
overthink,6
payload,6
petri,6
phd,6
piercing,6
quirk,6
railway,6
reactor,6
relativity,6
reproduce,6
residual,6
serpent,6
spock,6
spotlight,6
stalemate,6
stimulus,6
tangent,6
testosterone,6
undergrad,6
unicycle,6
vexillology,6
westauwant,6
zachary,6
acoustic,5
armenian,5
astrophysics,5
avocado,5
awkwardness,5
backsies,5
bishop,5
blintz,5
brobdingnagian,5
cohabitation,5
collider,5
combustion,5
cooling,5
copulate,5
deceitful,5
deity,5
delightfully,5
digestive,5
doggie,5
dopey,5
electrical,5
elevate,5
emasculate,5
fencing,5
frauds,5
hagfish,5
hickey,5
hippie,5
howie,5
hypochondria,5
integral,5
intellectually,5
isotope,5
jay,5
latex,5
locket,5
margarita,5
meatloaf,5
mechanical,5
medieval,5
milky,5
mythology,5
nucleus,5
ode,5
organizational,5
ostrich,5
overlord,5
parasite,5
pasty,5
phasers,5
planetary,5
postulate,5
promiscuous,5
prowess,5
putz,5
retraction,5
scalped,5
sensory,5
serotonin,5
sheldons,5
simultaneously,5
sloth,5
spherical,5
sphincter,5
stray,5
subsection,5
supercooled,5
tam,5
testy,5
theremin,5
toggle,5
transformer,5
tushy,5
undead,5
unified,5
unresolved,5
urination,5
vixen,5
weasel,5
wheaton,5
whee,5
whining,5
wil,5
xenon,5
yucky,5
zi,5
accolade,4
adhesive,4
algebraic,4
alphabetically,4
angular,4
animated,4
anthropic,4
anthropologist,4
archimedes,4
arrhythmia,4
asthmatic,4
asymmetrical,4
baggie,4
bandage,4
blower,4
bossy,4
breeder,4
browse,4
bubala,4
butterscotch,4
calibration,4
celestial,4
cholermus,4
chuckle,4
chute,4
classified,4
clinical,4
cloaking,4
cobra,4
cockamamy,4
cogent,4
colonel,4
complaining,4
conceptualize,4
conclusive,4
contraire,4
copenhagen,4
correspond,4
cosmology,4
coupling,4
covenant,4
crocodile,4
crossover,4
cryogenic,4
culinary,4
damsel,4
decongestant,4
deploy,4
derision,4
diploma,4
downhill,4
edison,4
entree,4
envious,4
est,4
eulogy,4
fasten,4
feline,4
flattering,4
flermin,4
floppy,4
floral,4
fluctuation,4
folksy,4
freakishly,4
freeway,4
frontal,4
furry,4
fyi,4
gazelle,4
guinea,4
hemisphere,4
hepatitis,4
hopelessly,4
hummingbird,4
idiosyncrasy,4
implied,4
infrared,4
inherent,4
interstellar,4
irritable,4
irritating,4
keynote,4
lackey,4
lama,4
lambda,4
lehver,4
limbic,4
linear,4
lingerie,4
lipid,4
mantis,4
mathematics,4
methodology,4
mimosa,4
multidimensional,4
mutism,4
optic,4
overthinking,4
pancreas,4
peasy,4
pedantic,4
penicillin,4
percussive,4
phobia,4
pilgrim,4
pinkeye,4
plural,4
poppycock,4
positronium,4
postdoc,4
prairie,4
praying,4
preevning,4
preposition,4
priya,4
promiscuity,4
proton,4
pulling,4
rajesh,4
rampant,4
ravish,4
redundant,4
reevaluate,4
repellent,4
respective,4
retina,4
rodent,4
rodeo,4
roughhouse,4
ruby,4
rue,4
schematic,4
screwdriver,4
scrimmage,4
selective,4
serape,4
shoemaker,4
sightseeing,4
slogan,4
slug,4
slugger,4
snippy,4
spineless,4
stability,4
starch,4
strainer,4
subcontinent,4
sulfide,4
teacup,4
teaspoon,4
tenured,4
tights,4
tiresome,4
trajectory,4
turbulence,4
undergarment,4
vaporize,4
vega,4
vegas,4
ventriloquist,4
whimsically,4
wobble,4
yelp,4
accepted,3
accuracy,3
adamantium,3
addendum,3
aficionado,3
aggravate,3
airborne,3
algae,3
ammonia,3
amorous,3
amplitude,3
anarchy,3
anchovy,3
animalistic,3
anime,3
apocalypse,3
apocalyptic,3
apron,3
arachnid,3
architect,3
armadillo,3
assert,3
assless,3
astonish,3
astrology,3
autographed,3
axiomatic,3
backwoods,3
badminton,3
balanced,3
banality,3
berate,3
bert,3
beverly,3
bigaditya,3
blinking,3
blitz,3
boldly,3
bongos,3
boutonniere,3
brainiac,3
bridget,3
briefing,3
brutally,3
buttload,3
camouflage,3
capybara,3
carbohydrate,3
catchy,3
categorize,3
caterpillar,3
catfish,3
catty,3
centrifugal,3
chai,3
chaperone,3
clammy,3
claustrophobic,3
clavicle,3
cleanliness,3
cliffhanger,3
coital,3
collapsible,3
comma,3
complexion,3
computation,3
condescension,3
conjugal,3
consecutive,3
constellation,3
cornfield,3
cornish,3
corroborate,3
cosmopolitan,3
cotillion,3
counterpoint,3
crackpot,3
cucumber,3
cuddly,3
cutest,3
d'oeuvres,3
definitively,3
deprive,3
dickey,3
digitally,3
dinfast,3
dissertation,3
doctoral,3
dogapus,3
dominance,3
dopamine,3
duplicate,3
earworm,3
eavesdropping,3
eccentricity,3
economist,3
eine,3
elevated,3
elimination,3
elvish,3
embark,3
empirical,3
emulate,3
encouragement,3
endorphin,3
enema,3
enlargement,3
entanglement,3
entertaining,3
enthusiast,3
epithelial,3
europium,3
exhaustion,3
exoskeleton,3
exploration,3
federation,3
feign,3
fermion,3
flatulent,3
flawless,3
fondly,3
footnote,3
frig,3
frightening,3
galactic,3
gall,3
gladiator,3
glamorous,3
gluino,3
goddaughter,3
guitarist,3
habilis,3
hankering,3
heinie,3
hinduism,3
hofstadter,3
hologram,3
homegirl,3
homeostasis,3
homunculus,3
hors,3
hubba,3
huff,3
humid,3
hydraulic,3
iceberg,3
iconic,3
idiom,3
ignite,3
iguana,3
illustrate,3
imposition,3
improperly,3
inaccuracy,3
inadequate,3
incomplete,3
incorrectly,3
incubator,3
indicates,3
inertia,3
inference,3
inferiority,3
inflamed,3
insistence,3
insomnia,3
insufferable,3
insufficient,3
inventive,3
ira,3
janko,3
jeepers,3
jones,3
kissy,3
kripke,3
krob,3
lapel,3
latent,3
laude,3
leakage,3
leever,3
leslie,3
letting,3
libido,3
lichen,3
