word,total_count,episode_count,episodes
get,2314,61,"1x01:35,1x02:46,1x03:41,1x04:30,1x05:39,1x06:44,1x07:74,1x08:48,1x09:45,1x10:33,1x11:23,1x12:61,2x08:40,2x09:37,2x10:40,2x11:45,2x12:33,3x01:38,3x02:37,3x03:57,3x04:4,3x05:34,3x06:53,3x07:30,3x08:41,3x09:51,3x10:48,3x11:43,3x12:38,4x01:36,4x02:30,4x03:47,4x04:40,4x05:32,4x06:46,4x07:39,4x08:47,4x09:34,4x10:39,4x11:19,4x12:37,5x01:27,5x02:40,5x03:30,5x04:31,5x05:54,5x06:23,5x07:36,5x08:33,5x09:40,5x10:27,5x11:39,5x12:40,6x01:27,6x02:23,6x03:45,6x04:32,6x05:35,6x06:33,6x07:33,6x08:32"
know,1714,61,"1x01:29,1x02:20,1x03:28,1x04:22,1x05:27,1x06:31,1x07:33,1x08:31,1x09:33,1x10:27,1x11:23,1x12:32,2x08:41,2x09:27,2x10:34,2x11:42,2x12:27,3x01:33,3x02:27,3x03:35,3x04:2,3x05:45,3x06:17,3x07:40,3x08:26,3x09:22,3x10:56,3x11:34,3x12:34,4x01:17,4x02:18,4x03:35,4x04:22,4x05:24,4x06:30,4x07:16,4x08:18,4x09:22,4x10:23,4x11:27,4x12:25,5x01:24,5x02:22,5x03:30,5x04:21,5x05:41,5x06:46,5x07:40,5x08:24,5x09:30,5x10:39,5x11:27,5x12:26,6x01:20,6x02:20,6x03:21,6x04:28,6x05:30,6x06:20,6x07:21,6x08:29"
go,1335,61,"1x01:13,1x02:20,1x03:18,1x04:14,1x05:23,1x06:11,1x07:26,1x08:23,1x09:20,1x10:15,1x11:16,1x12:21,2x08:21,2x09:24,2x10:28,2x11:37,2x12:27,3x01:23,3x02:15,3x03:28,3x04:6,3x05:26,3x06:24,3x07:26,3x08:23,3x09:20,3x10:22,3x11:30,3x12:31,4x01:14,4x02:26,4x03:20,4x04:29,4x05:12,4x06:23,4x07:22,4x08:15,4x09:30,4x10:11,4x11:11,4x12:16,5x01:22,5x02:32,5x03:22,5x04:14,5x05:22,5x06:28,5x07:31,5x08:35,5x09:18,5x10:21,5x11:24,5x12:32,6x01:21,6x02:21,6x03:22,6x04:29,6x05:23,6x06:19,6x07:21,6x08:18"
want,1067,61,"1x01:21,1x02:28,1x03:30,1x04:7,1x05:21,1x06:11,1x07:17,1x08:23,1x09:15,1x10:16,1x11:17,1x12:47,2x08:10,2x09:17,2x10:13,2x11:18,2x12:15,3x01:23,3x02:21,3x03:16,3x04:3,3x05:15,3x06:16,3x07:31,3x08:24,3x09:15,3x10:21,3x11:19,3x12:17,4x01:18,4x02:17,4x03:22,4x04:10,4x05:22,4x06:17,4x07:14,4x08:25,4x09:21,4x10:14,4x11:13,4x12:23,5x01:16,5x02:16,5x03:18,5x04:8,5x05:24,5x06:21,5x07:17,5x08:15,5x09:19,5x10:25,5x11:7,5x12:16,6x01:13,6x02:8,6x03:6,6x04:13,6x05:10,6x06:26,6x07:7,6x08:19"
think,1065,60,"1x01:16,1x02:17,1x03:25,1x04:28,1x05:21,1x06:13,1x07:13,1x08:25,1x09:16,1x10:19,1x11:18,1x12:29,2x08:7,2x09:12,2x10:28,2x11:25,2x12:12,3x01:21,3x02:18,3x03:14,3x05:29,3x06:25,3x07:21,3x08:15,3x09:14,3x10:27,3x11:16,3x12:17,4x01:16,4x02:9,4x03:14,4x04:8,4x05:18,4x06:14,4x07:10,4x08:18,4x09:15,4x10:15,4x11:15,4x12:11,5x01:12,5x02:16,5x03:14,5x04:14,5x05:22,5x06:21,5x07:18,5x08:13,5x09:28,5x10:19,5x11:17,5x12:15,6x01:17,6x02:15,6x03:25,6x04:19,6x05:29,6x06:10,6x07:17,6x08:20"
say,1006,61,"1x01:15,1x02:15,1x03:20,1x04:15,1x05:12,1x06:20,1x07:19,1x08:19,1x09:9,1x10:13,1x11:13,1x12:17,2x08:15,2x09:10,2x10:21,2x11:19,2x12:23,3x01:10,3x02:27,3x03:25,3x04:3,3x05:15,3x06:22,3x07:18,3x08:13,3x09:22,3x10:23,3x11:13,3x12:18,4x01:22,4x02:8,4x03:13,4x04:18,4x05:20,4x06:8,4x07:15,4x08:18,4x09:14,4x10:17,4x11:15,4x12:14,5x01:12,5x02:18,5x03:19,5x04:22,5x05:17,5x06:29,5x07:25,5x08:17,5x09:14,5x10:26,5x11:18,5x12:19,6x01:7,6x02:11,6x03:14,6x04:14,6x05:16,6x06:6,6x07:16,6x08:20"
right,978,61,"1x01:18,1x02:18,1x03:12,1x04:12,1x05:10,1x06:13,1x07:14,1x08:12,1x09:28,1x10:18,1x11:19,1x12:17,2x08:21,2x09:14,2x10:19,2x11:28,2x12:14,3x01:21,3x02:20,3x03:19,3x04:1,3x05:18,3x06:19,3x07:13,3x08:12,3x09:13,3x10:20,3x11:12,3x12:10,4x01:14,4x02:25,4x03:13,4x04:21,4x05:19,4x06:21,4x07:21,4x08:22,4x09:14,4x10:20,4x11:12,4x12:29,5x01:14,5x02:8,5x03:17,5x04:25,5x05:12,5x06:11,5x07:13,5x08:16,5x09:12,5x10:12,5x11:12,5x12:18,6x01:19,6x02:19,6x03:15,6x04:11,6x05:15,6x06:11,6x07:10,6x08:12"
make,833,61,"1x01:11,1x02:16,1x03:14,1x04:10,1x05:11,1x06:13,1x07:22,1x08:15,1x09:18,1x10:13,1x11:10,1x12:22,2x08:4,2x09:17,2x10:18,2x11:12,2x12:21,3x01:19,3x02:19,3x03:17,3x04:4,3x05:9,3x06:19,3x07:8,3x08:12,3x09:15,3x10:15,3x11:18,3x12:10,4x01:10,4x02:13,4x03:14,4x04:11,4x05:16,4x06:16,4x07:10,4x08:14,4x09:16,4x10:11,4x11:6,4x12:15,5x01:13,5x02:8,5x03:21,5x04:23,5x05:9,5x06:17,5x07:14,5x08:13,5x09:11,5x10:9,5x11:10,5x12:12,6x01:9,6x02:15,6x03:22,6x04:18,6x05:17,6x06:4,6x07:13,6x08:11"
good,793,60,"1x01:15,1x02:12,1x03:18,1x04:15,1x05:20,1x06:10,1x07:16,1x08:22,1x09:15,1x10:12,1x11:21,1x12:11,2x08:10,2x09:10,2x10:10,2x11:10,2x12:16,3x01:14,3x02:11,3x03:7,3x05:18,3x06:15,3x07:24,3x08:12,3x09:16,3x10:17,3x11:18,3x12:11,4x01:6,4x02:9,4x03:16,4x04:11,4x05:6,4x06:17,4x07:8,4x08:12,4x09:11,4x10:7,4x11:14,4x12:19,5x01:16,5x02:16,5x03:13,5x04:16,5x05:19,5x06:24,5x07:18,5x08:10,5x09:10,5x10:13,5x11:4,5x12:18,6x01:4,6x02:12,6x03:19,6x04:7,6x05:11,6x06:8,6x07:5,6x08:8"
well,783,61,"1x01:16,1x02:21,1x03:12,1x04:13,1x05:14,1x06:20,1x07:15,1x08:18,1x09:16,1x10:13,1x11:12,1x12:16,2x08:14,2x09:9,2x10:18,2x11:20,2x12:12,3x01:5,3x02:5,3x03:7,3x04:1,3x05:8,3x06:6,3x07:9,3x08:7,3x09:8,3x10:17,3x11:7,3x12:27,4x01:15,4x02:11,4x03:12,4x04:7,4x05:9,4x06:6,4x07:17,4x08:22,4x09:17,4x10:14,4x11:21,4x12:19,5x01:24,5x02:10,5x03:13,5x04:13,5x05:14,5x06:7,5x07:12,5x08:15,5x09:13,5x10:21,5x11:3,5x12:14,6x01:11,6x02:12,6x03:14,6x04:6,6x05:12,6x06:11,6x07:7,6x08:15"
