word,exclusion_category
aaaah,INTERJECTION
aaah,INTERJECTION
aah,INTERJECTION
abe,CHARACTER_NAME
agai,PARSE_ERROR
agh,INTERJECTION
aha,INTERJECTION
ahh,INTERJECTION
ahhh,INTERJECTION
ai,PARSE_ERROR
ajuicy,PARSE_ERROR
al,PARSE_ERROR
aloha,FOREIGN
amanda,CHARACTER_NAME
american,PROPER_NOUN
americano,PROPER_NOUN
amigo,FOREIGN
ana,CHARACTER_NAME
andele,CHARACTER_NAME
andrew,CHARACTER_NAME
angela,CHARACTER_NAME
arab,PROPER_NOUN
argo,PROPER_NOUN
armenian,PROPER_NOUN
asexuaaaaaaaaal,GIBBERISH
asian,PROPER_NOUN
assholes rationalize,PARSE_ERROR
assistantly,PARSE_ERROR
atwater,CHARACTER_NAME
au,PARSE_ERROR
audie,CHARACTER_NAME
australian,PROPER_NOUN
aw,INTERJECTION
awooga,SOUND_EFFECT
aww,INTERJECTION
b'thumping,PARSE_ERROR
ba,INTERJECTION
bam,SOUND_EFFECT
bang,SOUND_EFFECT
bangability,GIBBERISH
bangable,GIBBERISH
barf,SOUND_EFFECT
bash,SOUND_EFFECT
batshit,GIBBERISH
beatrice,CHARACTER_NAME
beauti,PARSE_ERROR
beclaws,GIBBERISH
beltin,PARSE_ERROR
ben,CHARACTER_NAME
bene,FOREIGN
bert,CHARACTER_NAME
beverly,CHARACTER_NAME
biel,CHARACTER_NAME
bielist,GIBBERISH
bien,FOREIGN
bitchin,PARSE_ERROR
bitcoins,BRAND
blah,INTERJECTION
blake,CHARACTER_NAME
bleh,GIBBERISH
bloop,SOUND_EFFECT
blorp,SOUND_EFFECT
blurbin,GIBBERISH
blurp,SOUND_EFFECT
boba,FOREIGN
boooooorn,GIBBERISH
boop,SOUND_EFFECT
boreabble,GIBBERISH
boreanderful,GIBBERISH
bos,GIBBERISH
bozo,GIBBERISH
bozos,GIBBERISH
bozzo,GIBBERISH
brontosaurus,PROPER_NOUN
brooklynites,PROPER_NOUN
brrap,SOUND_EFFECT
btsix,GIBBERISH
bub,SLANG
bup,SOUND_EFFECT
bypopcornawh,GIBBERISH
cabracadabblers,GIBBERISH
caesar,PROPER_NOUN
caioalbanezi,GIBBERISH
californian,PROPER_NOUN
canadian,PROPER_NOUN
cannes,PROPER_NOUN
carolyn,CHARACTER_NAME
ch'ka,GIBBERISH
chandler,PROPER_NOUN
channing,PROPER_NOUN
chavez,PROPER_NOUN
chica,FOREIGN
choodwuck,GIBBERISH
cinderella,PROPER_NOUN
cinnabunny,SHOW_SPECIFIC
clamantis,GIBBERISH
clentists,PARSE_ERROR
com,PARSE_ERROR
commie,SLANG
convo,SLANG
cooooooooooorn,GIBBERISH
coq,FOREIGN
cordovian,PROPER_NOUN
cosmo,BRAND
cough,SOUND_EFFECT
coughin,PARSE_ERROR
courtney,CHARACTER_NAME
crap,SLANG
crapper,SLANG
crappy,SLANG
crapshoot,SLANG
cred,SLANG
cremains,PROPER_NOUN
croosh,GIBBERISH
crooshed,GIBBERISH
cuckoo,SOUND_EFFECT
cuddlywhiskers,CHARACTER_NAME
cuisne,GIBBERISH
czar,PROPER_NOUN
d'oeuvre,FOREIGN
da,SLANG
dancin,PARSE_ERROR
danny,CHARACTER_NAME
dashawn,CHARACTER_NAME
dat,SLANG
daught,PARSE_ERROR
dawg,SLANG
deets,SLANG
deffo,SLANG
dem,SLANG
demi,PROPER_NOUN
denise,CHARACTER_NAME
dente,FOREIGN
deserto,FOREIGN
dexitriathylphenolbarbatol,GIBBERISH
dey,SLANG
diaaaaane,GIBBERISH
diane,CHARACTER_NAME
dianes,CHARACTER_NAME
dierdre,CHARACTER_NAME
dieu,FOREIGN
dillon,CHARACTER_NAME
dinkity,GIBBERISH
dipshit,SLANG
dirtbag,SLANG
dirtbags,SLANG
dis,SLANG
disapp,PARSE_ERROR
dittagoo,GIBBERISH
doin,SLANG
donna,CHARACTER_NAME
doopity,GIBBERISH
doozie,GIBBERISH
doozle,GIBBERISH
doy,GIBBERISH
doys,GIBBERISH
dreamsicle,BRAND
du,PARSE_ERROR
duh,INTERJECTION
dumbass,SLANG
dumbshit,SLANG
dumbshits,SLANG
dunno,SLANG
duuuuuuumb,GIBBERISH
dy,PARSE_ERROR
ecch,SOUND_EFFECT
eesh,SOUND_EFFECT
egyptian,PROPER_NOUN
eh,INTERJECTION
ehh,INTERJECTION
ejaculate,SLANG
ellen,CHARACTER_NAME
elsewise,PARSE_ERROR
emily,CHARACTER_NAME
emmasan,CHARACTER_NAME
enfant,FOREIGN
enoughfrio,GIBBERISH
eric,CHARACTER_NAME
erica,CHARACTER_NAME
ese,FOREIGN
ethan,CHARACTER_NAME
ethiopian,PROPER_NOUN
