word,total_count,episode_count,episodes
get,2181,61,"1x01:36,1x02:23,1x03:28,1x04:33,1x05:32,1x06:35,1x07:36,2x01:41,2x02:44,2x03:50,2x04:24,2x05:34,2x06:36,2x07:35,2x08:57,2x09:28,2x10:17,2x11:37,2x12:47,2x13:29,3x01:23,3x02:23,3x03:34,3x04:32,3x05:42,3x06:36,3x07:35,3x08:38,3x09:38,3x10:33,3x11:37,3x12:51,3x13:36,4x01:12,4x03:36,4x04:44,4x05:27,4x06:17,4x07:36,4x08:20,4x09:41,4x10:28,4x11:32,4x12:34,4x13:42,5x01:30,5x02:26,5x03:51,5x04:44,5x05:45,5x06:41,5x07:57,5x08:36,5x09:26,5x10:39,5x11:45,5x12:36,5x13:55,5x14:47,5x15:42,5x16:32"
know,1909,61,"1x01:29,1x02:28,1x03:31,1x04:39,1x05:33,1x06:30,1x07:33,2x01:42,2x02:22,2x03:29,2x04:39,2x05:34,2x06:20,2x07:38,2x08:27,2x09:30,2x10:18,2x11:29,2x12:30,2x13:30,3x01:31,3x02:30,3x03:14,3x04:35,3x05:35,3x06:34,3x07:13,3x08:31,3x09:40,3x10:33,3x11:27,3x12:26,3x13:18,4x01:21,4x03:21,4x04:44,4x05:33,4x06:31,4x07:31,4x08:24,4x09:36,4x10:18,4x11:31,4x12:40,4x13:33,5x01:21,5x02:37,5x03:45,5x04:49,5x05:44,5x06:48,5x07:30,5x08:27,5x09:36,5x10:33,5x11:42,5x12:37,5x13:47,5x14:31,5x15:21,5x16:20"
right,1473,61,"1x01:27,1x02:27,1x03:11,1x04:30,1x05:20,1x06:29,1x07:21,2x01:26,2x02:12,2x03:19,2x04:39,2x05:30,2x06:34,2x07:26,2x08:41,2x09:48,2x10:12,2x11:15,2x12:18,2x13:17,3x01:16,3x02:22,3x03:13,3x04:28,3x05:17,3x06:27,3x07:16,3x08:21,3x09:32,3x10:25,3x11:30,3x12:29,3x13:23,4x01:21,4x03:23,4x04:24,4x05:20,4x06:16,4x07:25,4x08:22,4x09:24,4x10:14,4x11:24,4x12:21,4x13:20,5x01:25,5x02:16,5x03:30,5x04:19,5x05:39,5x06:19,5x07:40,5x08:20,5x09:21,5x10:30,5x11:28,5x12:28,5x13:32,5x14:29,5x15:20,5x16:22"
go,1341,61,"1x01:28,1x02:20,1x03:21,1x04:18,1x05:12,1x06:18,1x07:29,2x01:11,2x02:27,2x03:21,2x04:25,2x05:16,2x06:24,2x07:14,2x08:47,2x09:29,2x10:13,2x11:22,2x12:20,2x13:28,3x01:10,3x02:9,3x03:16,3x04:29,3x05:30,3x06:15,3x07:17,3x08:17,3x09:24,3x10:15,3x11:19,3x12:22,3x13:13,4x01:16,4x03:28,4x04:27,4x05:18,4x06:22,4x07:24,4x08:14,4x09:19,4x10:20,4x11:27,4x12:61,4x13:25,5x01:19,5x02:16,5x03:19,5x04:16,5x05:28,5x06:29,5x07:11,5x08:23,5x09:20,5x10:20,5x11:30,5x12:24,5x13:20,5x14:34,5x15:30,5x16:22"
say,880,61,"1x01:20,1x02:12,1x03:12,1x04:20,1x05:24,1x06:10,1x07:21,2x01:19,2x02:9,2x03:16,2x04:7,2x05:8,2x06:19,2x07:25,2x08:17,2x09:8,2x10:10,2x11:17,2x12:6,2x13:21,3x01:13,3x02:10,3x03:5,3x04:11,3x05:20,3x06:14,3x07:13,3x08:13,3x09:17,3x10:16,3x11:18,3x12:17,3x13:15,4x01:5,4x03:20,4x04:19,4x05:12,4x06:20,4x07:13,4x08:15,4x09:13,4x10:7,4x11:20,4x12:14,4x13:17,5x01:18,5x02:15,5x03:17,5x04:18,5x05:16,5x06:9,5x07:10,5x08:8,5x09:13,5x10:17,5x11:16,5x12:7,5x13:22,5x14:17,5x15:12,5x16:7"
think,869,61,"1x01:17,1x02:9,1x03:22,1x04:30,1x05:17,1x06:5,1x07:15,2x01:7,2x02:11,2x03:15,2x04:24,2x05:17,2x06:9,2x07:11,2x08:19,2x09:11,2x10:10,2x11:16,2x12:19,2x13:20,3x01:5,3x02:7,3x03:5,3x04:16,3x05:8,3x06:10,3x07:17,3x08:21,3x09:13,3x10:9,3x11:12,3x12:13,3x13:12,4x01:6,4x03:20,4x04:16,4x05:11,4x06:28,4x07:14,4x08:19,4x09:10,4x10:11,4x11:14,4x12:9,4x13:18,5x01:8,5x02:11,5x03:13,5x04:23,5x05:15,5x06:13,5x07:12,5x08:13,5x09:16,5x10:10,5x11:20,5x12:21,5x13:20,5x14:13,5x15:15,5x16:18"
good,838,61,"1x01:14,1x02:15,1x03:3,1x04:10,1x05:14,1x06:16,1x07:19,2x01:6,2x02:12,2x03:13,2x04:24,2x05:12,2x06:22,2x07:12,2x08:15,2x09:17,2x10:21,2x11:7,2x12:13,2x13:16,3x01:19,3x02:10,3x03:15,3x04:15,3x05:13,3x06:9,3x07:12,3x08:15,3x09:19,3x10:5,3x11:6,3x12:12,3x13:26,4x01:14,4x03:19,4x04:11,4x05:12,4x06:9,4x07:19,4x08:12,4x09:11,4x10:13,4x11:6,4x12:6,4x13:8,5x01:8,5x02:17,5x03:22,5x04:15,5x05:21,5x06:13,5x07:15,5x08:14,5x09:22,5x10:6,5x11:15,5x12:19,5x13:19,5x14:6,5x15:21,5x16:8"
want,713,60,"1x01:17,1x03:5,1x04:15,1x05:14,1x06:15,1x07:7,2x01:9,2x02:12,2x03:4,2x04:11,2x05:11,2x06:13,2x07:12,2x08:20,2x09:3,2x10:16,2x11:9,2x12:14,2x13:10,3x01:2,3x02:11,3x03:13,3x04:24,3x05:10,3x06:6,3x07:18,3x08:4,3x09:15,3x10:3,3x11:9,3x12:10,3x13:10,4x01:12,4x03:14,4x04:20,4x05:11,4x06:21,4x07:12,4x08:5,4x09:18,4x10:9,4x11:19,4x12:6,4x13:13,5x01:11,5x02:12,5x03:8,5x04:13,5x05:19,5x06:15,5x07:21,5x08:18,5x09:4,5x10:8,5x11:15,5x12:9,5x13:15,5x14:7,5x15:11,5x16:15"
come,688,61,"1x01:13,1x02:8,1x03:10,1x04:10,1x05:9,1x06:8,1x07:18,2x01:11,2x02:12,2x03:10,2x04:8,2x05:13,2x06:10,2x07:10,2x08:18,2x09:21,2x10:6,2x11:9,2x12:13,2x13:10,3x01:8,3x02:10,3x03:12,3x04:14,3x05:10,3x06:7,3x07:8,3x08:14,3x09:11,3x10:14,3x11:14,3x12:10,3x13:9,4x01:9,4x03:8,4x04:10,4x05:6,4x06:3,4x07:8,4x08:10,4x09:6,4x10:12,4x11:13,4x12:19,4x13:12,5x01:9,5x02:23,5x03:17,5x04:12,5x05:13,5x06:13,5x07:12,5x08:7,5x09:12,5x10:11,5x11:5,5x12:18,5x13:17,5x14:10,5x15:11,5x16:14"
well,681,61,"1x01:15,1x02:7,1x03:6,1x04:9,1x05:15,1x06:13,1x07:17,2x01:9,2x02:8,2x03:5,2x04:6,2x05:16,2x06:6,2x07:14,2x08:9,2x09:13,2x10:7,2x11:3,2x12:14,2x13:5,3x01:9,3x02:15,3x03:6,3x04:12,3x05:7,3x06:13,3x07:6,3x08:19,3x09:17,3x10:9,3x11:12,3x12:11,3x13:14,4x01:5,4x03:22,4x04:7,4x05:10,4x06:5,4x07:17,4x08:18,4x09:10,4x10:10,4x11:18,4x12:6,4x13:11,5x01:8,5x02:18,5x03:8,5x04:14,5x05:16,5x06:17,5x07:11,5x08:8,5x09:23,5x10:6,5x11:10,5x12:8,5x13:14,5x14:14,5x15:11,5x16:9"
