word,total_count
methylamine,57
cartel,37
fring,21
jesse,19
ricin,18
skyler,15
pseudo,14
schrader,12
tio,10
remission,9
teenth,9
chemo,8
fugue,7
handcuff,7
contamination,6
emilio,6
lockup,6
saul,6
boonies,5
contaminant,5
dea,5
debris,5
fradei,5
junky,5
minga,5
respirator,5
superlab,5
usted,5
yawp,5
benefactor,4
casing,4
chemotherapy,4
chiral,4
debrief,4
domicile,4
inoperable,4
moronic,4
neighbourhood,4
phenylacetic,4
programme,4
tanker,4
tortoise,4
tumour,4
upshot,4
volumetric,4
aqueous,3
ayuda,3
bankroll,3
belize,3
biatch,3
breakage,3
checkbook,3
chemically,3
cockroach,3
condenser,3
eep,3
elliott,3
federales,3
homeowner,3
ionic,3
kingpin,3
labour,3
litre,3
lobectomy,3
marginally,3
moll,3
occupational,3
omelette,3
overstate,3
pneumonitis,3
podemos,3
rv,3
scante,3
schoolteacher,3
slinging,3
spillage,3
stakeout,3
tak,3
tomas,3
tuco,3
turtei,3
unhappiness,3
ventilation,3
wazoo,3
yada,3
aahh,2
adenocarcinoma,2
adulterant,2
agitation,2
amalgam,2
ameliorate,2
amenable,2
andrea,2
anode,2
authorise,2
backflips,2
bags,2
beaner,2
beaucoup,2
behoove,2
bergamot,2
blackjack,2
bounder,2
braniac,2
camper,2
casita,2
che,2
chilean,2
chirality,2
chopper,2
clandestine,2
collateral,2
complaing,2
coochie,2
counsellor,2
crapper,2
crystallography,2
decontaminate,2
delores,2
denomination,2
dinero,2
dinging,2
doings,2
drab,2
druggie,2
encumber,2
equate,2
estranged,2
feasible,2
financing,2
fixer,2
foresee,2
freebie,2
fricking,2
frigging,2
fruitful,2
glide,2
goon,2
gunman,2
halo,2
halon,2
hearsay,2
homey,2
hoping,2
hydrofluoric,2
hydroxide,2
ident,2
illustrator,2
immigrate,2
interdiction,2
interval,2
isomer,2
kleptomaniac,2
lark,2
layering,2
lightweight,2
limpio,2
lymph,2
mak,2
manhunt,2
modicum,2
mofo,2
muchas,2
muh,2
negotiable,2
notwithstanding,2
oboe,2
obscenity,2
opossum,2
organisation,2
parte,2
pearlescent,2
peekaboo,2
peppery,2
phenyl,2
phenylacetone,2
piccolo,2
pinkman,2
pointed,2
poopie,2
powwow,2
problema,2
profusely,2
propane,2
prosecute,2
prosecution,2
residency,2
ricer,2
ricine,2
rico,2
roger,2
salesmanship,2
samaritan,2
scabby,2
seventeen,2
shitless,2
shittiest,2
shoddy,2
shoplifting,2
signage,2
skimp,2
sparse,2
stabilize,2
stealing,2
storeroom,2
stucco,2
substandard,2
swatter,2
synchrotron,2
teener,2
toke,2
tomography,2
toothpick,2
tro,2
tulaberry,2
tyno,2
unlawful,2
untenable,2
upstanding,2
vacate,2
vestige,2
victimless,2
voy,2
welding,2
wised,2
yadda,2
zdorovje,2
aaahhh,1
abduction,1
abductor,1
accumulated,1
acetone,1
acknowledges,1
actionable,1
adam,1
adamant,1
adottar,1
advertisement,1
agreeable,1
aimless,1
airlift,1
airliner,1
airman,1
alkaline,1
allegedly,1
almonds,1
altimeter,1
amigas,1
amination,1
amped,1
amperage,1
andorian,1
anesthetise,1
aniline,1
annually,1
antiemetic,1
antithesis,1
antitussive,1
antonio,1
appointement,1
appreciates,1
apprised,1
aprotic,1
archy,1
armrest,1
arrested,1
arresting,1
assailant,1
asshead,1
asswad,1
astronomical,1
asystole,1
attentive,1
auditor,1
auf,1
autotransformer,1
avvilito,1
ayon,1
backfiring,1
backroom,1
backslide,1
balder,1
bandy,1
barking,1
barnyard,1
beau,1
beaut,1
bedpan,1
begorrah,1
benjies,1
beryl,1
betterment,1
bewilder,1
bianchi,1
bib,1
bigtime,1
bilaterally,1
billable,1
billionth,1
blacktop,1
blattodea,1
blaze,1
blowback,1
blowfishing,1
blueberries,1
bodes,1
bombshell,1
boning,1
bonnie,1
booking,1
bookmobile,1
borage,1
bottleneck,1
bowie,1
bozos,1
brachial,1
brawn,1
brewing,1
bricklaying,1
bruising,1
brunt,1
bulgarian,1
bullethead,1
bullshitter,1
bupkis,1
busting,1
buzzing,1
bwaaa,1
byproduct,1
cadere,1
cakewalk,1
calamity,1
calma,1
cankenstein,1
cantar,1
canzon,1
capelli,1
capo,1
carat,1
carelessness,1
carpe,1
carrottop,1
castor,1
catalytic,1
cefazolin,1
cellblock,1
centre,1
chad,1
chalkboard,1
chancy,1
cheerful,1
chequebook,1
chicky,1
chiclets,1
chilli,1
chink,1
chiropractor,1
chloride,1
chocolatey,1
chrissakes,1
chromatograph,1
chuntaros,1
churros,1
cinnabon,1
ciocche,1
clockwork,1
clovis,1
clunker,1
cofounder,1
cojones,1
cole,1
collecting,1
colores,1
comens,1
commando,1
commutator,1
complicating,1
compost,1
compressor,1
compromised,1
compute,1
computed,1
condensed,1
conmigo,1
considers,1
consignment,1
containing,1
contar,1
contradicts,1
contusion,1
cookout,1
copacetic,1
copying,1
cornflower,1
correlate,1
corrugator,1
cosa,1
costco,1
counselling,1
counteroffer,1
covalence,1
covalent,1
coverall,1
coz,1
craigslist,1
crazed,1
cretin,1
criminality,1
cruiser,1
cruising,1
crustacean,1
culo,1
culpable,1
curable,1
cured,1
curlies,1
custer,1
customarily,1
deader,1
dealie,1
decor,1
deduction,1
deficit,1
dehumidifiers,1
delayed,1
deluso,1
demo,1
dependable,1
derives,1
descale,1
dese,1
despises,1
destroys,1
diagnostic,1
dialysis,1
diaphoretic,1
dickish,1
diddle,1
dilution,1
dimly,1
dingus,1
diolefins,1
dirtbags,1
dirtballs,1
disappearer,1
disappears,1
disassociate,1
disbarment,1
discharged,1
discourse,1
disincorporation,1
disorient,1
disperare,1
dissimilar,1
dissolution,1
distillate,1
distillation,1
diversification,1
dobkins,1
doff,1
doob,1
doorjamb,1
doorway,1
dos,1
dreck,1
drib,1
drivable,1
dunce,1
dune,1
duress,1
economically,1
educating,1
efficacy,1
ejector,1
electrician,1
electrolytically,1
elliot,1
embarrassingly,1
emission,1
enact,1
enantiomerically,1
encyclopedia,1
endangerment,1
endear,1
endocarditis,1
endorsement,1
enrique,1
entitles,1
ephedrine,1
epileptic,1
epoxied,1
esman,1
esquire,1
estimation,1
etewa,1
evasion,1
evasive,1
evoke,1
ewelry,1
experiential,1
explicitly,1
exterminator,1
extradite,1
eyeshade,1
facilitating,1
fairground,1
farley,1
fastback,1
fastidiousness,1
fateful,1
fav,1
federale,1
feliz,1
felonious,1
fender,1
fide,1
fisted,1
fixable,1
flames,1
flatbed,1
flaxseed,1
fleeting,1
