word,shows,show_count
abandon,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
ability,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
able,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
absolutely,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
abuse,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
accept,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
access,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
accident,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
accidentally,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
accomplish,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
accord,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
account,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
accuse,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
achieve,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
acknowledge,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
act,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
action,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
active,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
actual,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
actually,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
add,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
addition,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
address,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
adjust,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
admit,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
adult,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
advance,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
advantage,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
adventure,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
advice,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
afford,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
afraid,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
afternoon,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
age,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
ago,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
agree,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
agreement,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
ahead,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
air,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
alarm,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
alive,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
alley,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
allow,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
almost,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
alone,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
along,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
already,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
also,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
alternative,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
always,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
amaze,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
amazing,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
amount,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
