word,total,big_bang_theory,breaking_bad,game_of_thrones,office,south_park
get,14370,5012,2181,1017,4146,2014
know,14043,4944,1909,1723,4206,1261
go,12862,4800,1341,1325,4099,1297
right,8535,2650,1473,620,2875,917
think,8513,3195,869,861,2737,851
want,7985,2971,713,1360,2164,777
well,7771,3645,681,673,2107,665
say,7483,2941,880,844,2063,755
good,6602,2191,838,940,2170,463
come,5803,1738,688,1037,1648,692
make,5792,2280,513,816,1514,669
would,5691,2096,521,1023,1700,351
see,5357,1927,552,892,1375,611
take,4915,1610,567,909,1292,537
really,4825,1892,420,151,1831,531
tell,4814,1654,678,870,1231,381
time,4490,1577,446,659,1258,550
let,4465,1589,432,496,1442,506
look,4356,1619,553,475,1257,452
need,4293,1252,523,724,1222,572
thing,4035,1319,488,505,1238,485
could,3951,1520,408,622,1087,314
guy,3746,1305,439,5,1355,642
mean,3623,1328,674,282,1023,316
back,3527,1054,420,603,1066,384
talk,3423,1288,513,241,1005,376
work,3191,1250,352,182,1072,335
little,3161,1255,274,403,858,371
give,3097,1029,380,616,814,258
people,3072,810,146,464,926,726
man,2934,619,476,864,809,166
way,2843,869,363,477,826,308
call,2834,880,417,244,1017,276
something,2576,942,352,236,761,285
never,2530,850,186,724,604,166
day,2436,627,257,431,819,302
try,2427,936,225,252,600,414
love,2359,862,92,396,797,212
like,2270,881,164,303,759,163
sure,2263,966,267,211,571,248
great,2192,789,112,271,832,188
maybe,2176,888,322,152,607,207
sorry,2109,864,222,161,636,226
okay,2088,693,327,1,821,246
find,2085,706,220,431,460,268
even,2052,740,262,247,536,267
much,2005,699,246,300,602,158
start,2003,1011,154,161,426,251
leave,1941,544,272,445,513,167
year,1881,778,123,277,575,128
put,1871,686,227,201,561,196
friend,1862,889,62,281,471,159
help,1837,661,211,312,392,261
feel,1830,823,159,125,544,179
hear,1822,573,212,373,485,179
big,1789,745,200,111,545,188
use,1780,708,162,192,491,227
ask,1771,725,187,292,436,131
happen,1726,601,243,239,435,208
still,1711,691,189,285,394,152
keep,1680,509,275,308,409,179
ever,1658,499,142,384,481,152
night,1646,815,116,235,340,140
first,1639,650,134,272,446,137
name,1570,404,191,429,419,127
stop,1545,495,149,216,474,211
anything,1539,517,197,174,456,195
kind,1536,633,171,122,453,157
lot,1524,515,129,130,566,184
last,1513,490,169,318,406,130
life,1497,541,91,336,379,150
wait,1478,688,141,171,370,108
bad,1470,567,131,163,435,174
girl,1460,543,36,449,244,188
nothing,1428,429,214,302,338,145
actually,1423,560,130,30,546,157
new,1412,520,128,161,453,150
please,1408,408,180,173,477,170
woman,1401,629,26,301,303,142
long,1379,419,142,392,318,108
kid,1375,455,205,2,388,325
believe,1372,574,114,266,253,165
kill,1365,176,187,702,146,154
home,1347,468,169,259,305,146
one,1340,451,131,385,284,89
everyone,1297,254,41,145,445,412
always,1293,462,112,321,302,96
bring,1218,379,134,326,279,100
might,1215,515,112,166,300,122
someone,1213,481,94,181,316,141
nice,1204,560,98,58,393,95
play,1187,590,57,87,327,126
place,1180,355,141,202,339,143
everything,1166,307,160,148,327,224
show,1164,461,100,108,313,182
meet,1125,488,79,166,314,78
thanks,1123,441,130,32,421,99
fine,1112,450,147,87,334,94
best,1082,370,103,135,361,113
money,1071,334,310,70,242,115
baby,1062,394,91,98,333,146
fun,1057,585,19,10,355,88
wrong,1056,434,99,134,244,145
care,1048,367,104,129,272,176
turn,1042,420,117,127,274,104
understand,1036,350,154,157,222,153
live,1028,421,81,227,161,138
move,1025,452,112,105,258,98
today,1021,217,90,94,499,121
sound,1019,469,91,64,321,74
idea,1018,355,93,58,417,95
pretty,1016,449,92,81,293,101
job,1013,240,97,41,487,148
father,1011,172,31,715,58,35
watch,1010,413,77,200,236,84
hey,1007,233,127,24,449,174
enough,1005,308,138,258,202,99
guess,1005,442,133,23,299,108
head,1005,271,135,232,275,92
course,1004,474,72,199,186,73
old,1002,274,89,252,295,92
whole,1000,457,127,68,250,98
men,984,106,40,729,84,25
die,974,187,50,487,163,87
together,965,386,63,136,267,113
mother,959,469,47,328,73,42
hold,954,320,96,212,251,75
away,947,297,85,205,266,94
happy,946,435,56,122,253,80
many,935,206,57,367,225,80
boy,934,209,67,462,90,106
run,931,296,144,134,242,115
else,924,276,118,149,259,122
next,916,378,124,71,286,57
hand,914,267,98,198,268,83
question,912,410,68,85,286,63
break,898,357,103,81,243,114
sit,880,327,83,124,259,87
listen,877,272,140,100,223,142
word,872,283,109,226,198,56
fight,870,140,22,576,88,44
real,863,249,98,89,317,110
family,859,149,173,257,183,97
stay,859,316,97,177,207,62
room,851,366,52,69,296,68
problem,849,353,99,38,226,133
point,841,399,85,52,247,58
party,840,331,33,14,419,43
remember,840,272,111,198,196,63
child,839,181,51,350,112,145
world,836,214,52,283,161,126
office,834,122,47,1,632,32
brother,828,138,30,561,79,20
eat,823,373,55,90,231,74
end,823,243,84,190,233,73
face,819,257,62,150,221,129
house,809,214,183,139,135,138
mind,803,356,90,101,194,62
minute,803,297,125,14,269,98
lady,797,163,29,418,145,42
stuff,796,260,112,8,261,155
hard,795,287,66,108,218,116
may,793,347,85,175,168,18
change,791,314,103,60,189,125
son,791,102,105,411,74,99
dead,789,117,94,380,114,84
lose,785,209,59,192,229,96
suppose,785,301,92,131,179,82
thank,784,284,81,71,304,44
buy,783,317,102,66,246,52
everybody,777,153,51,21,460,92
must,771,215,44,303,138,71
second,763,232,81,62,319,69
matter,761,261,79,176,134,111
part,758,319,64,84,227,64
saw,756,199,64,264,159,70
build,752,576,19,96,39,22
date,751,470,11,1,257,12
seem,747,249,66,122,214,96
school,744,180,64,1,139,360
anyone,740,200,54,150,216,120
game,739,332,30,85,221,71
hot,738,433,25,16,219,45
already,737,241,95,121,217,63
business,734,97,168,27,356,86
also,732,339,31,35,257,70
send,724,170,51,232,200,71
pay,715,156,153,161,172,73
wan,706,29,162,1,351,163
week,705,200,127,45,249,84
probably,701,269,80,42,252,58
check,697,251,118,12,259,57
hour,696,266,92,43,246,49
hell,695,159,222,35,125,154
deal,689,199,122,56,192,120
open,678,280,59,111,149,79
true,677,226,27,193,167,64
begin,673,529,18,66,42,18
paper,672,187,29,10,412,34
walk,668,225,74,115,208,46
king,665,25,8,602,29,1
person,656,209,63,84,223,77
morning,646,254,71,59,201,61
plan,640,215,73,100,191,61
mom,630,290,44,9,161,126
ready,629,236,73,85,170,65
pick,626,318,76,29,181,22
stand,626,188,41,186,134,77
miss,622,250,56,62,194,60
drive,618,272,86,16,201,43
ta,617,53,181,3,230,150
speak,613,169,65,225,93,61
stupid,600,186,42,68,194,110
yeah,597,164,59,9,303,62
exactly,592,212,109,38,186,47
tonight,591,262,29,59,201,40
order,590,177,44,144,149,76
worry,588,262,69,64,120,73
wear,586,264,29,55,158,80
forget,585,198,54,103,181,49
sleep,585,308,40,86,117,34
close,579,185,62,92,203,37
funny,579,220,12,29,208,110
fire,575,97,32,140,275,31
marry,568,284,11,168,100,5
sell,568,107,123,62,203,73
company,564,82,32,40,364,46
drink,562,211,28,143,147,33
yet,559,187,65,106,158,43
eye,558,187,71,148,127,25
um,558,207,65,11,237,38
wife,557,155,59,138,137,68
god,553,48,8,246,229,22
write,551,205,44,42,197,63
number,549,195,63,29,222,40
correct,548,435,14,38,43,18
hope,546,197,42,102,135,70
spend,545,282,45,64,129,25
set,542,199,54,93,139,57
bit,539,125,25,130,200,59
book,539,324,28,51,103,33
reason,537,215,61,83,133,45
read,532,247,21,66,162,36
learn,530,148,33,133,165,51
hit,523,164,85,58,178,38
lie,522,168,50,158,117,29
food,519,237,29,70,141,42
throw,514,233,31,67,156,27
wish,509,145,45,116,175,28
month,504,159,84,26,191,44
story,502,176,82,87,123,34
different,491,190,33,66,148,54
side,490,168,47,118,115,42
answer,488,220,54,67,106,41
important,488,155,37,64,181,51
heart,487,159,20,119,128,61
crazy,485,232,27,5,181,40
figure,484,214,84,16,128,42
anyway,481,220,97,47,92,25
cut,481,161,55,110,116,39
joke,481,191,18,61,168,43
door,480,192,78,77,106,27
high,474,159,72,78,143,22
couple,472,194,82,7,158,31
hang,472,240,43,37,111,41
sister,468,153,15,258,37,5
ago,467,164,47,78,122,56
line,463,158,47,60,143,55
win,461,168,16,114,120,43
alone,458,168,38,111,80,61
mine,451,120,44,128,105,54
huh,450,114,131,9,130,66
relationship,448,311,4,6,110,17
promise,445,121,45,171,82,26
sometimes,443,143,24,59,164,53
welcome,443,157,34,49,158,45
anymore,442,102,47,77,120,96
free,437,125,40,154,90,28
nobody,437,66,47,15,181,128
save,437,87,38,138,133,41
far,435,100,60,145,99,31
hate,431,141,26,57,154,53
hurt,430,147,37,109,91,46
queen,429,22,1,384,20,2
uh,429,178,90,10,109,42
chance,427,150,55,83,98,41
easy,427,145,60,67,125,30
least,426,143,84,59,103,37
later,425,129,55,37,179,25
dog,424,175,20,45,145,39
rest,420,123,53,120,82,42
late,417,184,47,45,114,27
tomorrow,416,163,46,52,111,44
somebody,413,80,58,9,197,69
news,411,173,69,23,96,50
state,408,293,36,9,43,27
bitch,405,65,104,46,59,131
damn,405,67,77,38,125,98
dinner,401,264,37,10,81,9
war,399,25,4,304,31,35
grow,398,145,24,102,71,56
soon,395,77,53,124,83,58
sign,388,159,32,14,141,42
decide,387,153,20,53,121,40
fact,387,189,42,19,108,29
sale,385,58,15,1,297,14
city,384,32,13,244,49,46
trust,384,62,43,186,61,32
wonder,384,168,36,56,89,35
water,383,130,45,64,83,61
beautiful,381,143,25,91,106,16
team,381,177,15,4,138,47
seriously,378,117,89,4,120,48
meeting,377,72,30,37,223,15
enjoy,373,174,13,58,86,42
rule,373,116,17,120,89,31
bear,372,70,9,129,93,71
moment,372,154,37,83,76,22
safe,371,69,65,138,51,48
dad,366,154,53,2,73,84
picture,365,166,26,10,123,40
smart,365,200,20,34,70,41
young,365,105,17,117,75,51
small,364,119,24,94,109,18
store,363,224,14,11,88,26
offer,361,106,46,80,105,24
truth,358,76,31,123,73,55
burn,357,59,27,171,77,23
space,353,256,21,1,64,11
bed,351,181,28,71,58,13
catch,348,123,62,33,99,31
choice,348,132,35,80,76,25
foot,347,104,32,70,119,22
front,347,147,44,34,100,22
become,346,112,21,86,83,44
body,346,131,23,73,82,37
gift,346,132,9,73,120,12
murder,345,32,37,205,36,35
return,344,87,24,161,56,16
agree,343,135,31,39,92,46
birthday,343,164,51,2,106,20
case,339,125,62,17,102,33
hair,338,145,26,70,85,12
