word,total_count,episode_count,episodes
get,4250,96,"1x01:39,1x02:35,1x03:51,1x04:38,1x05:54,1x06:52,1x07:69,1x08:48,1x09:34,1x10:48,1x11:64,1x12:36,2x01:42,2x02:42,2x03:34,2x04:49,2x05:50,2x06:59,2x07:34,2x08:33,2x09:45,2x10:41,2x11:43,2x12:37,3x01:51,3x02:65,3x03:50,3x04:50,3x05:48,3x06:74,3x07:68,3x08:49,3x09:57,3x10:67,3x11:44,3x12:42,4x01:39,4x02:61,4x03:41,4x04:23,4x05:43,4x06:58,4x07:48,4x08:47,4x09:51,4x10:44,4x11:30,4x12:34,5x01:32,5x02:54,5x03:49,5x04:36,5x05:40,5x06:44,5x07:49,5x08:26,5x09:60,5x10:42,5x11:42,5x12:26,6x01:46,6x02:40,6x03:46,6x04:47,6x05:58,6x06:48,6x07:34,6x08:51,6x09:34,6x10:42,6x11:41,6x12:22,7x01:47,7x02:39,7x03:56,7x04:40,7x05:44,7x06:47,7x07:49,7x08:41,7x09:39,7x10:69,7x11:31,7x12:37,8x01:46,8x02:33,8x03:40,8x04:3,8x05:43,8x06:55,8x07:38,8x08:24,8x09:38,8x10:40,8x11:39,8x12:42"
know,3576,96,"1x01:22,1x02:16,1x03:35,1x04:23,1x05:32,1x06:27,1x07:33,1x08:36,1x09:53,1x10:49,1x11:50,1x12:57,2x01:18,2x02:18,2x03:41,2x04:41,2x05:30,2x06:27,2x07:29,2x08:32,2x09:34,2x10:42,2x11:29,2x12:23,3x01:37,3x02:42,3x03:48,3x04:51,3x05:46,3x06:34,3x07:41,3x08:52,3x09:48,3x10:45,3x11:38,3x12:44,4x01:30,4x02:17,4x03:36,4x04:24,4x05:24,4x06:34,4x07:28,4x08:30,4x09:38,4x10:39,4x11:34,4x12:32,5x01:53,5x02:40,5x03:36,5x04:40,5x05:31,5x06:32,5x07:36,5x08:31,5x09:46,5x10:52,5x11:44,5x12:41,6x01:41,6x02:43,6x03:40,6x04:37,6x05:30,6x06:27,6x07:33,6x08:38,6x09:30,6x10:30,6x11:35,6x12:16,7x01:34,7x02:41,7x03:41,7x04:29,7x05:37,7x06:36,7x07:52,7x08:53,7x09:46,7x10:40,7x11:56,7x12:42,8x01:38,8x02:47,8x03:34,8x04:1,8x05:40,8x06:53,8x07:42,8x08:45,8x09:59,8x10:63,8x11:40,8x12:36"
go,2505,95,"1x01:9,1x02:18,1x03:20,1x04:20,1x05:17,1x06:23,1x07:21,1x08:22,1x09:28,1x10:38,1x11:31,1x12:21,2x01:12,2x02:12,2x03:17,2x04:24,2x05:28,2x06:22,2x07:28,2x08:21,2x09:20,2x10:25,2x11:21,2x12:21,3x01:23,3x02:15,3x03:36,3x04:25,3x05:32,3x06:23,3x07:26,3x08:33,3x09:21,3x10:28,3x11:21,3x12:26,4x01:28,4x02:26,4x03:29,4x04:22,4x05:33,4x06:20,4x07:26,4x08:23,4x09:26,4x10:28,4x11:16,4x12:16,5x01:17,5x02:35,5x03:13,5x04:34,5x05:23,5x06:31,5x07:24,5x08:26,5x09:35,5x10:29,5x11:27,5x12:22,6x01:30,6x02:28,6x03:25,6x04:32,6x05:25,6x06:37,6x07:38,6x08:54,6x09:15,6x10:31,6x11:32,6x12:28,7x01:20,7x02:25,7x03:27,7x04:32,7x05:18,7x06:21,7x07:29,7x08:40,7x09:22,7x10:62,7x11:19,7x12:32,8x01:33,8x02:25,8x03:18,8x05:29,8x06:41,8x07:27,8x08:31,8x09:44,8x10:30,8x11:27,8x12:41"
think,2012,95,"1x01:19,1x02:19,1x03:16,1x04:23,1x05:18,1x06:16,1x07:24,1x08:22,1x09:24,1x10:17,1x11:26,1x12:16,2x01:11,2x02:11,2x03:18,2x04:25,2x05:15,2x06:35,2x07:17,2x08:18,2x09:18,2x10:31,2x11:19,2x12:18,3x01:13,3x02:18,3x03:19,3x04:19,3x05:24,3x06:19,3x07:19,3x08:19,3x09:24,3x10:24,3x11:23,3x12:15,4x01:11,4x02:15,4x03:24,4x04:14,4x05:16,4x06:21,4x07:17,4x08:13,4x09:14,4x10:20,4x11:16,4x12:15,5x01:15,5x02:23,5x03:18,5x04:20,5x05:13,5x06:16,5x07:15,5x08:13,5x09:36,5x10:24,5x11:18,5x12:24,6x01:23,6x02:19,6x03:20,6x04:36,6x05:14,6x06:17,6x07:16,6x08:29,6x09:16,6x10:24,6x11:14,6x12:25,7x01:21,7x02:30,7x03:31,7x04:9,7x05:28,7x06:37,7x07:27,7x08:25,7x09:28,7x10:30,7x11:34,7x12:21,8x01:20,8x02:21,8x03:17,8x05:22,8x06:28,8x07:36,8x08:28,8x09:46,8x10:31,8x11:23,8x12:23"
want,1902,95,"1x01:15,1x02:15,1x03:20,1x04:37,1x05:25,1x06:24,1x07:18,1x08:27,1x09:28,1x10:28,1x11:23,1x12:21,2x01:10,2x02:10,2x03:20,2x04:15,2x05:17,2x06:16,2x07:22,2x08:10,2x09:25,2x10:17,2x11:16,2x12:14,3x01:10,3x02:10,3x03:18,3x04:23,3x05:23,3x06:6,3x07:20,3x08:20,3x09:8,3x10:22,3x11:14,3x12:15,4x01:23,4x02:22,4x03:22,4x04:21,4x05:8,4x06:24,4x07:10,4x08:13,4x09:22,4x10:14,4x11:18,4x12:17,5x01:23,5x02:30,5x03:30,5x04:15,5x05:23,5x06:17,5x07:16,5x08:27,5x09:29,5x10:25,5x11:24,5x12:13,6x01:12,6x02:33,6x03:25,6x04:27,6x05:18,6x06:11,6x07:24,6x08:29,6x09:26,6x10:7,6x11:12,6x12:14,7x01:17,7x02:19,7x03:11,7x04:26,7x05:15,7x06:24,7x07:22,7x08:40,7x09:20,7x10:26,7x11:20,7x12:13,8x01:18,8x02:22,8x03:18,8x05:12,8x06:26,8x07:37,8x08:20,8x09:20,8x10:41,8x11:29,8x12:20"
right,1718,95,"1x01:18,1x02:22,1x03:17,1x04:29,1x05:10,1x06:15,1x07:30,1x08:25,1x09:30,1x10:26,1x11:36,1x12:20,2x01:13,2x02:13,2x03:23,2x04:9,2x05:14,2x06:14,2x07:13,2x08:8,2x09:19,2x10:18,2x11:21,2x12:18,3x01:14,3x02:33,3x03:22,3x04:31,3x05:19,3x06:22,3x07:28,3x08:21,3x09:26,3x10:25,3x11:13,3x12:16,4x01:19,4x02:13,4x03:16,4x04:19,4x05:19,4x06:17,4x07:19,4x08:22,4x09:18,4x10:12,4x11:13,4x12:19,5x01:15,5x02:13,5x03:10,5x04:8,5x05:11,5x06:15,5x07:11,5x08:16,5x09:16,5x10:13,5x11:9,5x12:19,6x01:17,6x02:20,6x03:22,6x04:17,6x05:25,6x06:12,6x07:10,6x08:23,6x09:15,6x10:15,6x11:25,6x12:14,7x01:11,7x02:20,7x03:13,7x04:17,7x05:14,7x06:22,7x07:16,7x08:8,7x09:11,7x10:24,7x11:8,7x12:19,8x01:23,8x02:25,8x03:27,8x05:18,8x06:18,8x07:18,8x08:16,8x09:28,8x10:12,8x11:21,8x12:21"
need,1418,96,"1x01:13,1x02:6,1x03:12,1x04:16,1x05:7,1x06:10,1x07:15,1x08:21,1x09:15,1x10:12,1x11:36,1x12:14,2x01:14,2x02:14,2x03:24,2x04:14,2x05:20,2x06:32,2x07:10,2x08:11,2x09:25,2x10:17,2x11:21,2x12:18,3x01:13,3x02:11,3x03:12,3x04:20,3x05:17,3x06:16,3x07:13,3x08:13,3x09:17,3x10:12,3x11:20,3x12:15,4x01:13,4x02:23,4x03:16,4x04:5,4x05:22,4x06:20,4x07:21,4x08:21,4x09:12,4x10:18,4x11:8,4x12:9,5x01:23,5x02:12,5x03:7,5x04:17,5x05:21,5x06:6,5x07:14,5x08:5,5x09:15,5x10:15,5x11:13,5x12:15,6x01:18,6x02:14,6x03:11,6x04:11,6x05:8,6x06:10,6x07:12,6x08:12,6x09:6,6x10:13,6x11:17,6x12:13,7x01:8,7x02:13,7x03:15,7x04:9,7x05:10,7x06:17,7x07:20,7x08:11,7x09:22,7x10:12,7x11:10,7x12:22,8x01:14,8x02:7,8x03:17,8x04:1,8x05:17,8x06:13,8x07:18,8x08:8,8x09:21,8x10:27,8x11:16,8x12:18"
take,1402,95,"1x01:8,1x02:13,1x03:14,1x04:17,1x05:9,1x06:15,1x07:16,1x08:18,1x09:12,1x10:13,1x11:14,1x12:21,2x01:11,2x02:11,2x03:20,2x04:13,2x05:15,2x06:22,2x07:13,2x08:12,2x09:5,2x10:9,2x11:18,2x12:8,3x01:13,3x02:12,3x03:10,3x04:15,3x05:20,3x06:16,3x07:16,3x08:8,3x09:9,3x10:16,3x11:8,3x12:12,4x01:14,4x02:17,4x03:16,4x04:11,4x05:10,4x06:14,4x07:12,4x08:12,4x09:14,4x10:17,4x11:9,4x12:14,5x01:9,5x02:13,5x03:20,5x04:15,5x05:16,5x06:14,5x07:18,5x08:32,5x09:20,5x10:18,5x11:17,5x12:11,6x01:8,6x02:16,6x03:26,6x04:16,6x05:9,6x06:10,6x07:22,6x08:23,6x09:17,6x10:10,6x11:12,6x12:13,7x01:10,7x02:11,7x03:21,7x04:19,7x05:15,7x06:22,7x07:19,7x08:20,7x09:23,7x10:21,7x11:15,7x12:13,8x01:12,8x02:19,8x03:9,8x05:15,8x06:23,8x07:13,8x08:15,8x09:16,8x10:10,8x11:18,8x12:16"
good,1393,95,"1x01:22,1x02:24,1x03:11,1x04:12,1x05:16,1x06:14,1x07:12,1x08:12,1x09:15,1x10:11,1x11:16,1x12:13,2x01:13,2x02:13,2x03:18,2x04:21,2x05:12,2x06:14,2x07:12,2x08:8,2x09:8,2x10:19,2x11:12,2x12:18,3x01:17,3x02:9,3x03:28,3x04:27,3x05:13,3x06:15,3x07:23,3x08:16,3x09:15,3x10:15,3x11:12,3x12:11,4x01:19,4x02:22,4x03:21,4x04:11,4x05:14,4x06:7,4x07:12,4x08:23,4x09:16,4x10:12,4x11:11,4x12:13,5x01:17,5x02:20,5x03:17,5x04:16,5x05:16,5x06:11,5x07:6,5x08:13,5x09:12,5x10:2,5x11:9,5x12:8,6x01:19,6x02:31,6x03:16,6x04:16,6x05:16,6x06:18,6x07:13,6x08:16,6x09:16,6x10:7,6x11:11,6x12:9,7x01:20,7x02:15,7x03:10,7x04:16,7x05:10,7x06:14,7x07:20,7x08:13,7x09:9,7x10:17,7x11:12,7x12:9,8x01:16,8x02:14,8x03:16,8x05:16,8x06:13,8x07:20,8x08:12,8x09:16,8x10:17,8x11:11,8x12:14"
look,1339,95,"1x01:29,1x02:14,1x03:16,1x04:19,1x05:10,1x06:14,1x07:20,1x08:18,1x09:9,1x10:10,1x11:19,1x12:14,2x01:10,2x02:10,2x03:15,2x04:12,2x05:8,2x06:10,2x07:16,2x08:12,2x09:17,2x10:12,2x11:13,2x12:6,3x01:13,3x02:21,3x03:20,3x04:15,3x05:25,3x06:21,3x07:19,3x08:21,3x09:9,3x10:14,3x11:8,3x12:14,4x01:13,4x02:12,4x03:10,4x04:13,4x05:10,4x06:12,4x07:6,4x08:18,4x09:17,4x10:23,4x11:12,4x12:17,5x01:9,5x02:18,5x03:11,5x04:17,5x05:16,5x06:4,5x07:11,5x08:10,5x09:17,5x10:24,5x11:11,5x12:19,6x01:14,6x02:12,6x03:14,6x04:23,6x05:17,6x06:11,6x07:6,6x08:14,6x09:10,6x10:13,6x11:16,6x12:13,7x01:11,7x02:10,7x03:15,7x04:11,7x05:18,7x06:15,7x07:12,7x08:9,7x09:9,7x10:14,7x11:19,7x12:13,8x01:17,8x02:16,8x03:12,8x05:16,8x06:21,8x07:13,8x08:18,8x09:13,8x10:9,8x11:16,8x12:6"
