word,exclusion_category
aah,INTERJECTION
aclu,BRAND
ada,FOREIGN
adalah,FOREIGN
adanya,FOREIGN
agar,FOREIGN
ahh,INTERJECTION
aku,FOREIGN
al,CHARACTER_NAME
albuquerque,PROPER_NOUN
alc,PARSE_ERROR
alex,PROPER_NOUN
amazon,BRAND
amigo,FOREIGN
anak,FOREIGN
anaknya,FOREIGN
andrew,PROPER_NOUN
anysysis,PARSE_ERROR
ao,PARSE_ERROR
apa,FOREIGN
apartemenku,FOREIGN
apb,PARSE_ERROR
arthur,PROPER_NOUN
artinya,FOREIGN
astor,CHARACTER_NAME
atau,FOREIGN
aturan,FOREIGN
aturannya,FOREIGN
ayah,FOREIGN
ayahmu,FOREIGN
ayanhnya,FOREIGN
bagaimana,FOREIGN
baik,FOREIGN
banyak,FOREIGN
barcalounger,BRAND
batista,CHARACTER_NAME
bayangkan,FOREIGN
begitu,FOREIGN
belakangnya,FOREIGN
belum,FOREIGN
benar,FOREIGN
berada,FOREIGN
berambut,FOREIGN
berani,FOREIGN
berapa,FOREIGN
berarti,FOREIGN
berbau,FOREIGN
berbeda,FOREIGN
berdua,FOREIGN
berhak,FOREIGN
berharap,FOREIGN
berhenti,FOREIGN
berikan,FOREIGN
berita,FOREIGN
berkata,FOREIGN
berkualitas,FOREIGN
berlagak,FOREIGN
bermain,FOREIGN
bermuda,PROPER_NOUN
bernama,FOREIGN
bernilai,FOREIGN
berpisah,FOREIGN
bersama,FOREIGN
bertanggung,FOREIGN
bertindak,FOREIGN
berusaha,FOREIGN
biasanya,FOREIGN
bicara,FOREIGN
bimini,PROPER_NOUN
bisa,FOREIGN
bisakah,FOREIGN
biscayne,PROPER_NOUN
boleh,FOREIGN
boston,PROPER_NOUN
botakmu,FOREIGN
brandon,PROPER_NOUN
brian,PROPER_NOUN
buat,FOREIGN
buatmu,FOREIGN
bukan,FOREIGN
buku,FOREIGN
butuhkan,FOREIGN
cabron,FOREIGN
cacing,FOREIGN
caliente,FOREIGN
camarones,FOREIGN
camilla,CHARACTER_NAME
campbell,PROPER_NOUN
canggung,FOREIGN
carl,CHARACTER_NAME
carlos,PROPER_NOUN
carolina,PROPER_NOUN
cassie,PROPER_NOUN
cepat,FOREIGN
cewek,FOREIGN
charles,PROPER_NOUN
cheri,PROPER_NOUN
christine,PROPER_NOUN
christy,PROPER_NOUN
cielos,FOREIGN
cody,CHARACTER_NAME
como,FOREIGN
compadre,FOREIGN
concha,FOREIGN
conmigo,FOREIGN
cpt,PARSE_ERROR
craigslist,BRAND
cuando,FOREIGN
cukup,FOREIGN
culo,FOREIGN
cuma,FOREIGN
curtis,PROPER_NOUN
daftarku,FOREIGN
dagumu,FOREIGN
dalam,FOREIGN
dan,FOREIGN
dapatkan,FOREIGN
dari,FOREIGN
darius,PROPER_NOUN
davis,PROPER_NOUN
deb,CHARACTER_NAME
debbie,PROPER_NOUN
debra,CHARACTER_NAME
dengan,FOREIGN
denganmu,FOREIGN
dengannya,FOREIGN
denny,CHARACTER_NAME
dexter,CHARACTER_NAME
dia,FOREIGN
dibolehkan,FOREIGN
dilakukan,FOREIGN
dimana,FOREIGN
dios,FOREIGN
diriku,FOREIGN
dirimu,FOREIGN
dirinya,FOREIGN
disney,BRAND
disneyworld,BRAND
diuraikan,FOREIGN
doakes,CHARACTER_NAME
donde,FOREIGN
dua,FOREIGN
duduk,FOREIGN
duh,INTERJECTION
ebay,BRAND
eddie,PROPER_NOUN
edward,PROPER_NOUN
eh,INTERJECTION
eli,PROPER_NOUN
ellas,FOREIGN
ellen,PROPER_NOUN
elliot,PROPER_NOUN
emily,PROPER_NOUN
enak,FOREIGN
encuentran,FOREIGN
entonces,FOREIGN
entrar,FOREIGN
escuchame,FOREIGN
eso,FOREIGN
esperanza,PROPER_NOUN
espero,FOREIGN
estaba,FOREIGN
estar,FOREIGN
estos,FOREIGN
ethan,PROPER_NOUN
everglades,PROPER_NOUN
expertto,PARSE_ERROR
exter,PARSE_ERROR
facebook,BRAND
familia,FOREIGN
fbi,PROPER_NOUN
felipe,PROPER_NOUN
fi,PARSE_ERROR
fiona,PROPER_NOUN
flaca,FOREIGN
florida,PROPER_NOUN
fotomu,FOREIGN
frank,PROPER_NOUN
fred,PROPER_NOUN
freddy,PROPER_NOUN
freebo,CHARACTER_NAME
frisbee,BRAND
frita,FOREIGN
fu,PARSE_ERROR
fue,FOREIGN
fuentes,PROPER_NOUN
fuerte,FOREIGN
futur,PARSE_ERROR
gabriel,PROPER_NOUN
gadis,FOREIGN
gail,PROPER_NOUN
galt,PROPER_NOUN
galuzzo,CHARACTER_NAME
garcias,PROPER_NOUN
gardner,PROPER_NOUN
garza,PROPER_NOUN
gellar,CHARACTER_NAME
george,PROPER_NOUN
gerard,PROPER_NOUN
gettin,SLANG
gianna,CHARACTER_NAME
gomez,PROPER_NOUN
google,BRAND
gordy,PROPER_NOUN
gps,BRAND
gracias,FOREIGN
grundy,PROPER_NOUN
guerrero,PROPER_NOUN
gulanya,FOREIGN
gulfstream,BRAND
gung,PARSE_ERROR
haas,PROPER_NOUN
hagan,PROPER_NOUN
hallmark,BRAND
hamilton,PROPER_NOUN
hanna,PROPER_NOUN
hannah,PROPER_NOUN
harganya,FOREIGN
harper,PROPER_NOUN
harrison,PROPER_NOUN
harry,PROPER_NOUN
harus,FOREIGN
hasilnya,FOREIGN
hati,FOREIGN
hector,PROPER_NOUN
hermano,FOREIGN
hidup,FOREIGN
hija,FOREIGN
hijito,FOREIGN
hijo,FOREIGN
hines,PROPER_NOUN
hm,INTERJECTION
hmm,INTERJECTION
hodges,PROPER_NOUN
hombre,FOREIGN
huevos,FOREIGN
huruf,FOREIGN
ibumu,FOREIGN
