word,total_count,episode_count,episodes
know,1723,74,"1x01:23,1x02:25,1x03:28,1x04:28,1x05:37,1x06:11,1x07:23,1x08:39,1x09:17,1x10:17,2x01:25,2x02:29,2x03:20,2x04:24,2x05:21,2x06:27,2x07:29,2x08:40,2x09:17,2x10:30,3x01:11,3x02:38,3x03:24,3x04:23,3x05:36,3x06:13,3x07:35,3x08:16,3x09:23,3x10:33,4x01:35,4x02:19,4x03:24,4x04:31,4x05:28,4x06:19,4x07:15,4x08:26,4x09:17,4x10:23,5x00:10,5x01:18,5x02:26,5x03:18,5x04:17,5x05:28,5x06:23,5x07:20,5x08:23,5x09:10,5x10:22,6x01:16,6x02:15,6x03:22,6x04:28,6x05:30,6x06:9,6x07:20,6x08:16,6x09:17,6x10:13,7x01:19,7x02:24,7x03:34,7x04:15,7x05:26,7x06:34,7x07:40,8x01:17,8x02:33,8x03:4,8x04:44,8x05:12,8x06:21"
want,1360,74,"1x01:15,1x02:13,1x03:15,1x04:24,1x05:31,1x06:18,1x07:23,1x08:33,1x09:29,1x10:15,2x01:18,2x02:21,2x03:18,2x04:27,2x05:19,2x06:21,2x07:20,2x08:31,2x09:13,2x10:26,3x01:30,3x02:36,3x03:17,3x04:17,3x05:36,3x06:19,3x07:20,3x08:21,3x09:8,3x10:18,4x01:31,4x02:13,4x03:19,4x04:17,4x05:11,4x06:14,4x07:22,4x08:14,4x09:6,4x10:17,5x00:9,5x01:27,5x02:13,5x03:23,5x04:9,5x05:12,5x06:16,5x07:11,5x08:15,5x09:13,5x10:9,6x01:9,6x02:12,6x03:23,6x04:24,6x05:15,6x06:7,6x07:13,6x08:18,6x09:14,6x10:16,7x01:28,7x02:13,7x03:13,7x04:13,7x05:19,7x06:31,7x07:22,8x01:16,8x02:27,8x03:1,8x04:27,8x05:15,8x06:11"
go,1325,74,"1x01:20,1x02:29,1x03:18,1x04:20,1x05:20,1x06:12,1x07:21,1x08:17,1x09:17,1x10:20,2x01:22,2x02:16,2x03:12,2x04:7,2x05:26,2x06:21,2x07:18,2x08:17,2x09:14,2x10:21,3x01:11,3x02:29,3x03:16,3x04:20,3x05:19,3x06:13,3x07:23,3x08:9,3x09:22,3x10:25,4x01:19,4x02:15,4x03:17,4x04:17,4x05:25,4x06:9,4x07:15,4x08:16,4x09:21,4x10:23,5x00:30,5x01:22,5x02:28,5x03:18,5x04:9,5x05:19,5x06:10,5x07:18,5x08:25,5x09:15,5x10:12,6x01:11,6x02:17,6x03:14,6x04:22,6x05:31,6x06:9,6x07:17,6x08:14,6x09:15,6x10:15,7x01:12,7x02:11,7x03:12,7x04:16,7x05:17,7x06:32,7x07:29,8x01:7,8x02:18,8x03:18,8x04:18,8x05:21,8x06:11"
come,1037,74,"1x01:12,1x02:13,1x03:21,1x04:19,1x05:10,1x06:10,1x07:18,1x08:8,1x09:14,1x10:12,2x01:6,2x02:16,2x03:15,2x04:13,2x05:22,2x06:17,2x07:13,2x08:6,2x09:20,2x10:17,3x01:11,3x02:18,3x03:20,3x04:22,3x05:17,3x06:12,3x07:19,3x08:14,3x09:10,3x10:18,4x01:14,4x02:7,4x03:16,4x04:14,4x05:6,4x06:7,4x07:11,4x08:7,4x09:14,4x10:20,5x00:14,5x01:8,5x02:13,5x03:11,5x04:8,5x05:15,5x06:15,5x07:19,5x08:21,5x09:5,5x10:16,6x01:13,6x02:9,6x03:12,6x04:14,6x05:11,6x06:12,6x07:17,6x08:18,6x09:5,6x10:19,7x01:18,7x02:16,7x03:17,7x04:14,7x05:20,7x06:15,7x07:23,8x01:4,8x02:20,8x03:22,8x04:14,8x05:12,8x06:8"
would,1023,74,"1x01:13,1x02:6,1x03:15,1x04:19,1x05:23,1x06:11,1x07:13,1x08:23,1x09:22,1x10:11,2x01:12,2x02:17,2x03:15,2x04:17,2x05:26,2x06:20,2x07:26,2x08:21,2x09:9,2x10:20,3x01:11,3x02:17,3x03:20,3x04:15,3x05:17,3x06:15,3x07:13,3x08:9,3x09:8,3x10:8,4x01:16,4x02:13,4x03:17,4x04:12,4x05:15,4x06:19,4x07:14,4x08:11,4x09:3,4x10:14,5x00:2,5x01:11,5x02:27,5x03:12,5x04:18,5x05:15,5x06:8,5x07:12,5x08:23,5x09:7,5x10:8,6x01:9,6x02:15,6x03:10,6x04:10,6x05:8,6x06:11,6x07:7,6x08:8,6x09:8,6x10:8,7x01:10,7x02:15,7x03:24,7x04:14,7x05:12,7x06:21,7x07:25,8x01:9,8x02:20,8x03:2,8x04:10,8x05:5,8x06:13"
get,1017,74,"1x01:19,1x02:14,1x03:13,1x04:22,1x05:10,1x06:13,1x07:10,1x08:11,1x09:12,1x10:14,2x01:10,2x02:21,2x03:16,2x04:19,2x05:20,2x06:16,2x07:14,2x08:11,2x09:13,2x10:10,3x01:7,3x02:29,3x03:18,3x04:16,3x05:10,3x06:15,3x07:25,3x08:7,3x09:25,3x10:19,4x01:25,4x02:5,4x03:23,4x04:19,4x05:22,4x06:7,4x07:19,4x08:9,4x09:24,4x10:7,5x00:28,5x01:10,5x02:10,5x03:13,5x04:14,5x05:11,5x06:16,5x07:15,5x08:18,5x09:7,5x10:6,6x01:6,6x02:7,6x03:14,6x04:5,6x05:6,6x06:8,6x07:17,6x08:12,6x09:8,6x10:8,7x01:8,7x02:9,7x03:7,7x04:14,7x05:17,7x06:17,7x07:11,8x01:9,8x02:17,8x03:11,8x04:14,8x05:20,8x06:5"
good,940,74,"1x01:8,1x02:14,1x03:17,1x04:15,1x05:23,1x06:5,1x07:11,1x08:17,1x09:10,1x10:10,2x01:10,2x02:15,2x03:9,2x04:20,2x05:15,2x06:8,2x07:16,2x08:17,2x09:8,2x10:16,3x01:12,3x02:25,3x03:15,3x04:15,3x05:18,3x06:14,3x07:15,3x08:7,3x09:9,3x10:15,4x01:15,4x02:14,4x03:22,4x04:6,4x05:11,4x06:6,4x07:13,4x08:4,4x09:3,4x10:3,5x00:17,5x01:14,5x02:18,5x03:14,5x04:11,5x05:15,5x06:10,5x07:8,5x08:17,5x09:13,5x10:12,6x01:6,6x02:4,6x03:14,6x04:12,6x05:15,6x06:15,6x07:8,6x08:17,6x09:8,6x10:18,7x01:17,7x02:14,7x03:19,7x04:11,7x05:12,7x06:15,7x07:10,8x01:11,8x02:16,8x03:1,8x04:20,8x05:5,8x06:17"
take,909,74,"1x01:13,1x02:13,1x03:7,1x04:17,1x05:12,1x06:10,1x07:12,1x08:15,1x09:17,1x10:12,2x01:11,2x02:27,2x03:14,2x04:14,2x05:26,2x06:24,2x07:14,2x08:12,2x09:11,2x10:11,3x01:14,3x02:32,3x03:21,3x04:18,3x05:19,3x06:10,3x07:22,3x08:11,3x09:16,3x10:12,4x01:19,4x02:12,4x03:11,4x04:10,4x05:15,4x06:15,4x07:13,4x08:5,4x09:6,4x10:14,5x00:9,5x01:12,5x02:6,5x03:11,5x04:13,5x05:7,5x06:13,5x07:8,5x08:9,5x09:4,5x10:9,6x01:8,6x02:8,6x03:8,6x04:18,6x05:12,6x06:18,6x07:8,6x08:11,6x09:4,6x10:5,7x01:6,7x02:12,7x03:18,7x04:8,7x05:12,7x06:7,7x07:12,8x01:5,8x02:14,8x03:3,8x04:14,8x05:7,8x06:3"
see,892,74,"1x01:12,1x02:11,1x03:15,1x04:34,1x05:15,1x06:9,1x07:10,1x08:12,1x09:9,1x10:12,2x01:13,2x02:12,2x03:17,2x04:16,2x05:19,2x06:11,2x07:8,2x08:12,2x09:16,2x10:14,3x01:9,3x02:20,3x03:14,3x04:19,3x05:10,3x06:16,3x07:19,3x08:14,3x09:5,3x10:10,4x01:16,4x02:16,4x03:9,4x04:10,4x05:11,4x06:13,4x07:12,4x08:13,4x09:3,4x10:10,5x00:14,5x01:7,5x02:5,5x03:11,5x04:6,5x05:12,5x06:9,5x07:11,5x08:19,5x09:10,5x10:12,6x01:14,6x02:12,6x03:15,6x04:14,6x05:7,6x06:8,6x07:7,6x08:12,6x09:4,6x10:6,7x01:13,7x02:12,7x03:20,7x04:7,7x05:9,7x06:15,7x07:20,8x01:2,8x02:12,8x03:3,8x04:14,8x05:10,8x06:14"
tell,870,74,"1x01:10,1x02:22,1x03:28,1x04:16,1x05:13,1x06:5,1x07:12,1x08:15,1x09:14,1x10:10,2x01:7,2x02:20,2x03:11,2x04:18,2x05:20,2x06:12,2x07:17,2x08:14,2x09:14,2x10:13,3x01:21,3x02:27,3x03:13,3x04:16,3x05:15,3x06:18,3x07:21,3x08:12,3x09:9,3x10:8,4x01:16,4x02:10,4x03:9,4x04:10,4x05:10,4x06:11,4x07:13,4x08:22,4x09:5,4x10:12,5x00:2,5x01:10,5x02:2,5x03:10,5x04:14,5x05:8,5x06:4,5x07:7,5x08:13,5x09:3,5x10:5,6x01:8,6x02:6,6x03:11,6x04:15,6x05:4,6x06:11,6x07:2,6x08:12,6x09:9,6x10:9,7x01:11,7x02:9,7x03:12,7x04:8,7x05:13,7x06:9,7x07:14,8x01:12,8x02:13,8x03:2,8x04:18,8x05:9,8x06:6"
