word,exclusion_category
acharoe,FOREIGN
aegon,CHARACTER_NAME
aemon,CHARACTER_NAME
aerion,CHARACTER_NAME
ahh,INTERJECTION
ahhh,INTERJECTION
ai,PARSE_ERROR
ala,FOREIGN
alanna,CHARACTER_NAME
alliser,CHARACTER_NAME
amory,CHARACTER_NAME
andals,PROPER_NOUN
anha,FOREIGN
aqovi,FOREIGN
arakh,SHOW_SPECIFIC
aresting,PARSE_ERROR
arry,CHARACTER_NAME
arya,CHARACTER_NAME
atihi,FOREIGN
azisa,CHARACTER_NAME
baelish,CHARACTER_NAME
baelor,PROPER_NOUN
balian,CHARACTER_NAME
ballsack,SLANG
balon,CHARACTER_NAME
baratheon,CHARACTER_NAME
baratheons,CHARACTER_NAME
barra,CHARACTER_NAME
barristan,CHARACTER_NAME
beric,CHARACTER_NAME
bessie,CHARACTER_NAME
blackwater,PROPER_NOUN
bloodmagic,SHOW_SPECIFIC
bloodrider,SHOW_SPECIFIC
bobono,GIBBERISH
bolton,CHARACTER_NAME
boltons,CHARACTER_NAME
borcas,PARSE_ERROR
brandon,CHARACTER_NAME
brienne,CHARACTER_NAME
bronn,CHARACTER_NAME
casterly,PROPER_NOUN
catelyn,CHARACTER_NAME
cersei,CHARACTER_NAME
clegane,CHARACTER_NAME
complect,PARSE_ERROR
consumated,PARSE_ERROR
corosive,PARSE_ERROR
corpsey,GIBBERISH
crakehall,PROPER_NOUN
craster,CHARACTER_NAME
daario,CHARACTER_NAME
daenerys,CHARACTER_NAME
dany,CHARACTER_NAME
dareon,CHARACTER_NAME
davos,CHARACTER_NAME
daznak,PROPER_NOUN
direwolf,SHOW_SPECIFIC
direwolves,SHOW_SPECIFIC
disr,PARSE_ERROR
disse,PARSE_ERROR
dohaeris,FOREIGN
dom,PARSE_ERROR
dorne,PROPER_NOUN
dornish,SHOW_SPECIFIC
dornishmen,SHOW_SPECIFIC
dothraki,FOREIGN
dozgosores,GIBBERISH
dracarys,FOREIGN
dragonbone,SHOW_SPECIFIC
dragonfire,SHOW_SPECIFIC
dragonglass,SHOW_SPECIFIC
dragonstone,PROPER_NOUN
drogo,CHARACTER_NAME
drogon,CHARACTER_NAME
eas,PARSE_ERROR
edd,CHARACTER_NAME
edmure,CHARACTER_NAME
ellaria,CHARACTER_NAME
enog,PARSE_ERROR
eo,GIBBERISH
escan,PARSE_ERROR
espringal,SHOW_SPECIFIC
euron,CHARACTER_NAME
faull,PARSE_ERROR
fi,PARSE_ERROR
firikhnharen,FOREIGN
frey,CHARACTER_NAME
ganes,PARSE_ERROR
gendry,CHARACTER_NAME
gizikhven,FOREIGN
godsway,SHOW_SPECIFIC
godswood,SHOW_SPECIFIC
goodfolk,SHOW_SPECIFIC
graf,CHARACTER_NAME
greatjon,CHARACTER_NAME
gregor,CHARACTER_NAME
grenn,CHARACTER_NAME
greyjoy,PROPER_NOUN
grumkins,SHOW_SPECIFIC
grumpkins,SHOW_SPECIFIC
guymon,CHARACTER_NAME
haj,FOREIGN
haker,PARSE_ERROR
hal,CHARACTER_NAME
halder,CHARACTER_NAME
halfman,SHOW_SPECIFIC
hammi,PARSE_ERROR
hardhome,PROPER_NOUN
harrenhal,PROPER_NOUN
hatif,PARSE_ERROR
highgarden,PROPER_NOUN
hizdahr,CHARACTER_NAME
hmm,INTERJECTION
hmmm,INTERJECTION
hodor,CHARACTER_NAME
hoshora,GIBBERISH
huh,INTERJECTION
hup,SOUND_EFFECT
hyah,INTERJECTION
ifa,FOREIGN
illyrio,CHARACTER_NAME
insta,BRAND
invit,PARSE_ERROR
ishish,GIBBERISH
izembaro,CHARACTER_NAME
ja,FOREIGN
jaime,CHARACTER_NAME
