word,total_count
wildlings,105
raven,84
lannisters,63
tyrion,58
squire,53
siege,49
wildling,48
renly,47
treason,43
maester,37
valyrian,36
archer,35
ironborn,34
theon,34
mhysa,32
arya,29
dragonglass,29
ser,28
valar,27
bannermen,26
fortnight,25
seize,24
steward,24
cersei,23
crypt,23
northerner,23
hodor,22
highborn,21
jaime,21
andals,20
tommen,20
mance,19
lannister,18
margaery,18
sept,18
slaver,18
usurper,18
dornish,17
khaleesi,17
direwolf,16
boltons,15
conspire,15
daenerys,15
gilly,15
myrcella,15
nock,15
yara,14
ygritte,14
gendry,13
morghulis,13
swordsman,13
handmaiden,12
heave,12
sigil,12
boar,11
bravely,11
casterly,11
conqueror,11
sansa,11
sellsword,11
stannis,11
starks,11
thoros,11
xaro,11
atonement,10
euron,10
flay,10
raper,10
rhaego,10
robb,10
sellswords,10
smith,10
trueborn,10
twat,10
volantis,10
westeros,10
ashore,9
dishonor,9
halfman,9
joffrey,9
jon,9
lordship,9
maesters,9
targaryens,9
unsullied,9
bannerman,8
cockle,8
crucify,8
fealty,8
imp,8
meereenese,8
monarch,8
nobleman,8
rakh,8
sapphire,8
stead,8
tarly,8
warg,8
armada,7
battlement,7
bedding,7
beggar,7
decree,7
deserter,7
dohaeris,7
edmure,7
kingsroad,7
lance,7
littlefinger,7
loras,7
mord,7
mutineer,7
persuade,7
priestess,7
succession,7
targaryen,7
tormund,7
treachery,7
umber,7
wench,7
anointed,6
blackfish,6
cupbearer,6
damned,6
dragonstone,6
dusk,6
lads,6
larder,6
missandei,6
nameday,6
nightfall,6
northman,6
olly,6
septon,6
septons,6
shae,6
sorcerer,6
stronghold,6
tansy,6
yunkai,6
ancestral,5
conquest,5
countryman,5
cower,5
crabber,5
craster,5
edd,5
foe,5
godly,5
greyscale,5
holdfast,5
islander,5
lowborn,5
marching,5
nobility,5
obsidian,5
osha,5
perversion,5
pretender,5
qarth,5
riverlands,5
sledge,5
sneer,5
southerner,5
stonemason,5
strife,5
struck,5
surviving,5
swore,5
tourney,5
winterfell,5
yunkish,5
armorer,4
armory,4
baelish,4
balon,4
beheading,4
blacksmith,4
breastplate,4
charwoman,4
courtyard,4
crone,4
cruelty,4
dany,4
davos,4
direwolves,4
dominion,4
featherbed,4
flayed,4
fleabite,4
haj,4
halfwit,4
horselord,4
jorah,4
jousting,4
khalasar,4
latrine,4
mainland,4
mammoth,4
mason,4
mormont,4
mormonts,4
piecrust,4
poacher,4
ponderous,4
qyburn,4
rast,4
snigger,4
tarth,4
treasury,4
tribesman,4
tully,4
varys,4
viserys,4
whisperer,4
anoint,3
arrowhead,3
bawl,3
bolton,3
brienne,3
brotherhood,3
bushel,3
catelyn,3
clegane,3
climber,3
cocksucker,3
councilors,3
curtsy,3
cynic,3
daario,3
daybreak,3
dorne,3
eastwatch,3
elder,3
ellaria,3
enjoyment,3
extravagance,3
faithfully,3
fang,3
finery,3
forgiving,3
gallivant,3
godswood,3
granary,3
grenn,3
greyjoy,3
grubby,3
hardhome,3
harlot,3
heap,3
honeycomb,3
impregnable,3
infantryman,3
jojen,3
jory,3
joust,3
khals,3
kingslayer,3
knighthood,3
liberator,3
maan,3
marked,3
midday,3
mink,3
murderous,3
noblewoman,3
omen,3
paramour,3
parley,3
pentos,3
pike,3
pommel,3
pox,3
privy,3
prosperity,3
publically,3
pyke,3
pyre,3
pyromancer,3
quill,3
ramsay,3
raped,3
reave,3
regent,3
regicide,3
rhaesheseres,3
scullion,3
sideface,3
simper,3
skewer,3
slain,3
snarks,3
swineherd,3
swoon,3
tardes,3
thorne,3
tickler,3
travelling,3
undying,3
unpunished,3
vanguard,3
venison,3
watchman,3
whinging,3
wilding,3
adventurer,2
aegon,2
aemon,2
afire,2
alanna,2
amidst,2
amnesty,2
amory,2
amputee,2
anvil,2
archway,2
arrows,2
arse,2
ascension,2
attacked,2
baelor,2
ballsack,2
baratheons,2
barrack,2
bastards,2
bauble,2
beric,2
betroth,2
blather,2
bloodmagic,2
bloodrider,2
bobono,2
breech,2
brigand,2
brocade,2
broodmare,2
brutalize,2
brutish,2
buggery,2
bunghole,2
bystander,2
cache,2
canopy,2
captivity,2
cask,2
celibate,2
cistern,2
citadel,2
cockless,2
cocksucking,2
comprise,2
cooperates,2
crabbers,2
crane,2
crowned,2
crueler,2
depravity,2
devout,2
disdain,2
disown,2
dispense,2
dolorous,2
dornishmen,2
dothraki,2
downtrodden,2
driven,2
drogon,2
edged,2
embroider,2
embroidery,2
encampment,2
enhances,2
envoy,2
eunuchs,2
expected,2
eyelid,2
fabled,2
ferocious,2
flown,2
foray,2
fray,2
freed,2
frostfangs,2
gild,2
glovers,2
glower,2
goblet,2
grumpkins,2
guarded,2
guardsman,2
hands,2
harshly,2
haste,2
headless,2
hobble,2
holiness,2
homecoming,2
hornwoods,2
imprisonment,2
impudent,2
inclination,2
infidel,2
inflict,2
ingrate,2
innkeep,2
inquest,2
inquire,2
isle,2
jaqen,2
kings,2
kingsmoot,2
lamprey,2
lecher,2
listens,2
literate,2
