word,total_count,episode_count,episodes
get,3964,157,"1x02:38,1x03:26,1x04:16,1x05:23,1x06:21,1x07:31,1x08:29,1x09:15,1x10:27,1x11:31,1x12:32,1x13:27,1x14:23,1x15:18,1x16:32,1x17:25,1x18:23,1x19:23,1x20:43,1x21:33,1x22:25,2x02:26,2x03:20,2x04:24,2x05:36,2x06:21,2x07:22,2x08:48,2x09:43,2x10:32,2x11:26,2x12:35,2x13:21,2x14:16,2x15:25,2x16:40,2x17:24,2x18:26,2x19:27,2x20:22,2x21:25,2x22:21,3x01:28,3x02:17,3x03:26,3x04:26,3x05:14,3x06:26,3x07:38,3x08:25,3x09:24,3x10:21,3x11:24,3x12:12,3x13:30,3x14:19,3x15:21,3x16:24,3x17:21,3x18:16,3x19:12,3x20:31,4x01:11,4x02:41,4x03:42,4x04:23,4x05:37,4x06:28,4x07:18,4x08:25,4x09:18,4x10:40,4x11:21,4x12:28,4x13:30,4x14:31,4x15:22,4x16:23,4x17:15,4x18:19,4x19:29,4x20:29,4x21:25,4x22:24,4x23:28,4x24:22,5x01:21,5x02:24,5x03:17,5x04:22,5x05:25,5x06:29,5x07:41,5x08:23,5x09:26,5x10:35,5x11:25,5x12:15,5x13:22,5x14:18,5x15:35,5x16:13,5x17:15,5x18:25,5x19:43,5x20:23,5x21:26,5x22:28,5x23:24,5x24:20,6x01:23,6x02:13,6x03:28,6x04:20,6x05:22,6x06:26,6x07:30,6x08:13,6x09:38,6x10:21,6x11:19,6x12:37,6x13:28,6x14:25,6x15:30,6x16:22,6x17:25,6x18:37,6x19:26,6x20:18,6x21:17,6x22:26,6x23:19,6x24:38,7x01:16,7x02:26,7x03:24,7x04:25,7x05:26,7x06:20,7x07:19,7x08:15,7x09:28,7x10:15,7x11:27,7x12:17,7x13:32,7x14:25,7x15:17,7x16:21,7x17:20,7x18:16,7x19:27,7x20:21,7x21:28,7x22:32,7x23:46"
go,3435,157,"1x02:22,1x03:45,1x04:14,1x05:27,1x06:18,1x07:27,1x08:41,1x09:21,1x10:19,1x11:32,1x12:31,1x13:32,1x14:34,1x15:21,1x16:29,1x17:35,1x18:41,1x19:30,1x20:31,1x21:32,1x22:31,2x02:31,2x03:21,2x04:24,2x05:39,2x06:23,2x07:22,2x08:27,2x09:52,2x10:19,2x11:19,2x12:21,2x13:23,2x14:24,2x15:18,2x16:21,2x17:13,2x18:19,2x19:24,2x20:26,2x21:20,2x22:27,3x01:23,3x02:20,3x03:29,3x04:25,3x05:23,3x06:34,3x07:10,3x08:10,3x09:21,3x10:21,3x11:21,3x12:24,3x13:27,3x14:23,3x15:17,3x16:23,3x17:30,3x18:11,3x19:23,3x20:20,4x01:22,4x02:26,4x03:16,4x04:9,4x05:14,4x06:41,4x07:15,4x08:27,4x09:36,4x10:35,4x11:13,4x12:15,4x13:29,4x14:9,4x15:18,4x16:18,4x17:9,4x18:26,4x19:19,4x20:20,4x21:13,4x22:18,4x23:21,4x24:22,5x01:20,5x02:27,5x03:13,5x04:19,5x05:23,5x06:17,5x07:20,5x08:28,5x09:14,5x10:26,5x11:27,5x12:24,5x13:25,5x14:34,5x15:22,5x16:21,5x17:27,5x18:23,5x19:22,5x20:14,5x21:12,5x22:13,5x23:20,5x24:12,6x01:19,6x02:22,6x03:19,6x04:10,6x05:8,6x06:9,6x07:12,6x08:15,6x09:23,6x10:18,6x11:12,6x12:16,6x13:24,6x14:15,6x15:32,6x16:19,6x17:16,6x18:27,6x19:19,6x20:13,6x21:21,6x22:20,6x23:13,6x24:14,7x01:20,7x02:10,7x03:22,7x04:8,7x05:18,7x06:19,7x07:29,7x08:9,7x09:42,7x10:20,7x11:21,7x12:23,7x13:17,7x14:23,7x15:20,7x16:17,7x17:27,7x18:18,7x19:18,7x20:8,7x21:19,7x22:18,7x23:38"
know,3054,157,"1x02:31,1x03:12,1x04:21,1x05:18,1x06:22,1x07:19,1x08:25,1x09:16,1x10:18,1x11:18,1x12:30,1x13:31,1x14:18,1x15:19,1x16:38,1x17:17,1x18:12,1x19:31,1x20:16,1x21:27,1x22:18,2x02:8,2x03:26,2x04:25,2x05:24,2x06:14,2x07:19,2x08:22,2x09:34,2x10:16,2x11:23,2x12:23,2x13:19,2x14:16,2x15:18,2x16:17,2x17:19,2x18:25,2x19:14,2x20:25,2x21:12,2x22:22,3x01:16,3x02:22,3x03:14,3x04:21,3x05:36,3x06:40,3x07:26,3x08:26,3x09:18,3x10:30,3x11:12,3x12:15,3x13:26,3x14:17,3x15:11,3x16:26,3x17:24,3x18:19,3x19:16,3x20:22,4x01:26,4x02:18,4x03:17,4x04:17,4x05:16,4x06:15,4x07:14,4x08:16,4x09:14,4x10:26,4x11:20,4x12:21,4x13:19,4x14:23,4x15:23,4x16:17,4x17:21,4x18:27,4x19:15,4x20:18,4x21:19,4x22:10,4x23:15,4x24:14,5x01:26,5x02:15,5x03:23,5x04:13,5x05:17,5x06:19,5x07:22,5x08:18,5x09:15,5x10:9,5x11:20,5x12:19,5x13:10,5x14:15,5x15:14,5x16:16,5x17:18,5x18:21,5x19:14,5x20:24,5x21:12,5x22:14,5x23:17,5x24:20,6x01:20,6x02:22,6x03:25,6x04:15,6x05:15,6x06:15,6x07:12,6x08:22,6x09:33,6x10:11,6x11:14,6x12:15,6x13:20,6x14:15,6x15:15,6x16:15,6x17:29,6x18:20,6x19:17,6x20:14,6x21:24,6x22:17,6x23:13,6x24:14,7x01:20,7x02:22,7x03:21,7x04:22,7x05:22,7x06:26,7x07:15,7x08:12,7x09:17,7x10:18,7x11:21,7x12:16,7x13:18,7x14:20,7x15:22,7x16:23,7x17:19,7x18:20,7x19:16,7x20:16,7x21:19,7x22:21,7x23:29"
want,1862,157,"1x02:11,1x03:13,1x04:11,1x05:8,1x06:12,1x07:12,1x08:15,1x09:12,1x10:7,1x11:8,1x12:27,1x13:7,1x14:11,1x15:3,1x16:16,1x17:14,1x18:23,1x19:8,1x20:15,1x21:17,1x22:9,2x02:8,2x03:19,2x04:13,2x05:8,2x06:19,2x07:6,2x08:13,2x09:16,2x10:12,2x11:14,2x12:14,2x13:10,2x14:10,2x15:8,2x16:9,2x17:5,2x18:20,2x19:18,2x20:8,2x21:17,2x22:25,3x01:13,3x02:8,3x03:8,3x04:13,3x05:5,3x06:8,3x07:12,3x08:16,3x09:6,3x10:10,3x11:16,3x12:13,3x13:14,3x14:6,3x15:11,3x16:15,3x17:19,3x18:9,3x19:6,3x20:20,4x01:17,4x02:13,4x03:16,4x04:14,4x05:10,4x06:11,4x07:11,4x08:18,4x09:9,4x10:10,4x11:5,4x12:9,4x13:10,4x14:5,4x15:13,4x16:15,4x17:17,4x18:11,4x19:10,4x20:11,4x21:6,4x22:12,4x23:14,4x24:11,5x01:7,5x02:8,5x03:17,5x04:13,5x05:12,5x06:6,5x07:12,5x08:8,5x09:14,5x10:15,5x11:8,5x12:7,5x13:12,5x14:6,5x15:12,5x16:16,5x17:3,5x18:13,5x19:13,5x20:7,5x21:17,5x22:8,5x23:12,5x24:8,6x01:16,6x02:12,6x03:12,6x04:6,6x05:13,6x06:13,6x07:12,6x08:20,6x09:6,6x10:7,6x11:12,6x12:5,6x13:6,6x14:2,6x15:9,6x16:16,6x17:10,6x18:26,6x19:17,6x20:15,6x21:11,6x22:8,6x23:3,6x24:18,7x01:11,7x02:13,7x03:14,7x04:12,7x05:5,7x06:23,7x07:9,7x08:13,7x09:10,7x10:9,7x11:9,7x12:21,7x13:8,7x14:17,7x15:8,7x16:10,7x17:17,7x18:14,7x19:13,7x20:12,7x21:14,7x22:12,7x23:22"
right,1753,157,"1x02:13,1x03:10,1x04:19,1x05:15,1x06:9,1x07:11,1x08:22,1x09:13,1x10:17,1x11:10,1x12:12,1x13:7,1x14:9,1x15:9,1x16:6,1x17:11,1x18:19,1x19:4,1x20:13,1x21:7,1x22:9,2x02:17,2x03:11,2x04:11,2x05:17,2x06:12,2x07:15,2x08:17,2x09:14,2x10:10,2x11:9,2x12:15,2x13:13,2x14:7,2x15:8,2x16:10,2x17:7,2x18:9,2x19:15,2x20:14,2x21:8,2x22:17,3x01:9,3x02:14,3x03:14,3x04:15,3x05:12,3x06:10,3x07:16,3x08:13,3x09:10,3x10:5,3x11:7,3x12:12,3x13:15,3x14:7,3x15:16,3x16:7,3x17:12,3x18:11,3x19:12,3x20:9,4x01:9,4x02:22,4x03:10,4x04:7,4x05:10,4x06:15,4x07:8,4x08:8,4x09:6,4x10:13,4x11:7,4x12:8,4x13:10,4x14:4,4x15:7,4x16:7,4x17:12,4x18:9,4x19:11,4x20:8,4x21:15,4x22:14,4x23:7,4x24:10,5x01:13,5x02:5,5x03:10,5x04:12,5x05:11,5x06:11,5x07:12,5x08:14,5x09:11,5x10:8,5x11:29,5x12:10,5x13:12,5x14:10,5x15:8,5x16:21,5x17:5,5x18:9,5x19:15,5x20:17,5x21:12,5x22:13,5x23:7,5x24:11,6x01:14,6x02:6,6x03:8,6x04:8,6x05:14,6x06:11,6x07:4,6x08:11,6x09:2,6x10:8,6x11:15,6x12:12,6x13:5,6x14:14,6x15:7,6x16:12,6x17:14,6x18:10,6x19:13,6x20:14,6x21:12,6x22:13,6x23:15,6x24:6,7x01:11,7x02:11,7x03:9,7x04:12,7x05:8,7x06:7,7x07:9,7x08:13,7x09:11,7x10:17,7x11:27,7x12:8,7x13:5,7x14:5,7x15:20,7x16:6,7x17:9,7x18:8,7x19:12,7x20:10,7x21:10,7x22:11,7x23:16"
think,1715,157,"1x02:9,1x03:9,1x04:13,1x05:9,1x06:15,1x07:11,1x08:11,1x09:9,1x10:27,1x11:9,1x12:12,1x13:11,1x14:13,1x15:6,1x16:20,1x17:13,1x18:11,1x19:10,1x20:7,1x21:17,1x22:14,2x02:11,2x03:12,2x04:14,2x05:12,2x06:14,2x07:18,2x08:8,2x09:9,2x10:9,2x11:7,2x12:7,2x13:17,2x14:7,2x15:10,2x16:11,2x17:7,2x18:15,2x19:12,2x20:10,2x21:16,2x22:8,3x01:12,3x02:9,3x03:13,3x04:11,3x05:9,3x06:6,3x07:13,3x08:6,3x09:12,3x10:11,3x11:16,3x12:12,3x13:19,3x14:9,3x15:8,3x16:9,3x17:13,3x18:16,3x19:19,3x20:9,4x01:14,4x02:9,4x03:16,4x04:10,4x05:10,4x06:13,4x07:14,4x08:9,4x09:6,4x10:7,4x11:8,4x12:12,4x13:6,4x14:4,4x15:12,4x16:16,4x17:13,4x18:7,4x19:7,4x20:13,4x21:18,4x22:7,4x23:10,4x24:11,5x01:12,5x02:11,5x03:11,5x04:9,5x05:11,5x06:9,5x07:13,5x08:9,5x09:8,5x10:14,5x11:9,5x12:12,5x13:16,5x14:9,5x15:14,5x16:10,5x17:10,5x18:10,5x19:14,5x20:5,5x21:15,5x22:10,5x23:7,5x24:13,6x01:12,6x02:10,6x03:11,6x04:9,6x05:14,6x06:10,6x07:6,6x08:11,6x09:10,6x10:5,6x11:14,6x12:15,6x13:9,6x14:9,6x15:8,6x16:11,6x17:6,6x18:9,6x19:11,6x20:9,6x21:8,6x22:7,6x23:11,6x24:5,7x01:9,7x02:7,7x03:14,7x04:11,7x05:17,7x06:8,7x07:19,7x08:5,7x09:10,7x10:9,7x11:13,7x12:7,7x13:5,7x14:5,7x15:11,7x16:22,7x17:13,7x18:14,7x19:9,7x20:10,7x21:7,7x22:12,7x23:13"
say,1596,157,"1x02:11,1x03:11,1x04:18,1x05:6,1x06:4,1x07:12,1x08:6,1x09:9,1x10:9,1x11:8,1x12:15,1x13:13,1x14:10,1x15:10,1x16:9,1x17:13,1x18:10,1x19:8,1x20:5,1x21:5,1x22:21,2x02:6,2x03:9,2x04:6,2x05:13,2x06:9,2x07:13,2x08:9,2x09:10,2x10:3,2x11:12,2x12:20,2x13:19,2x14:5,2x15:2,2x16:14,2x17:11,2x18:5,2x19:10,2x20:10,2x21:8,2x22:15,3x01:8,3x02:11,3x03:9,3x04:12,3x05:13,3x06:11,3x07:13,3x08:7,3x09:17,3x10:12,3x11:11,3x12:8,3x13:17,3x14:6,3x15:8,3x16:7,3x17:12,3x18:12,3x19:8,3x20:19,4x01:4,4x02:8,4x03:8,4x04:10,4x05:2,4x06:13,4x07:2,4x08:10,4x09:11,4x10:5,4x11:16,4x12:5,4x13:12,4x14:7,4x15:18,4x16:16,4x17:12,4x18:8,4x19:6,4x20:7,4x21:12,4x22:9,4x23:14,4x24:12,5x01:11,5x02:4,5x03:20,5x04:14,5x05:6,5x06:14,5x07:10,5x08:9,5x09:12,5x10:1,5x11:6,5x12:11,5x13:23,5x14:13,5x15:13,5x16:6,5x17:7,5x18:7,5x19:17,5x20:7,5x21:7,5x22:14,5x23:18,5x24:10,6x01:9,6x02:14,6x03:9,6x04:10,6x05:21,6x06:3,6x07:16,6x08:13,6x09:5,6x10:4,6x11:11,6x12:2,6x13:7,6x14:15,6x15:8,6x16:11,6x17:13,6x18:20,6x19:4,6x20:7,6x21:6,6x22:3,6x23:14,6x24:10,7x01:5,7x02:3,7x03:11,7x04:7,7x05:14,7x06:11,7x07:9,7x08:16,7x09:12,7x10:7,7x11:7,7x12:7,7x13:5,7x14:9,7x15:9,7x16:19,7x17:17,7x18:14,7x19:13,7x20:10,7x21:3,7x22:6,7x23:17"
guy,1583,157,"1x02:7,1x03:20,1x04:6,1x05:11,1x06:15,1x07:10,1x08:8,1x09:11,1x10:12,1x11:14,1x12:12,1x13:4,1x14:3,1x15:11,1x16:16,1x17:12,1x18:6,1x19:12,1x20:13,1x21:7,1x22:9,2x02:5,2x03:2,2x04:12,2x05:10,2x06:6,2x07:14,2x08:16,2x09:5,2x10:19,2x11:9,2x12:16,2x13:15,2x14:6,2x15:5,2x16:5,2x17:7,2x18:10,2x19:11,2x20:10,2x21:12,2x22:10,3x01:10,3x02:8,3x03:8,3x04:20,3x05:16,3x06:20,3x07:10,3x08:14,3x09:6,3x10:9,3x11:11,3x12:10,3x13:9,3x14:12,3x15:12,3x16:15,3x17:5,3x18:11,3x19:4,3x20:13,4x01:8,4x02:9,4x03:11,4x04:11,4x05:9,4x06:9,4x07:6,4x08:16,4x09:8,4x10:46,4x11:8,4x12:3,4x13:10,4x14:8,4x15:5,4x16:8,4x17:11,4x18:10,4x19:9,4x20:14,4x21:9,4x22:4,4x23:6,4x24:2,5x01:13,5x02:7,5x03:9,5x04:9,5x05:6,5x06:5,5x07:9,5x08:17,5x09:12,5x10:16,5x11:13,5x12:12,5x13:13,5x14:17,5x15:14,5x16:7,5x17:9,5x18:9,5x19:12,5x20:13,5x21:15,5x22:14,5x23:20,5x24:9,6x01:11,6x02:10,6x03:6,6x04:3,6x05:10,6x06:7,6x07:10,6x08:9,6x09:10,6x10:13,6x11:4,6x12:7,6x13:6,6x14:9,6x15:5,6x16:7,6x17:18,6x18:15,6x19:7,6x20:9,6x21:10,6x22:10,6x23:6,6x24:2,7x01:5,7x02:11,7x03:10,7x04:5,7x05:12,7x06:11,7x07:18,7x08:2,7x09:14,7x10:12,7x11:23,7x12:5,7x13:4,7x14:4,7x15:5,7x16:8,7x17:5,7x18:6,7x19:7,7x20:18,7x21:4,7x22:11,7x23:12"
really,1263,157,"1x02:2,1x03:14,1x04:7,1x05:5,1x06:10,1x07:8,1x08:8,1x09:8,1x10:17,1x11:6,1x12:13,1x13:8,1x14:14,1x15:9,1x16:13,1x17:8,1x18:2,1x19:13,1x20:5,1x21:14,1x22:5,2x02:9,2x03:10,2x04:11,2x05:12,2x06:6,2x07:13,2x08:10,2x09:7,2x10:3,2x11:8,2x12:8,2x13:7,2x14:5,2x15:11,2x16:17,2x17:13,2x18:10,2x19:10,2x20:5,2x21:8,2x22:8,3x01:10,3x02:10,3x03:6,3x04:17,3x05:10,3x06:11,3x07:6,3x08:8,3x09:8,3x10:10,3x11:6,3x12:3,3x13:13,3x14:5,3x15:5,3x16:10,3x17:5,3x18:9,3x19:10,3x20:4,4x01:12,4x02:4,4x03:12,4x04:7,4x05:4,4x06:13,4x07:6,4x08:22,4x09:9,4x10:7,4x11:5,4x12:4,4x13:8,4x14:8,4x15:15,4x16:10,4x17:4,4x18:8,4x19:3,4x20:9,4x21:11,4x22:7,4x23:4,4x24:13,5x01:9,5x02:5,5x03:9,5x04:7,5x05:3,5x06:3,5x07:12,5x08:5,5x09:9,5x10:10,5x11:5,5x12:6,5x13:13,5x14:13,5x15:2,5x16:10,5x17:6,5x18:7,5x19:12,5x20:3,5x21:3,5x22:7,5x23:6,5x24:5,6x01:4,6x02:12,6x03:5,6x04:11,6x05:10,6x06:10,6x07:6,6x08:3,6x09:7,6x10:1,6x11:11,6x12:5,6x13:4,6x14:9,6x15:3,6x16:10,6x17:10,6x18:11,6x19:8,6x20:6,6x21:5,6x22:9,6x23:6,6x24:5,7x01:12,7x02:12,7x03:12,7x04:13,7x05:8,7x06:6,7x07:12,7x08:6,7x09:10,7x10:6,7x11:1,7x12:5,7x13:4,7x14:5,7x15:1,7x16:5,7x17:12,7x18:8,7x19:8,7x20:6,7x21:2,7x22:7,7x23:10"
make,1174,157,"1x02:7,1x03:2,1x04:6,1x05:3,1x06:5,1x07:4,1x08:9,1x09:5,1x10:9,1x11:4,1x12:9,1x13:9,1x14:13,1x15:5,1x16:15,1x17:10,1x18:11,1x19:17,1x20:6,1x21:10,1x22:11,2x02:6,2x03:9,2x04:4,2x05:7,2x06:10,2x07:4,2x08:4,2x09:4,2x10:9,2x11:7,2x12:6,2x13:9,2x14:8,2x15:12,2x16:7,2x17:11,2x18:6,2x19:9,2x20:7,2x21:11,2x22:3,3x01:10,3x02:4,3x03:3,3x04:4,3x05:17,3x06:16,3x07:12,3x08:3,3x09:15,3x10:10,3x11:6,3x12:7,3x13:8,3x14:6,3x15:12,3x16:6,3x17:5,3x18:3,3x19:4,3x20:7,4x01:8,4x02:2,4x03:8,4x04:7,4x05:12,4x06:5,4x07:7,4x08:5,4x09:7,4x10:4,4x11:9,4x12:3,4x13:2,4x14:5,4x15:5,4x16:5,4x17:5,4x18:10,4x19:6,4x20:10,4x21:13,4x22:12,4x23:7,4x24:7,5x01:4,5x02:6,5x03:3,5x04:9,5x05:8,5x06:10,5x07:7,5x08:3,5x09:5,5x10:4,5x11:1,5x12:6,5x13:9,5x14:3,5x15:2,5x16:6,5x17:6,5x18:15,5x19:10,5x20:14,5x21:4,5x22:8,5x23:12,5x24:10,6x01:6,6x02:6,6x03:8,6x04:2,6x05:4,6x06:17,6x07:17,6x08:5,6x09:5,6x10:7,6x11:13,6x12:8,6x13:7,6x14:7,6x15:4,6x16:2,6x17:14,6x18:6,6x19:9,6x20:8,6x21:4,6x22:15,6x23:6,6x24:7,7x01:9,7x02:6,7x03:8,7x04:3,7x05:4,7x06:3,7x07:7,7x08:15,7x09:9,7x10:6,7x11:6,7x12:6,7x13:9,7x14:9,7x15:4,7x16:3,7x17:16,7x18:5,7x19:9,7x20:10,7x21:10,7x22:11,7x23:9"
