word,exclusion_category
aaaaaa,GIBBERISH
aaaaaaaaa,GIBBERISH
aaaaaaaaaaaaa,GIBBERISH
aaah,INTERJECTION
aah,INTERJECTION
ab,PARSE_ERROR
abba,BRAND
abbott,CHARACTER_NAME
abby,CHARACTER_NAME
aboot,SLANG
abraham,PROPER_NOUN
absotively,GIBBERISH
accep,PARSE_ERROR
acquizzired,GIBBERISH
ae,PARSE_ERROR
agai,PARSE_ERROR
aggle,GIBBERISH
alanis,PROPER_NOUN
albondigas,FOREIGN
aldman,GIBBERISH
aldrin,PROPER_NOUN
alexa,BRAND
allig,PARSE_ERROR
alrey,GIBBERISH
alwa,PARSE_ERROR
alwaysbeen,GIBBERISH
alwe,PARSE_ERROR
amigo,FOREIGN
amillion,GIBBERISH
ammie,CHARACTER_NAME
anannouncement,GIBBERISH
ancovered,GIBBERISH
anderson,PROPER_NOUN
andin,PARSE_ERROR
anlily,GIBBERISH
annnouncement,GIBBERISH
anpinion,GIBBERISH
ans,PARSE_ERROR
answerign,PARSE_ERROR
anycovered,GIBBERISH
aool,GIBBERISH
apament,GIBBERISH
apartmt,PARSE_ERROR
apol,PARSE_ERROR
appy,GIBBERISH
april,PROPER_NOUN
apy,PARSE_ERROR
arabesq,PARSE_ERROR
arcadian,PROPER_NOUN
archisexture,GIBBERISH
archite,PARSE_ERROR
argentina,PROPER_NOUN
argentinean,PROPER_NOUN
arigato,FOREIGN
armani,BRAND
armenian,PROPER_NOUN
arou,PARSE_ERROR
arrigato,FOREIGN
arthur,PROPER_NOUN
artment,PARSE_ERROR
aryou,GIBBERISH
asian,PROPER_NOUN
aspen,PROPER_NOUN
assface,GIBBERISH
astoria,PROPER_NOUN
astrong,GIBBERISH
atory,PARSE_ERROR
atrong,GIBBERISH
au,PARSE_ERROR
aually,PARSE_ERROR
awf,PARSE_ERROR
awfsful,GIBBERISH
awhat,GIBBERISH
awome,GIBBERISH
aws,GIBBERISH
baa,SOUND_EFFECT
bab,PARSE_ERROR
bacto,BRAND
bah,INTERJECTION
bamboozle,SLANG
bamboozles,SLANG
bang,SOUND_EFFECT
banger,SOUND_EFFECT
banging,SOUND_EFFECT
bangity,GIBBERISH
barnaby,CHARACTER_NAME
barney,CHARACTER_NAME
barnitude,GIBBERISH
barry,CHARACTER_NAME
bbbbbbbbbbb,GIBBERISH
bdses,GIBBERISH
bearly,GIBBERISH
beatboxing,SOUND_EFFECT
beauta,GIBBERISH
beercules,GIBBERISH
beerhole,GIBBERISH
begood,GIBBERISH
belgian,PROPER_NOUN
beli,PARSE_ERROR
believ,PARSE_ERROR
bellevue,PROPER_NOUN
bemidji,PROPER_NOUN
benny,CHARACTER_NAME
beretta,BRAND
berserker,SHOW_SPECIFIC
bestriend,GIBBERISH
betcha,SLANG
beurre,FOREIGN
beuts,GIBBERISH
bienvenue,FOREIGN
biloxi,PROPER_NOUN
bilson,CHARACTER_NAME
binocs,SLANG
bitch,SLANG
bitties,GIBBERISH
biz,SLANG
blahblah,GIBBERISH
blatantly,PROPER_NOUN
blauman,CHARACTER_NAME
blitzy,GIBBERISH
blt,BRAND
bluff,SLANG
bodiddly,GIBBERISH
boing,SOUND_EFFECT
boink,SOUND_EFFECT
bolivian,PROPER_NOUN
bollock,SLANG
bomaye,GIBBERISH
bon,FOREIGN
boobed,GIBBERISH
boog,GIBBERISH
bos,PARSE_ERROR
bozhe,FOREIGN
bruschett,PARSE_ERROR
buildingfor,PARSE_ERROR
cabinhold,PARSE_ERROR
cabron,FOREIGN
caca,FOREIGN
caliente,FOREIGN
camaro,BRAND
canada,PROPER_NOUN
canadian,PROPER_NOUN
canuck,PROPER_NOUN
