word,exclusion_category
a'ight,INTERJECTION
aaaah,GIBBERISH
aaaarg,GIBBERISH
aah,GIBBERISH
aahhblblblblbl,GIBBERISH
aarm,GIBBERISH
abat,GIBBERISH
abit,PARSE_ERROR
abouyour,FOREIGN
abraham,PROPER_NOUN
absofruitly,GIBBERISH
acapelca,FOREIGN
accutane,FOREIGN
acento,GIBBERISH
adelph,FOREIGN
adios,FOREIGN
afwaid,PARSE_ERROR
aga,FOREIGN
aggenda,PARSE_ERROR
aggendak,FOREIGN
aggendi,FOREIGN
agh,GIBBERISH
aghh,GIBBERISH
aha,INTERJECTION
ahem,INTERJECTION
ahh,GIBBERISH
ahoy,INTERJECTION
ahs,GIBBERISH
ahumor,GIBBERISH
aice,GIBBERISH
ainheritance,FOREIGN
alan,CHARACTER_NAME
albany,PROPER_NOUN
alex,CHARACTER_NAME
alfredo,CHARACTER_NAME
ali,CHARACTER_NAME
alice,CHARACTER_NAME
alkie,GIBBERISH
allready,FOREIGN
alma,CHARACTER_NAME
aloha,INTERJECTION
altocumulus,FOREIGN
alwa,FOREIGN
amazon,PROPER_NOUN
amen,INTERJECTION
america,PROPER_NOUN
american,PROPER_NOUN
amigos,FOREIGN
amish,FOREIGN
amos,CHARACTER_NAME
amsterdam,PROPER_NOUN
anastasio,CHARACTER_NAME
ancho,FOREIGN
andale,FOREIGN
andene,FOREIGN
andrew,CHARACTER_NAME
andy,CHARACTER_NAME
ange,FOREIGN
angela,CHARACTER_NAME
angerela,CHARACTER_NAME
anjohn,FOREIGN
anounanouzoubliblublu,GIBBERISH
anthropologie,PROPER_NOUN
anyonehink,GIBBERISH
aonor,GIBBERISH
appearancist,GIBBERISH
appetit,FOREIGN
appetitos,FOREIGN
appointme,GIBBERISH
approachabler,GIBBERISH
appropri,GIBBERISH
apres,FOREIGN
apropos,FOREIGN
ara,INTERJECTION
arabian,FOREIGN
argentina,PROPER_NOUN
arigato,FOREIGN
armstrong,PROPER_NOUN
aruba,PROPER_NOUN
askin,PARSE_ERROR
assuance,GIBBERISH
asswipe,SLANG
assy,SLANG
at'em,SLANG
ata,GIBBERISH
athdavrazar,GIBBERISH
athlead,SHOW_SPECIFIC
atlantic,PROPER_NOUN
atm,PROPER_NOUN
attaboy,INTERJECTION
attagirl,INTERJECTION
atur,PARSE_ERROR
aually,PARSE_ERROR
australian,PROPER_NOUN
aweddingwedding,GIBBERISH
awsome,SLANG
aww,INTERJECTION
azzafrok,GIBBERISH
ba,GIBBERISH
baba,GIBBERISH
