word,total_count
dwight,201
jim,140
phyllis,91
andy,74
kelly,50
meredith,47
erin,44
david,43
wallace,42
schrute,41
dunder,38
senator,38
charles,37
toby,35
mifflin,34
santa,34
scranton,31
dundies,25
packer,24
strangler,24
stanley,23
sw,22
york,21
annex,20
easyl,20
copier,18
jan,17
nikki,17
administrator,16
cappella,16
cornell,16
darksh,16
ream,16
dah,15
gabbagool,15
gabe,15
sweeney,15
wuphf,15
disco,12
friday,12
halpert,12
sketch,12
syn,12
blogger,11
buffalo,11
dar,11
downsizing,11
hilary,11
sensei,11
swank,11
swsu,11
sy,11
synchr,11
tr,11
tra,11
tran,11
transc,11
transcr,11
transcri,11
transcrip,11
bernard,10
foster,10
intern,10
mose,10
nashua,10
shredder,10
tambourine,10
workspace,10
accountability,9
bailer,9
mallard,9
narc,9
sabre,9
synchronisation,9
beesly,8
cartwheel,8
impish,8
limitless,8
marmalade,8
nard,8
refrigeration,8
showtime,8
teapot,8
tom,8
bruce,7
cafe,7
ceremonial,7
fiance,7
gam,7
justine,7
kapoor,7
karen,7
kev,7
nellie,7
parody,7
poach,7
queer,7
recital,7
severance,7
utica,7
beanie,6
bedbug,6
clink,6
dem,6
doomsday,6
empanadas,6
faggy,6
fiancee,6
lotta,6
matt,6
occeane,6
outlet,6
powerpoint,6
psst,6
roy,6
savannah,6
schrutes,6
updog,6
watermark,6
yoruba,6
alan,5
attacker,5
babyback,5
basil,5
biz,5
caleb,5
captivate,5
clarke,5
creativity,5
delegate,5
deputy,5
donna,5
dum,5
exclusively,5
foreman,5
helene,5
hysterectomy,5
interviewer,5
johanna,5
juju,5
klump,5
logo,5
lt,5
malfeasance,5
mensch,5
openly,5
parm,5
porcupine,5
railing,5
scarn,5
sempai,5
shabooya,5
splenda,5
springsteen,5
stapler,5
steamtown,5
tallahassee,5
videotape,5
woof,5
animation,4
antigravity,4
auger,4
avenue,4
bestisch,4
bimbo,4
binder,4
bullpen,4
cathartic,4
cece,4
chillax,4
ciao,4
condone,4
connotation,4
consensual,4
coolio,4
crasher,4
crawdad,4
crook,4
cushy,4
dartmouth,4
deangelo,4
debatable,4
deposition,4
directory,4
dojo,4
duet,4
einstein,4
ela,4
energize,4
exec,4
february,4
flounder,4
foment,4
fussy,4
giggling,4
googy,4
grump,4
handbook,4
hawt,4
hispanic,4
hooter,4
hudson,4
julia,4
ksk,4
lewis,4
librarian,4
lifeboat,4
linguini,4
malone,4
mikanos,4
mzinfo,4
ohio,4
oui,4
phillip,4
pimple,4
ping,4
preserver,4
proxy,4
recyclops,4
rowboat,4
ruff,4
saleswoman,4
sesame,4
shareholder,4
sportscaster,4
stacy,4
