word,total_count,episode_count,episodes
get,2014,64,"20x01:18,20x02:25,20x03:28,20x04:23,20x05:27,20x06:25,20x07:20,20x08:26,20x09:34,20x10:34,21x01:34,21x02:31,21x03:39,21x04:29,21x05:40,21x06:43,21x07:19,21x08:29,21x09:24,21x10:35,22x01:29,22x02:26,22x03:20,22x04:42,22x05:37,22x06:32,22x07:20,22x08:25,22x09:33,22x10:45,23x01:27,23x02:25,23x03:43,23x04:21,23x05:33,23x06:27,23x07:25,23x08:21,23x09:26,23x10:20,24x01:58,24x02:97,25x01:27,25x02:13,25x03:51,25x04:22,25x05:35,25x06:30,26x01:25,26x02:28,26x03:19,26x04:19,26x05:48,26x06:21,27x01:23,27x02:37,27x03:46,27x04:60,27x05:60,28x01:16,28x02:22,28x03:34,28x04:34,28x05:29"
go,1297,64,"20x01:11,20x02:21,20x03:11,20x04:29,20x05:18,20x06:23,20x07:22,20x08:20,20x09:19,20x10:24,21x01:14,21x02:21,21x03:16,21x04:22,21x05:20,21x06:25,21x07:18,21x08:13,21x09:14,21x10:32,22x01:20,22x02:27,22x03:9,22x04:17,22x05:10,22x06:22,22x07:18,22x08:16,22x09:11,22x10:25,23x01:19,23x02:16,23x03:20,23x04:10,23x05:12,23x06:16,23x07:12,23x08:15,23x09:11,23x10:16,24x01:59,24x02:48,25x01:24,25x02:12,25x03:19,25x04:22,25x05:25,25x06:24,26x01:13,26x02:17,26x03:14,26x04:16,26x05:36,26x06:36,27x01:17,27x02:13,27x03:35,27x04:26,27x05:25,28x01:21,28x02:17,28x03:23,28x04:16,28x05:24"
know,1261,64,"20x01:25,20x02:20,20x03:31,20x04:25,20x05:24,20x06:14,20x07:23,20x08:17,20x09:17,20x10:15,21x01:11,21x02:19,21x03:14,21x04:10,21x05:22,21x06:14,21x07:34,21x08:9,21x09:19,21x10:15,22x01:27,22x02:20,22x03:11,22x04:17,22x05:14,22x06:12,22x07:17,22x08:26,22x09:6,22x10:8,23x01:20,23x02:9,23x03:26,23x04:8,23x05:16,23x06:16,23x07:16,23x08:18,23x09:12,23x10:14,24x01:34,24x02:46,25x01:15,25x02:26,25x03:10,25x04:19,25x05:19,25x06:16,26x01:17,26x02:13,26x03:17,26x04:12,26x05:19,26x06:18,27x01:13,27x02:13,27x03:51,27x04:38,27x05:54,28x01:37,28x02:16,28x03:24,28x04:13,28x05:30"
right,917,64,"20x01:11,20x02:9,20x03:4,20x04:13,20x05:14,20x06:11,20x07:11,20x08:7,20x09:13,20x10:6,21x01:9,21x02:15,21x03:21,21x04:27,21x05:18,21x06:20,21x07:11,21x08:15,21x09:42,21x10:11,22x01:10,22x02:14,22x03:17,22x04:21,22x05:10,22x06:27,22x07:15,22x08:22,22x09:3,22x10:9,23x01:11,23x02:3,23x03:4,23x04:11,23x05:9,23x06:8,23x07:11,23x08:8,23x09:10,23x10:3,24x01:27,24x02:17,25x01:11,25x02:4,25x03:10,25x04:5,25x05:12,25x06:11,26x01:7,26x02:13,26x03:10,26x04:15,26x05:16,26x06:16,27x01:15,27x02:14,27x03:41,27x04:30,27x05:29,28x01:17,28x02:21,28x03:17,28x04:29,28x05:16"
think,851,64,"20x01:17,20x02:9,20x03:12,20x04:11,20x05:13,20x06:16,20x07:9,20x08:13,20x09:8,20x10:12,21x01:14,21x02:15,21x03:6,21x04:16,21x05:10,21x06:17,21x07:21,21x08:10,21x09:15,21x10:6,22x01:4,22x02:14,22x03:12,22x04:10,22x05:14,22x06:6,22x07:20,22x08:17,22x09:14,22x10:8,23x01:15,23x02:11,23x03:10,23x04:13,23x05:10,23x06:13,23x07:13,23x08:16,23x09:8,23x10:9,24x01:22,24x02:31,25x01:8,25x02:28,25x03:15,25x04:5,25x05:8,25x06:5,26x01:18,26x02:22,26x03:8,26x04:13,26x05:12,26x06:10,27x01:14,27x02:8,27x03:41,27x04:27,27x05:34,28x01:10,28x02:10,28x03:3,28x04:6,28x05:6"
want,777,64,"20x01:10,20x02:8,20x03:14,20x04:13,20x05:14,20x06:9,20x07:12,20x08:13,20x09:12,20x10:4,21x01:6,21x02:16,21x03:8,21x04:8,21x05:13,21x06:19,21x07:10,21x08:13,21x09:19,21x10:11,22x01:14,22x02:6,22x03:12,22x04:9,22x05:12,22x06:8,22x07:17,22x08:10,22x09:6,22x10:12,23x01:13,23x02:16,23x03:4,23x04:13,23x05:14,23x06:6,23x07:10,23x08:11,23x09:10,23x10:6,24x01:25,24x02:35,25x01:16,25x02:10,25x03:7,25x04:7,25x05:13,25x06:6,26x01:7,26x02:35,26x03:11,26x04:10,26x05:26,26x06:10,27x01:4,27x02:12,27x03:19,27x04:12,27x05:19,28x01:7,28x02:6,28x03:13,28x04:18,28x05:8"
say,755,63,"20x01:22,20x02:5,20x03:13,20x04:11,20x05:20,20x06:17,20x07:13,20x08:13,20x09:17,20x10:10,21x01:15,21x02:20,21x03:11,21x04:10,21x05:3,21x06:14,21x07:10,21x08:11,21x09:12,21x10:4,22x01:18,22x02:13,22x03:13,22x04:7,22x05:1,22x06:16,22x07:13,22x08:10,22x09:7,22x10:4,23x01:9,23x02:12,23x03:12,23x04:5,23x05:15,23x06:7,23x07:9,23x08:9,23x09:10,23x10:1,24x01:27,24x02:25,25x01:25,25x02:5,25x04:6,25x05:19,25x06:4,26x01:19,26x02:10,26x03:6,26x04:13,26x05:11,26x06:5,27x01:12,27x02:16,27x03:23,27x04:17,27x05:21,28x01:7,28x02:12,28x03:13,28x04:8,28x05:9"
people,726,64,"20x01:18,20x02:4,20x03:11,20x04:8,20x05:18,20x06:13,20x07:9,20x08:12,20x09:25,20x10:10,21x01:14,21x02:15,21x03:18,21x04:11,21x05:19,21x06:4,21x07:12,21x08:5,21x09:9,21x10:4,22x01:4,22x02:4,22x03:11,22x04:4,22x05:8,22x06:14,22x07:8,22x08:18,22x09:6,22x10:12,23x01:16,23x02:12,23x03:4,23x04:11,23x05:11,23x06:12,23x07:5,23x08:12,23x09:10,23x10:15,24x01:22,24x02:39,25x01:8,25x02:9,25x03:30,25x04:2,25x05:4,25x06:9,26x01:33,26x02:25,26x03:14,26x04:5,26x05:11,26x06:4,27x01:5,27x02:15,27x03:11,27x04:7,27x05:6,28x01:6,28x02:9,28x03:3,28x04:11,28x05:2"
come,692,64,"20x01:10,20x02:9,20x03:10,20x04:9,20x05:14,20x06:9,20x07:9,20x08:6,20x09:7,20x10:8,21x01:11,21x02:6,21x03:14,21x04:10,21x05:17,21x06:18,21x07:11,21x08:7,21x09:14,21x10:4,22x01:9,22x02:9,22x03:3,22x04:9,22x05:10,22x06:14,22x07:19,22x08:9,22x09:12,22x10:10,23x01:7,23x02:15,23x03:10,23x04:11,23x05:8,23x06:9,23x07:6,23x08:3,23x09:10,23x10:7,24x01:21,24x02:29,25x01:10,25x02:15,25x03:12,25x04:14,25x05:7,25x06:3,26x01:7,26x02:30,26x03:13,26x04:5,26x05:14,26x06:13,27x01:15,27x02:6,27x03:16,27x04:11,27x05:12,28x01:16,28x02:9,28x03:4,28x04:9,28x05:8"
make,669,64,"20x01:7,20x02:7,20x03:6,20x04:13,20x05:14,20x06:9,20x07:9,20x08:10,20x09:5,20x10:4,21x01:11,21x02:23,21x03:8,21x04:13,21x05:7,21x06:4,21x07:13,21x08:17,21x09:11,21x10:4,22x01:10,22x02:6,22x03:7,22x04:14,22x05:4,22x06:14,22x07:11,22x08:9,22x09:13,22x10:8,23x01:12,23x02:12,23x03:14,23x04:17,23x05:8,23x06:12,23x07:14,23x08:4,23x09:4,23x10:7,24x01:21,24x02:23,25x01:12,25x02:11,25x03:9,25x04:2,25x05:3,25x06:5,26x01:14,26x02:10,26x03:6,26x04:5,26x05:8,26x06:6,27x01:5,27x02:17,27x03:25,27x04:23,27x05:15,28x01:4,28x02:12,28x03:23,28x04:5,28x05:10"
well,665,64,"20x01:14,20x02:4,20x03:6,20x04:4,20x05:6,20x06:5,20x07:8,20x08:16,20x09:7,20x10:8,21x01:5,21x02:12,21x03:9,21x04:9,21x05:5,21x06:8,21x07:15,21x08:11,21x09:11,21x10:4,22x01:18,22x02:17,22x03:8,22x04:13,22x05:6,22x06:5,22x07:6,22x08:6,22x09:5,22x10:7,23x01:7,23x02:9,23x03:9,23x04:8,23x05:15,23x06:13,23x07:11,23x08:12,23x09:8,23x10:8,24x01:12,24x02:18,25x01:15,25x02:14,25x03:14,25x04:15,25x05:9,25x06:8,26x01:10,26x02:9,26x03:13,26x04:12,26x05:20,26x06:15,27x01:11,27x02:19,27x03:16,27x04:18,27x05:24,28x01:3,28x02:8,28x03:7,28x04:7,28x05:10"
guy,642,64,"20x01:12,20x02:12,20x03:5,20x04:4,20x05:16,20x06:1,20x07:3,20x08:4,20x09:3,20x10:2,21x01:12,21x02:17,21x03:12,21x04:7,21x05:4,21x06:29,21x07:16,21x08:11,21x09:2,21x10:4,22x01:6,22x02:11,22x03:5,22x04:9,22x05:10,22x06:14,22x07:2,22x08:3,22x09:8,22x10:9,23x01:14,23x02:11,23x03:6,23x04:10,23x05:4,23x06:4,23x07:9,23x08:7,23x09:13,23x10:6,24x01:13,24x02:36,25x01:6,25x02:18,25x03:5,25x04:2,25x05:20,25x06:6,26x01:15,26x02:15,26x03:8,26x04:8,26x05:8,26x06:15,27x01:18,27x02:8,27x03:18,27x04:11,27x05:12,28x01:3,28x02:11,28x03:15,28x04:21,28x05:13"
see,611,64,"20x01:12,20x02:9,20x03:9,20x04:10,20x05:7,20x06:6,20x07:7,20x08:15,20x09:5,20x10:11,21x01:8,21x02:7,21x03:8,21x04:12,21x05:7,21x06:13,21x07:18,21x08:19,21x09:10,21x10:9,22x01:21,22x02:8,22x03:10,22x04:6,22x05:6,22x06:8,22x07:6,22x08:9,22x09:5,22x10:8,23x01:6,23x02:3,23x03:8,23x04:9,23x05:12,23x06:5,23x07:13,23x08:7,23x09:1,23x10:2,24x01:11,24x02:18,25x01:9,25x02:10,25x03:9,25x04:5,25x05:11,25x06:12,26x01:10,26x02:22,26x03:11,26x04:3,26x05:8,26x06:7,27x01:5,27x02:6,27x03:19,27x04:20,27x05:19,28x01:9,28x02:6,28x03:9,28x04:11,28x05:6"
need,572,64,"20x01:8,20x02:5,20x03:1,20x04:15,20x05:7,20x06:4,20x07:8,20x08:14,20x09:9,20x10:14,21x01:3,21x02:12,21x03:5,21x04:6,21x05:9,21x06:11,21x07:8,21x08:9,21x09:8,21x10:7,22x01:10,22x02:5,22x03:11,22x04:10,22x05:5,22x06:8,22x07:9,22x08:15,22x09:12,22x10:11,23x01:1,23x02:6,23x03:6,23x04:2,23x05:9,23x06:10,23x07:4,23x08:4,23x09:10,23x10:12,24x01:26,24x02:19,25x01:16,25x02:4,25x03:6,25x04:11,25x05:8,25x06:8,26x01:8,26x02:7,26x03:12,26x04:5,26x05:15,26x06:7,27x01:2,27x02:6,27x03:15,27x04:14,27x05:14,28x01:12,28x02:10,28x03:6,28x04:10,28x05:8"
