word,exclusion_category
aaaaaaah,GIBBERISH
aaaaaagh,GIBBERISH
aaaaah,GIBBERISH
aaaah,GIBBERISH
aaaghh,GIBBERISH
aaah,GIBBERISH
aahghgghgh,GIBBERISH
aboot,SLANG
adrenochrome,PROPER_NOUN
african,PROPER_NOUN
ahg,GIBBERISH
ahghg,GIBBERISH
ahghggh,GIBBERISH
ahghghggh,GIBBERISH
ahghghgghgh,GIBBERISH
ahghghgh,GIBBERISH
ahghghghghggh,GIBBERISH
ahghghghghgh,GIBBERISH
ahghhggh,GIBBERISH
ahh,GIBBERISH
ahhh,GIBBERISH
ahhhhh,GIBBERISH
ahhug,GIBBERISH
ahp,GIBBERISH
airbnb,BRAND
al,PROPER_NOUN
alejandro,PROPER_NOUN
alexa,BRAND
alonnnneeeeee,GIBBERISH
alverndaraal,GIBBERISH
amazon,BRAND
american,PROPER_NOUN
amigo,FOREIGN
andcares,PARSE_ERROR
arghghgh,GIBBERISH
arghh,GIBBERISH
arghhh,GIBBERISH
arhghghgh,GIBBERISH
arkna,GIBBERISH
atten,PARSE_ERROR
atv,SLANG
au,FOREIGN
ava,PROPER_NOUN
aww,GIBBERISH
awww,GIBBERISH
awwww,GIBBERISH
awwwwww,GIBBERISH
aya,GIBBERISH
ayay,GIBBERISH
baaaaaaaaack,GIBBERISH
bb,SLANG
bebe,FOREIGN
belive,SLANG
bezos,PROPER_NOUN
bezosian,SHOW_SPECIFIC
blargh,GIBBERISH
blarhghg,GIBBERISH
bluggggh,GIBBERISH
booooo,GIBBERISH
borall,GIBBERISH
british,PROPER_NOUN
broflovski,CHARACTER_NAME
brotions,SHOW_SPECIFIC
bruthuh,SLANG
brzzz,GIBBERISH
bzbzbzbzbzzbzbzbzbrrrrrrrtt,GIBBERISH
bzzt,GIBBERISH
bzzztzt,GIBBERISH
bzzzzzt,GIBBERISH
ca,PARSE_ERROR
cai,PARSE_ERROR
canadian,PROPER_NOUN
cartman,CHARACTER_NAME
celebrimbor,PROPER_NOUN
cha,PARSE_ERROR
cham,PARSE_ERROR
chatgpt,BRAND
chatgpwhoza,GIBBERISH
chh,GIBBERISH
chinese,PROPER_NOUN
cibrian,PROPER_NOUN
cl,PARSE_ERROR
clyde,CHARACTER_NAME
cnn,BRAND
co,PARSE_ERROR
coca,PARSE_ERROR
coco,PROPER_NOUN
coli,PARSE_ERROR
colombian,PROPER_NOUN
coloradan,PROPER_NOUN
colorado,PROPER_NOUN
columbus,PROPER_NOUN
conners,PROPER_NOUN
coool,GIBBERISH
corellian,PROPER_NOUN
credigree,SHOW_SPECIFIC
daamaa,GIBBERISH
daba,GIBBERISH
damaa,GIBBERISH
darryl,PROPER_NOUN
der,PARSE_ERROR
derrrr,GIBBERISH
deshishto,GIBBERISH
deshou,GIBBERISH
dia,PARSE_ERROR
dikinbaus,GIBBERISH
dnaandme,PARSE_ERROR
doi,PARSE_ERROR
donald,PROPER_NOUN
dood,SLANG
dook,GIBBERISH
doomo,GIBBERISH
doot,GIBBERISH
dru,PARSE_ERROR
du,PARSE_ERROR
dubai,PROPER_NOUN
eldrich,SLANG
elon,PROPER_NOUN
emory,PROPER_NOUN
epps,PROPER_NOUN
epstein,PROPER_NOUN
ererhrhghhghgggh,GIBBERISH
eric,CHARACTER_NAME
es,PARSE_ERROR
esposo,FOREIGN
esta,FOREIGN
estar,FOREIGN
estas,FOREIGN
ewwww,GIBBERISH
ewwwww,GIBBERISH
ewwwwww,GIBBERISH
existencing,PARSE_ERROR
facebook,BRAND
familia,FOREIGN
fastpass,BRAND
feesh,GIBBERISH
fif,PARSE_ERROR
fitbit,BRAND
foine,GIBBERISH
fook,SLANG
fookin,SLANG
footlooong,GIBBERISH
fps,SLANG
french,PROPER_NOUN
frikadellers,FOREIGN
frontieres,FOREIGN
fulla,PARSE_ERROR
fwiend,SLANG
ga,PARSE_ERROR
gaaaht,GIBBERISH
gahggh,GIBBERISH
galtman,PROPER_NOUN
german,PROPER_NOUN
ghahgh,GIBBERISH
ghahghg,GIBBERISH
ghostbusters,PROPER_NOUN
gim,PARSE_ERROR
ginormic,SLANG
girlfrriend,SLANG
google,BRAND
goto,PARSE_ERROR
gozaimashita,FOREIGN
graah,GIBBERISH
gracias,FOREIGN
greta,PROPER_NOUN
haa,GIBBERISH
hahaha,GIBBERISH
hahahah,GIBBERISH
hai,FOREIGN
halloween,PROPER_NOUN
hankey,CHARACTER_NAME
hannah,PROPER_NOUN
harriet,PROPER_NOUN
hegseth,PROPER_NOUN
heidi,CHARACTER_NAME
henry,PROPER_NOUN
hillary,PROPER_NOUN
hogwarts,PROPER_NOUN
hrrrp,GIBBERISH
hummels,PROPER_NOUN
hungarian,PROPER_NOUN
hyah,GIBBERISH
icloud,BRAND
id'ing,PARSE_ERROR
ike,CHARACTER_NAME
ing,PARSE_ERROR
instagram,BRAND
ip,PARSE_ERROR
ipad,BRAND
iphone,BRAND
irish,PROPER_NOUN
iru,GIBBERISH
islamist,PROPER_NOUN
ja,FOREIGN
jeah,GIBBERISH
jeff,PROPER_NOUN
jenkins,PROPER_NOUN
jer,PARSE_ERROR
jergens,BRAND
jersey,PROPER_NOUN
jesus,PROPER_NOUN
jimbob,PROPER_NOUN
jimmy,CHARACTER_NAME
jo,PARSE_ERROR
johnson,PROPER_NOUN
josh,PROPER_NOUN
jrmm,GIBBERISH
judaism,PROPER_NOUN
jurassic,PROPER_NOUN
kara,PROPER_NOUN
karadec,PROPER_NOUN
kay,PROPER_NOUN
keeeeeewl,GIBBERISH
kegasareta,FOREIGN
kenny,CHARACTER_NAME
knackety,SHOW_SPECIFIC
kochi,PROPER_NOUN
korean,PROPER_NOUN
korper,FOREIGN
kri,GIBBERISH
kufu,GIBBERISH
kurdish,PROPER_NOUN
kyle,CHARACTER_NAME
la,PARSE_ERROR
lacroix,BRAND
laura,PROPER_NOUN
laurel,PROPER_NOUN
lem,PARSE_ERROR
leverpostarj,GIBBERISH
liane,CHARACTER_NAME
liddol,SLANG
linda,PROPER_NOUN
listin,PARSE_ERROR
llamo,FOREIGN
llevar,FOREIGN
lo,FOREIGN
logan,PROPER_NOUN
lols,SLANG
lolz,SLANG
lvl,SLANG
m'all,PARSE_ERROR
m'kay,SHOW_SPECIFIC
macbook,BRAND
madagascar,PROPER_NOUN
madre,FOREIGN
maybay,GIBBERISH
mayflower,PROPER_NOUN
mcbutters,CHARACTER_NAME
meagan,PROPER_NOUN
meeeee,GIBBERISH
meeeeee,GIBBERISH
meiyo,FOREIGN
mem,PARSE_ERROR
mem'bries,PARSE_ERROR
memberberries,SHOW_SPECIFIC
memberberry,SHOW_SPECIFIC
membering,SHOW_SPECIFIC
mff,GIBBERISH
mhm,SLANG
mhprphm,GIBBERISH
mi,FOREIGN
milly,PROPER_NOUN
mimsey,SHOW_SPECIFIC
mkay,SHOW_SPECIFIC
mmkay,SHOW_SPECIFIC
mmmph,GIBBERISH
mmph,GIBBERISH
mofos,PARSE_ERROR
moine,FOREIGN
moly,PARSE_ERROR
mooommm,GIBBERISH
mooooounund,GIBBERISH
mornins,PARSE_ERROR
motorin,PARSE_ERROR
mounnnnd,GIBBERISH
mrmmph,GIBBERISH
mrph,GIBBERISH
mrphmrhmrh,GIBBERISH
mrrr,GIBBERISH
mulan,PROPER_NOUN
myeh,GIBBERISH
naaaa,GIBBERISH
nafrac,GIBBERISH
nathan,CHARACTER_NAME
necesita,FOREIGN
ned,CHARACTER_NAME
neddddddd,GIBBERISH
nelly,PROPER_NOUN
netflix,BRAND
nichole,CHARACTER_NAME
nifios,FOREIGN
ninos,FOREIGN
nmrmrrrmrmrmmrrrr,GIBBERISH
nnnnnnnnnnnn,GIBBERISH
nombre,FOREIGN
noohticed,SLANG
nooo,GIBBERISH
noooo,GIBBERISH
nooooo,GIBBERISH
noooooo,GIBBERISH
nooooooooo,GIBBERISH
noooooooooooooooooo,GIBBERISH
nya,GIBBERISH
octonauts,PROPER_NOUN
odio,FOREIGN
oghg,GIBBERISH
ohh,GIBBERISH
ohhghghgh,GIBBERISH
ohhgu,GIBBERISH
ohhh,GIBBERISH
ohhhg,GIBBERISH
ohhhh,GIBBERISH
ohhhhh,GIBBERISH
olllld,GIBBERISH
ooof,GIBBERISH
oooh,GIBBERISH
ooohhh,GIBBERISH
ooooh,GIBBERISH
oot,PARSE_ERROR
owwwwwe,GIBBERISH
padre,FOREIGN
pam,PROPER_NOUN
panamanian,PROPER_NOUN
pandi,CHARACTER_NAME
partyyyy,GIBBERISH
pedooim,SLANG
peggy,PROPER_NOUN
pete,PROPER_NOUN
photoshop,PROPER_NOUN
photoshopped,PROPER_NOUN
photoshopping,PROPER_NOUN
piiiiiiissed,GIBBERISH
pilate,PROPER_NOUN
pleeeeease,GIBBERISH
plungercost,PARSE_ERROR
plymouth,PROPER_NOUN
poopsie,SHOW_SPECIFIC
pootin,PROPER_NOUN
pownage,SLANG
pressin,PARSE_ERROR
prob'ly,PARSE_ERROR
psyker,SHOW_SPECIFIC
puedes,FOREIGN
purpleheadedqueeflicker,SHOW_SPECIFIC
pwned,SLANG
pyow,GIBBERISH
qties,PARSE_ERROR
que,FOREIGN
quiero,FOREIGN
quo,PARSE_ERROR
raghghgh,GIBBERISH
rahghgh,GIBBERISH
rahghhgghhggh,GIBBERISH
rahrharhhghgh,GIBBERISH
raisinets,BRAND
randy,CHARACTER_NAME
rawr,GIBBERISH
rectoplasm,SHOW_SPECIFIC
reencoded,PARSE_ERROR
rm,PARSE_ERROR
rmh,GIBBERISH
rmhmhm,GIBBERISH
rmhprh,GIBBERISH
rmphm,GIBBERISH
roman,PROPER_NOUN
romanian,PROPER_NOUN
roo,PARSE_ERROR
rooshety,SHOW_SPECIFIC
rosemary,PROPER_NOUN
russia,PROPER_NOUN
russian,PROPER_NOUN
ryan,PROPER_NOUN
sabishiiiii,GIBBERISH
sakuhin,FOREIGN
samesies,SHOW_SPECIFIC
satan,PROPER_NOUN
sayonara,FOREIGN
sayyy,GIBBERISH
scandinavian,PROPER_NOUN
schoo,PARSE_ERROR
schoooooool,GIBBERISH
scott,PROPER_NOUN
scottish,PROPER_NOUN
shaaa,GIBBERISH
shadowbane,BRAND
sharon,CHARACTER_NAME
sheila,CHARACTER_NAME
shelley,CHARACTER_NAME
shelly,CHARACTER_NAME
shh,GIBBERISH
shhh,GIBBERISH
shhhh,GIBBERISH
shhhhh,GIBBERISH
shhhhhh,GIBBERISH
shi,PARSE_ERROR
shimatta,FOREIGN
shnn,GIBBERISH
shtoile,SHOW_SPECIFIC
shwa,PARSE_ERROR
siri,BRAND
skankhunt,SHOW_SPECIFIC
skeeter,CHARACTER_NAME
skewl,SLANG
skinkinslat,SHOW_SPECIFIC
skype,BRAND
slanty,SHOW_SPECIFIC
snowspeeders,SHOW_SPECIFIC
soooiee,GIBBERISH
sooouuuiiieee,GIBBERISH
sorr,PARSE_ERROR
soto,PROPER_NOUN
splatty,SHOW_SPECIFIC
sssss,GIBBERISH
stan,CHARACTER_NAME
stanny,CHARACTER_NAME
stayfallo,GIBBERISH
stephen,PROPER_NOUN
sticka,PARSE_ERROR
stifernisy,GIBBERISH
stoopid,SLANG
stormtroopers,PROPER_NOUN
stotch,CHARACTER_NAME
synk,SLANG
syrian,PROPER_NOUN
ta,PARSE_ERROR
tabouli,FOREIGN
taihen,FOREIGN
tauntauns,PROPER_NOUN
te,PARSE_ERROR
tegridy,SHOW_SPECIFIC
tennish,GIBBERISH
terrance,CHARACTER_NAME
testaburger,CHARACTER_NAME
tiiiiimmmeee,GIBBERISH
tiktok,BRAND
tiktoks,BRAND
timmy,CHARACTER_NAME
togeth,PARSE_ERROR
togetha,PARSE_ERROR
tolkien,CHARACTER_NAME
totoro,PROPER_NOUN
towelie,CHARACTER_NAME
trabajar,FOREIGN
tricorders,PROPER_NOUN
troo,SLANG
troollldt,GIBBERISH
trump,PROPER_NOUN
tu,FOREIGN
tuscany,PROPER_NOUN
tutornon,GIBBERISH
tw,PARSE_ERROR
tweek,CHARACTER_NAME
twitter,BRAND
ughhh,GIBBERISH
uhhh,GIBBERISH
uhp,PARSE_ERROR
und,FOREIGN
unis,PARSE_ERROR
urk,GIBBERISH
uruk,PROPER_NOUN
vance,PROPER_NOUN
ver,PARSE_ERROR
vic,PROPER_NOUN
vips,PARSE_ERROR
vous,FOREIGN
wa,PARSE_ERROR
waaa,GIBBERISH
waaaaargh,GIBBERISH
waaaah,GIBBERISH
wahggh,GIBBERISH
wahghgh,GIBBERISH
walgreens,BRAND
wargggggghgghghh,GIBBERISH
warhammer,BRAND
wendy,CHARACTER_NAME
wh,PARSE_ERROR
wha,PARSE_ERROR
whaaat,GIBBERISH
wom,PARSE_ERROR
womfy,SHOW_SPECIFIC
wumfy,SHOW_SPECIFIC
wwwww,GIBBERISH
xbox,BRAND
yahoo,BRAND
yates,PROPER_NOUN
yeahhhh,GIBBERISH
yeeaah,GIBBERISH
yeeeah,GIBBERISH
yeeeahhhh,GIBBERISH
yeeee,GIBBERISH
yeeeeeeee,GIBBERISH
yeeeeeeeeeeee,GIBBERISH
yessss,GIBBERISH
yippie,SLANG
yippieeeeeee,GIBBERISH
yori,PROPER_NOUN
yourmomstits,GIBBERISH
youtube,BRAND
youuuuu,GIBBERISH
yrfatanddum,GIBBERISH
yupper,GIBBERISH
zika,PROPER_NOUN
ztzztzzzt,GIBBERISH
