word,total_count
rmhmhm,79
rm,73
m'kay,58
tegridy,47
mmmph,40
spouting,38
unwind,37
anthem,28
kyle,27
pandemic,27
pangolin,24
tolkien,22
fulfillment,20
mff,20
mrmmph,20
mrrr,20
rick,20
tweek,20
bruh,19
cartman,18
fecal,18
memberberries,17
mrph,15
ike,14
mkay,14
vaping,14
broship,13
vape,13
butthole,12
chitty,12
dammit,12
em,12
rmh,12
rmphm,12
trolling,12
abortion,11
terrance,11
alexa,10
microbiome,10
dressage,9
headin,9
kindergartner,9
stotch,9
woke,9
coon,8
crypto,8
hummels,8
immunization,8
manbearpig,8
mandalorian,8
stoke,8
transphobe,8
biopic,7
distancing,7
fag,7
grower,7
m'all,7
mem'bries,7
qties,7
redemption,7
timmy,7
unfulfilled,7
assholes,6
millennials,6
objector,6
protestors,6
satan,6
synk,6
townspeople,6
abusive,5
cannabis,5
clyde,5
fidget,5
lem,5
titty,5
yori,5
albuterol,4
bezos,4
blargh,4
bookcase,4
conscientious,4
coordinator,4
dikinbaus,4
elon,4
fucked,4
handkerchief,4
homegrown,4
indict,4
indistinct,4
mist,4
nuance,4
opioids,4
schoo,4
stephen,4
takin,4
tariff,4
thingies,4
trillion,4
tu,4
adrenochrome,3
ahp,3
alejandro,3
bein,3
classmate,3
communist,3
coronavirus,3
cortado,3
cryptocurrency,3
dickhole,3
dook,3
doxed,3
frikadellers,3
gospel,3
grotto,3
haa,3
immunize,3
impurity,3
instagram,3
kenny,3
logan,3
maggie,3
membrane,3
mhm,3
mid,3
monarchy,3
noo,3
noooo,3
nuttin,3
oooh,3
ooooh,3
oppression,3
ordinance,3
peggy,3
penance,3
protester,3
renegotiation,3
satirical,3
sayonara,3
shelley,3
shhhh,3
shithead,3
stagecoach,3
sticka,3
striking,3
testaburger,3
thingie,3
victimize,3
vroom,3
womfy,3
aaaaaagh,2
aboot,2
ahg,2
ahghggh,2
amplify,2
antelope,2
aqui,2
awww,2
bebe,2
bigot,2
bigoted,2
bloodstream,2
boating,2
bomber,2
booooo,2
borall,2
broships,2
brotions,2
bullying,2
bunker,2
buttholes,2
cabal,2
capitalism,2
capitalist,2
chh,2
